_id,cycle,scheme,__v,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68ed2def2034e237058f9553,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f958da89d86ca9e2c0289e,Y.S.R.,504,6492facc680216eb6c93e37f,LAKKIREDDIPALLE,4834,63f99e59519359b7438a6a77,Kurnoothala,593553,0,1,1,1,0,1,2,0,0,2,0,0,1,1,0,0,2,0,2,0,2,0,2,2,0,1,1,2,0
68ed2def2034e237058f954d,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e37f,LAKKIREDDIPALLE,4834,63f99e57519359b7438a6a59,Kakulavaram,593555,0,3,0,0,0,3,2,0,1,3,0,0,3,0,0,0,3,0,3,3,0,1,2,3,0,1,2,3,0
68ed2def2034e237058f954e,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e37f,LAKKIREDDIPALLE,4834,63f99e58519359b7438a6a5e,Maddirevula,593554,1,57,7,22,11,32,26,2,37,45,20,0,60,4,3,0,61,0,64,58,7,36,29,63,2,22,43,61,4
68ed2def2034e237058f954f,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e37f,LAKKIREDDIPALLE,4834,63f99e58519359b7438a6a63,Pandillapalle,593550,0,32,3,11,6,17,23,1,11,22,13,0,28,0,0,0,35,0,35,7,20,13,14,26,1,9,25,27,0
68ed2def2034e237058f9550,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e37f,LAKKIREDDIPALLE,4834,63f99e58519359b7438a6a68,Dappepalle,593549,3,82,12,42,16,39,49,1,47,74,23,1,64,19,2,1,94,0,97,9,74,56,27,78,5,33,63,81,2
68ed2def2034e237058f9551,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e37f,LAKKIREDDIPALLE,4834,63f99e58519359b7438a6a6d,Lakkireddipalle,593548,2,44,5,26,6,19,24,0,27,39,11,0,31,20,0,0,51,0,51,3,46,41,8,49,0,19,32,47,2
68ed2def2034e237058f9552,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e37f,LAKKIREDDIPALLE,4834,63f99e59519359b7438a6a72,Ananthapuram,593547,0,52,7,27,12,22,23,2,36,48,13,1,43,14,1,0,46,0,52,48,13,22,39,57,3,18,43,60,1
68ed2def2034e237058f9554,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e37f,LAKKIREDDIPALLE,4834,63f99e59519359b7438a6a7c,Somabotlapalle,593552,0,6,0,5,0,1,5,0,1,3,3,0,6,0,0,0,6,0,6,1,5,2,4,6,0,0,6,6,0
68ed2def2034e237058f9555,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e37f,LAKKIREDDIPALLE,4834,63f99e59519359b7438a6a81,Naraharibhatla Palle,593551,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0
68ed2def2034e237058f9556,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e37f,LAKKIREDDIPALLE,4834,63f99e5a519359b7438a6a86,Gudlavaripalle,593546,0,9,1,4,1,5,1,0,9,5,5,2,7,1,0,0,10,0,10,7,3,3,7,9,1,6,4,10,0
