_id,cycle,scheme,__v,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68ed2def2034e237058f9667,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e381,MADANAPALLE,4770,63f99eb8519359b7438a717c,Molakaladinne,596143,0,3,0,1,1,1,1,0,2,2,1,0,3,0,0,0,3,0,3,3,0,1,2,3,0,3,0,3,0
68ed2def2034e237058f9668,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e381,MADANAPALLE,4770,63f99eb8519359b7438a7181,Basinikonda (Part),596142,0,51,2,29,9,15,23,3,27,33,20,2,46,5,0,0,52,0,52,32,21,26,25,48,5,20,33,32,20
68ed2def2034e237058f9669,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e381,MADANAPALLE,4770,63f99eb9519359b7438a718b,Valasapalle,596144,0,22,0,13,4,5,4,0,18,16,6,2,18,2,0,0,22,0,22,17,5,3,19,20,2,13,9,8,14
68ed2def2034e237058f966a,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e381,MADANAPALLE,4770,63f99eb9519359b7438a7190,Malepadu,596134,0,14,1,10,2,3,3,0,12,11,4,0,13,2,0,0,15,0,15,1,14,5,10,14,1,10,5,11,4
68ed2def2034e237058f966b,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e381,MADANAPALLE,4770,63f99eba519359b7438a719f,Ankisettipalle (OG),596147,0,27,3,13,10,7,13,1,16,16,14,0,26,3,0,0,27,0,28,16,14,20,10,26,4,12,18,28,2
68ed2def2034e237058f966c,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e381,MADANAPALLE,4770,63f99eba519359b7438a71a9,Pothapalu,596141,0,30,0,19,2,10,23,1,7,16,15,2,25,2,0,0,29,0,29,5,26,14,17,30,1,14,17,17,14
68ed2def2034e237058f966d,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e381,MADANAPALLE,4770,63f99ebb519359b7438a71ae,Kothavaripalle,596138,0,81,3,45,17,22,62,1,21,57,27,5,72,7,0,0,81,5,78,47,37,55,28,69,12,28,56,57,26
68ed2def2034e237058f966e,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e381,MADANAPALLE,4770,63f99ebb519359b7438a71bd,Ponnetipalem (OG) (Part),596132,0,37,0,22,5,10,11,0,26,32,5,1,31,5,0,0,37,0,37,23,14,19,18,33,4,21,16,19,18
68ed2def2034e237058f966f,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e381,MADANAPALLE,4770,63f99ebc519359b7438a71c2,Kollabylu (Part),596131,0,65,1,21,21,24,16,4,46,42,24,7,54,3,1,0,62,0,64,34,32,36,30,61,5,31,35,49,16
68ed2def2034e237058f9670,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e381,MADANAPALLE,4770,63f99ebc519359b7438a71c7,Penchupadu,596136,1,27,2,15,8,7,5,0,25,19,11,1,25,4,0,0,30,0,30,7,23,17,13,31,0,19,11,16,14
68ed2def2034e237058f9671,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e381,MADANAPALLE,4770,63f99ebc519359b7438a71cc,Vempalle,596133,0,53,0,23,14,16,20,2,31,31,22,2,48,3,0,1,51,2,51,20,33,30,23,52,1,22,31,42,10
68ed2def2034e237058f9672,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e381,MADANAPALLE,4770,63f99ebc519359b7438a71d1,Chinnathippasamudram,596139,0,57,1,31,17,11,39,0,20,35,24,1,52,5,0,0,57,25,33,37,22,29,30,50,8,26,33,39,18
