_id,cycle,scheme,__v,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68ed2def2034e237058f95d5,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e383,MULAKALACHERUVU,4771,63f99e88519359b7438a6de5,Gudupalle,595602,7,34,0,15,14,13,10,8,24,40,2,10,26,5,0,0,40,1,40,41,1,29,13,42,0,19,23,34,8
68ed2def2034e237058f95d6,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e383,MULAKALACHERUVU,4771,63f99e88519359b7438a6dea,T.Sowdasamudram,595601,2,35,3,17,13,10,5,2,33,29,11,4,30,6,4,0,35,0,40,24,16,26,14,39,1,20,20,34,6
68ed2def2034e237058f95d7,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e383,MULAKALACHERUVU,4771,63f99e89519359b7438a6def,Sompalle,595603,8,63,3,37,19,18,23,7,44,63,11,8,54,11,13,0,58,1,70,46,28,36,38,73,1,39,35,65,9
68ed2def2034e237058f95d8,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e383,MULAKALACHERUVU,4771,63f99e89519359b7438a6df4,Mulakalacheruvu,595604,21,66,1,59,17,12,25,22,42,64,25,24,56,7,0,0,81,0,86,72,18,45,44,90,0,40,50,67,23
68ed2def2034e237058f95d9,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e383,MULAKALACHERUVU,4771,63f99e89519359b7438a6df9,Maddinayanipalle,595614,13,43,1,33,6,18,19,14,24,51,6,15,41,1,0,0,53,0,56,47,10,22,35,56,1,25,32,42,14
68ed2def2034e237058f95da,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e383,MULAKALACHERUVU,4771,63f99e8a519359b7438a6e08,Nayanicheruvupalle,595605,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
68ed2def2034e237058f95db,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e383,MULAKALACHERUVU,4771,63f99e8a519359b7438a6e0d,Vepurikota,595612,1,31,0,19,5,8,11,2,19,20,12,2,27,3,0,0,32,0,32,18,14,29,3,32,0,21,11,31,1
68ed2def2034e237058f95dc,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e383,MULAKALACHERUVU,4771,63f99e8a519359b7438a6e12,Kadirinathunikota,595607,3,9,0,10,2,0,3,3,6,11,1,3,9,0,0,0,10,0,12,6,6,7,5,10,2,2,10,7,5
68ed2def2034e237058f95dd,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e383,MULAKALACHERUVU,4771,63f99e8b519359b7438a6e1c,Devalcheruvu,595610,5,32,0,25,7,5,10,7,20,26,11,8,25,4,0,0,37,0,37,24,13,19,18,34,3,20,17,31,6
68ed2def2034e237058f95de,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e383,MULAKALACHERUVU,4771,63f99e8b519359b7438a6e21,Chennaiahgaripalle,595608,2,18,0,9,3,8,4,2,14,16,4,1,14,4,0,0,19,0,19,9,12,13,8,20,1,8,13,17,4
