_id,cycle,scheme,__v,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68ed2def2034e237058f956d,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e385,NANDALUR,4839,63f99e60519359b7438a6b04,Nagireddipalle (CT),593597,0,16,0,11,2,3,11,1,4,6,10,0,13,3,4,0,12,0,16,7,9,7,9,11,5,5,11,16,0
68ed2def2034e237058f956e,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e385,NANDALUR,4839,63f99e61519359b7438a6b0e,Lebaka Manga Mamba Puram,593596,0,4,0,3,1,0,3,0,1,0,4,0,3,1,0,0,4,0,4,3,1,3,1,4,0,1,3,4,0
68ed2def2034e237058f956f,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e385,NANDALUR,4839,63f99e61519359b7438a6b13,Pothapi,593587,0,1,1,2,0,0,1,0,1,0,2,0,2,0,0,0,2,0,2,0,2,0,2,2,0,0,2,1,1
68ed2def2034e237058f9570,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e385,NANDALUR,4839,63f99e61519359b7438a6b18,Tanguturu,593592,0,2,0,1,1,0,0,1,1,1,1,0,2,0,0,0,2,0,2,0,2,0,2,0,2,0,2,0,2
68ed2def2034e237058f9571,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e385,NANDALUR,4839,63f99e62519359b7438a6b27,Kunda Nellore,593590,0,8,0,6,2,0,4,0,4,3,5,0,8,0,1,0,7,0,8,4,4,5,3,7,1,3,5,8,0
68ed2def2034e237058f9572,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e385,NANDALUR,4839,63f99e62519359b7438a6b31,Nandalur,593579,0,10,0,8,1,1,4,0,6,1,9,0,10,0,2,0,8,0,10,1,9,2,8,7,3,5,5,9,1
68ed2def2034e237058f9573,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e385,NANDALUR,4839,63f99e63519359b7438a6b36,Adapur,593580,0,12,0,8,1,3,3,1,8,0,12,0,9,3,6,0,6,0,12,5,7,5,7,6,5,5,7,10,2
68ed2def2034e237058f9574,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e385,NANDALUR,4839,63f99e63519359b7438a6b45,Nallathimmayapalle,593595,0,2,1,1,1,1,2,0,1,0,3,0,3,0,0,0,3,0,3,3,0,0,3,3,0,2,1,3,0
68ed2def2034e237058f9575,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e385,NANDALUR,4839,63f99e64519359b7438a6b54,Patur,593578,0,5,1,3,0,3,3,0,3,1,5,0,5,1,1,0,5,0,6,6,0,0,6,5,1,0,6,6,0
68ed2def2034e237058f9576,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e385,NANDALUR,4839,63f99e64519359b7438a6b59,Yellamarajupalle,593581,0,5,0,4,0,1,4,0,1,0,5,0,3,2,2,0,3,0,5,4,1,4,1,4,1,1,4,4,1
68ed2def2034e237058f9577,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e385,NANDALUR,4839,63f99e65519359b7438a6b63,Lebaka,593594,0,11,0,5,1,5,2,1,8,2,9,0,9,2,2,0,9,0,11,3,8,3,8,11,0,6,5,10,1
