_id,cycle,scheme,__v,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68ed2def2034e237058f964d,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e38d,PEDDATHIPPASAMUDRAM,4782,63f99eb1519359b7438a70ec,Pattamvandlapalle,596103,0,43,4,25,10,12,26,0,21,19,28,0,33,14,0,1,46,0,47,43,4,35,10,47,0,20,27,3,43
68ed2def2034e237058f964e,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e38d,PEDDATHIPPASAMUDRAM,4782,63f99eb1519359b7438a70f1,Jagadamvaripalle,596106,0,2,0,2,0,0,1,0,1,1,1,0,1,1,0,0,2,0,2,2,0,1,1,2,0,1,1,0,2
68ed2def2034e237058f964f,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e38d,PEDDATHIPPASAMUDRAM,4782,63f99eb1519359b7438a70f6,Rangasamudram,596109,1,25,2,10,9,9,21,0,7,21,7,3,23,2,0,0,28,1,27,27,1,22,6,27,1,13,15,5,22
68ed2def2034e237058f9650,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e38d,PEDDATHIPPASAMUDRAM,4782,63f99eb2519359b7438a7100,Thummarakunta,596113,2,80,11,43,25,25,73,1,19,46,47,7,79,7,2,0,91,0,93,89,4,57,36,91,1,48,45,4,89
68ed2def2034e237058f9651,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e38d,PEDDATHIPPASAMUDRAM,4782,63f99eb2519359b7438a7105,T.Sadum,596114,0,44,0,16,9,19,27,0,17,30,15,4,32,8,1,0,43,0,44,43,2,30,15,45,0,17,28,1,43
68ed2def2034e237058f9652,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e38d,PEDDATHIPPASAMUDRAM,4782,63f99eb2519359b7438a710a,Boorlapalle,596118,1,44,2,24,9,14,33,0,14,31,16,9,29,9,1,0,45,0,47,47,0,29,18,46,1,24,23,1,44
68ed2def2034e237058f9653,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e38d,PEDDATHIPPASAMUDRAM,4782,63f99eb3519359b7438a710f,Kamsalavandla Palle,596108,0,11,0,8,1,2,8,0,3,4,7,1,10,0,0,0,11,0,11,10,1,11,0,11,0,5,6,3,8
68ed2def2034e237058f9654,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e38d,PEDDATHIPPASAMUDRAM,4782,63f99eb3519359b7438a7114,Peddathippasamudram,596112,0,87,6,44,25,24,61,1,31,44,49,10,65,18,12,0,81,0,93,93,0,46,46,93,0,37,56,11,82
68ed2def2034e237058f9655,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e38d,PEDDATHIPPASAMUDRAM,4782,63f99eb3519359b7438a7119,Madunuru,596110,0,34,0,19,7,8,16,0,18,24,10,0,32,2,1,0,33,0,34,32,2,23,11,33,0,10,24,7,27
68ed2def2034e237058f9656,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e38d,PEDDATHIPPASAMUDRAM,4782,63f99eb3519359b7438a711e,Mallela,596119,0,24,0,14,3,7,17,0,7,6,18,1,22,1,1,0,23,0,24,24,0,19,5,24,0,16,8,7,17
68ed2def2034e237058f9657,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e38d,PEDDATHIPPASAMUDRAM,4782,63f99eb4519359b7438a7123,Kandukuru,596104,0,44,0,12,16,16,39,0,5,20,24,4,35,5,0,0,44,1,43,43,1,31,11,44,0,28,16,5,39
68ed2def2034e237058f9658,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e38d,PEDDATHIPPASAMUDRAM,4782,63f99eb4519359b7438a7128,Katnagallu,596105,0,29,2,14,10,7,23,0,8,14,17,3,26,2,1,0,30,0,31,31,0,18,13,30,1,13,18,1,30
68ed2def2034e237058f9659,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e38d,PEDDATHIPPASAMUDRAM,4782,63f99eb4519359b7438a712d,Pulikallu,596107,0,17,0,10,3,4,16,0,1,9,8,3,11,3,0,0,17,0,17,17,0,8,9,17,0,9,8,0,17
68ed2def2034e237058f965a,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e38d,PEDDATHIPPASAMUDRAM,4782,63f99eb4519359b7438a7132,Sampathikota,596120,0,39,0,17,9,13,26,4,9,25,14,3,34,2,0,0,39,0,39,37,2,29,10,38,1,24,15,3,36
68ed2def2034e237058f965b,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e38d,PEDDATHIPPASAMUDRAM,4782,63f99eb5519359b7438a7137,Maddaiahgaripalle,596111,0,5,0,2,0,3,1,0,4,4,1,1,4,0,0,0,5,0,5,5,0,2,3,5,0,1,4,0,5
68ed2def2034e237058f965c,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e38d,PEDDATHIPPASAMUDRAM,4782,63f99eb5519359b7438a7141,Chinnaponguppalle,596116,0,2,0,0,1,1,1,0,1,2,0,0,2,0,0,0,2,0,2,2,0,2,0,2,0,1,1,1,1
68ed2def2034e237058f965d,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e38d,PEDDATHIPPASAMUDRAM,4782,63f99eb5519359b7438a7146,Buchipalle,596121,0,5,0,2,2,1,4,1,0,2,3,1,4,0,0,0,5,0,5,5,0,4,1,5,0,3,2,0,5
