_id,cycle,scheme,__v,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68ed2def2034e237058f9578,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e38f,PENAGALUR,4842,63f99e66519359b7438a6b6f,Singareddipalle,593612,0,8,0,3,2,3,2,0,6,4,4,0,8,0,0,0,8,0,8,4,4,7,1,8,0,1,7,8,0
68ed2def2034e237058f9579,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e38f,PENAGALUR,4842,63f99e66519359b7438a6b7e,Komantharajupuram,593619,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0
68ed2def2034e237058f957a,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e38f,PENAGALUR,4842,63f99e67519359b7438a6b83,Narayana Nellore,593622,0,10,0,5,1,4,10,0,0,8,2,0,10,0,0,0,10,0,10,2,8,7,3,9,1,7,3,10,0
68ed2def2034e237058f957b,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e38f,PENAGALUR,4842,63f99e67519359b7438a6b88,Nallapureddipalle,593623,0,7,1,7,0,1,3,2,3,7,1,0,8,0,0,0,8,0,8,5,3,6,2,7,1,3,5,6,2
68ed2def2034e237058f957c,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e38f,PENAGALUR,4842,63f99e67519359b7438a6b8d,Itimarpuram,593626,0,37,1,21,8,9,22,1,15,20,18,0,35,3,2,0,36,0,38,6,32,23,15,33,5,18,20,33,5
68ed2def2034e237058f957d,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e38f,PENAGALUR,4842,63f99e68519359b7438a6b97,Thirunampalle,593600,0,4,1,2,0,3,1,0,4,3,2,0,4,1,0,0,5,0,5,1,4,4,1,5,0,1,4,5,0
68ed2def2034e237058f957e,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e38f,PENAGALUR,4842,63f99e68519359b7438a6b9c,Siddavaram,593610,0,6,0,3,1,2,3,0,3,3,3,0,6,0,0,0,6,0,6,4,2,4,2,5,1,0,6,6,0
68ed2def2034e237058f957f,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e38f,PENAGALUR,4842,63f99e69519359b7438a6ba6,Velagacherla,593606,0,15,0,7,2,6,12,0,3,11,4,0,15,0,0,0,15,0,15,4,11,13,2,15,0,9,6,13,2
68ed2def2034e237058f9580,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e38f,PENAGALUR,4842,63f99e6a519359b7438a6bb5,Pondalur,593625,0,37,3,26,5,9,29,0,11,26,14,0,40,0,0,0,40,0,40,5,35,18,22,35,5,19,21,36,4
68ed2def2034e237058f9581,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e38f,PENAGALUR,4842,63f99e6a519359b7438a6bba,Sirivaram,593599,0,4,1,1,1,3,4,0,1,3,2,0,5,0,0,0,5,0,5,1,4,3,2,5,0,4,1,5,0
68ed2def2034e237058f9582,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e38f,PENAGALUR,4842,63f99e6a519359b7438a6bc4,Singanamala,593618,0,3,0,2,0,1,2,0,1,2,1,0,3,0,0,0,3,0,3,1,2,2,1,3,0,2,1,3,0
68ed2def2034e237058f9583,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e38f,PENAGALUR,4842,63f99e6c519359b7438a6be2,Penagalur,593609,0,24,1,16,2,7,14,0,11,16,9,0,25,0,0,0,25,0,25,2,23,18,7,23,2,7,18,25,0
68ed2def2034e237058f9584,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e38f,PENAGALUR,4842,63f99e6c519359b7438a6be7,Yelagacherla Mangamambapuram,593605,0,2,0,2,0,0,2,0,0,0,2,0,2,0,0,0,2,0,2,0,2,2,0,2,0,0,2,2,0
68ed2def2034e237058f9585,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e38f,PENAGALUR,4842,63f99e6d519359b7438a6bec,Damancherla,593604,0,3,0,3,0,0,3,0,0,3,0,0,3,0,0,0,3,0,3,0,3,3,0,3,0,2,1,3,0
68ed2def2034e237058f9586,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e38f,PENAGALUR,4842,63f99e6d519359b7438a6bf1,Obili,593620,0,16,2,12,1,5,13,0,5,9,9,0,17,1,0,0,18,0,18,5,13,10,8,15,2,10,8,17,1
