_id,cycle,scheme,__v,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68ed2def2034e237058f9620,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e391,PILER,4784,63f99ea2519359b7438a6fd6,Jandla,596051,0,8,0,6,1,3,5,0,5,1,11,0,7,0,0,0,6,0,6,2,11,11,2,14,0,4,9,14,0
68ed2def2034e237058f9621,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e391,PILER,4784,63f99ea2519359b7438a6fdb,Agraharam,596062,0,2,0,2,0,0,1,0,1,2,0,0,2,0,0,0,2,0,2,1,1,2,0,2,0,0,2,1,1
68ed2def2034e237058f9622,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e391,PILER,4784,63f99ea2519359b7438a6fe0,Bodumalluvaripalle,596057,0,9,1,6,4,1,8,0,8,1,19,0,7,0,0,0,7,0,7,1,26,26,1,27,0,11,14,27,0
68ed2def2034e237058f9623,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e391,PILER,4784,63f99ea3519359b7438a6fe5,Vepulabylu,596056,0,14,1,9,5,3,8,0,11,1,21,1,12,2,4,0,8,0,14,1,27,19,6,29,0,12,11,29,0
68ed2def2034e237058f9624,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e391,PILER,4784,63f99ea3519359b7438a6fea,Pileru (CT),596063,0,3,2,2,2,1,3,0,3,2,5,0,5,0,1,0,3,0,5,5,3,8,0,8,0,6,1,8,0
68ed2def2034e237058f9625,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e391,PILER,4784,63f99ea3519359b7438a6fef,Mudupulavemula,596052,0,18,3,4,8,10,3,0,19,1,21,2,13,4,1,0,16,0,18,2,21,17,6,23,0,7,15,23,0
68ed2def2034e237058f9626,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e391,PILER,4784,63f99ea3519359b7438a6ff4,Maddelacheruvu,596055,0,3,0,1,1,1,1,0,4,0,5,0,3,0,0,0,3,0,3,0,5,5,0,5,0,1,4,5,0
68ed2def2034e237058f9627,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e391,PILER,4784,63f99ea4519359b7438a6ff9,Gudarevupalle,596058,0,5,0,5,1,2,4,0,8,0,16,0,2,0,0,0,1,0,1,0,19,16,3,19,0,6,11,20,0
68ed2def2034e237058f9628,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e391,PILER,4784,63f99ea4519359b7438a6ffe,Avuvaripalle,596053,0,3,0,4,0,0,1,0,3,0,4,0,3,0,0,0,1,0,1,0,4,3,1,3,0,1,3,4,0
68ed2def2034e237058f9629,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e391,PILER,4784,63f99ea4519359b7438a7003,Mellacheruvu,596049,0,38,4,13,14,16,13,0,34,0,48,0,40,0,10,0,19,0,32,5,44,29,20,49,0,12,36,46,3
68ed2def2034e237058f962a,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e391,PILER,4784,63f99ea4519359b7438a7008,Talupula,596050,0,24,6,15,10,10,12,1,25,1,39,2,18,4,2,0,17,0,20,10,32,28,14,43,0,17,24,43,0
68ed2def2034e237058f962b,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e391,PILER,4784,63f99ea5519359b7438a700d,Regullu,596061,0,30,1,19,5,9,19,1,21,2,49,1,20,1,0,0,20,0,22,20,37,48,9,57,0,16,39,57,0
68ed2def2034e237058f962c,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e391,PILER,4784,63f99ea6519359b7438a7017,Doddipalle,596060,0,41,0,21,13,10,21,1,30,8,45,2,30,4,6,0,23,0,31,28,44,52,19,73,2,22,42,67,7
68ed2def2034e237058f962d,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e391,PILER,4784,63f99ea6519359b7438a701c,Kavalipalle,596054,0,6,0,2,3,1,2,0,4,0,6,1,5,0,0,0,6,0,6,0,6,6,0,6,0,3,3,6,0
