_id,cycle,scheme,__v,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68ed2def2034e237058f95a6,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e393,PULLAMPETA,4847,63f99e79519359b7438a6cd1,A.Channamambapuram,593687,0,5,0,1,3,1,2,0,3,1,4,0,5,0,0,1,4,2,3,5,0,5,0,5,0,1,4,5,0
68ed2def2034e237058f95a7,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e393,PULLAMPETA,4847,63f99e7a519359b7438a6cd6,Rangampalle,593689,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0
68ed2def2034e237058f95a8,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e393,PULLAMPETA,4847,63f99e7a519359b7438a6cdb,Perigavaram,593691,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0
68ed2def2034e237058f95a9,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e393,PULLAMPETA,4847,63f99e7a519359b7438a6ce0,Ketharajupalle,593692,0,2,4,4,1,1,5,0,1,4,2,0,6,0,0,0,6,3,3,5,1,3,3,6,0,1,5,6,0
68ed2def2034e237058f95aa,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e393,PULLAMPETA,4847,63f99e7a519359b7438a6ce5,Garalamadugu,593686,0,15,0,11,0,4,4,0,11,10,5,1,13,1,0,1,14,8,7,15,0,15,0,12,3,10,5,15,0
68ed2def2034e237058f95ab,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e393,PULLAMPETA,4847,63f99e7b519359b7438a6cea,Kommanavaripalle,593683,0,10,1,7,1,3,7,0,4,11,0,0,11,0,0,0,11,6,5,11,0,8,3,11,0,5,6,11,0
68ed2def2034e237058f95ac,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e393,PULLAMPETA,4847,63f99e7b519359b7438a6cef,Vathalur,593672,0,12,0,4,3,5,4,0,8,8,4,0,11,1,0,1,11,7,5,8,4,8,4,11,1,6,6,12,0
68ed2def2034e237058f95ad,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e393,PULLAMPETA,4847,63f99e7b519359b7438a6cf4,Apparajupeta,593685,0,15,0,8,3,4,6,0,9,8,7,0,15,0,0,0,15,0,15,11,4,4,11,15,0,6,9,15,0
68ed2def2034e237058f95ae,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e393,PULLAMPETA,4847,63f99e7b519359b7438a6cf9,Utukuru Venkatampalle,593679,0,2,0,1,0,1,2,0,0,1,1,0,2,0,0,0,2,0,2,0,2,2,0,0,2,0,2,1,1
68ed2def2034e237058f95af,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e393,PULLAMPETA,4847,63f99e7c519359b7438a6cfe,Kothapalle Agraharam,593682,0,3,1,4,0,0,1,0,3,4,0,0,4,0,0,0,4,4,0,4,0,4,0,4,0,2,2,4,0
68ed2def2034e237058f95b0,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e393,PULLAMPETA,4847,63f99e7c519359b7438a6d03,Anantaiahgaripalle,593676,0,20,1,12,3,6,5,0,16,17,4,0,21,0,0,0,21,14,7,20,1,14,7,19,2,10,11,21,0
68ed2def2034e237058f95b1,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e393,PULLAMPETA,4847,63f99e7c519359b7438a6d08,Dandlopalle,593680,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0
68ed2def2034e237058f95b2,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e393,PULLAMPETA,4847,63f99e7c519359b7438a6d0d,Immanur,593673,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0
