_id,cycle,scheme,__v,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68ed2def2034e237058f967e,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e399,RAMASAMUDRAM,4792,63f99ec0519359b7438a721b,Elavanellore,596530,1,20,1,9,6,9,11,2,12,22,2,0,16,4,0,0,15,1,16,17,11,15,11,26,2,12,14,26,2
68ed2def2034e237058f967f,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e399,RAMASAMUDRAM,4792,63f99ec0519359b7438a7220,R.Nadimpalle,596529,0,32,1,18,7,8,9,1,24,28,5,1,25,6,0,0,30,23,8,23,12,10,25,33,2,24,10,33,2
68ed2def2034e237058f9680,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e399,RAMASAMUDRAM,4792,63f99ec1519359b7438a7225,Ramasamudram,596531,0,13,1,4,5,5,4,1,10,10,5,0,12,2,0,0,13,4,9,13,2,8,7,12,3,10,5,15,0
68ed2def2034e237058f9681,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e399,RAMASAMUDRAM,4792,63f99ec1519359b7438a722a,Chokkandlapalle,596533,0,31,3,27,3,4,11,0,23,22,12,2,26,6,0,0,30,0,33,19,15,20,14,28,6,18,16,28,6
68ed2def2034e237058f9682,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e399,RAMASAMUDRAM,4792,63f99ec1519359b7438a722f,Arikela,596536,0,35,0,24,5,5,9,0,26,26,10,0,30,4,0,0,32,0,32,15,21,17,19,33,3,15,21,29,7
68ed2def2034e237058f9683,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e399,RAMASAMUDRAM,4792,63f99ec2519359b7438a7234,Nariganipalle,596525,0,30,1,21,5,6,12,0,20,22,10,0,24,7,0,1,29,0,31,22,10,15,17,30,2,17,15,28,4
68ed2def2034e237058f9684,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e399,RAMASAMUDRAM,4792,63f99ec2519359b7438a7239,Chembakur,596526,0,33,0,16,7,10,9,2,22,20,11,0,27,4,3,0,28,23,8,21,10,8,23,27,4,15,16,27,4
68ed2def2034e237058f9685,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e399,RAMASAMUDRAM,4792,63f99ec2519359b7438a723e,Peddakurapalle,596528,0,27,0,8,9,10,11,0,18,26,3,1,18,6,1,0,15,1,21,19,13,22,10,31,1,18,13,30,2
68ed2def2034e237058f9686,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e399,RAMASAMUDRAM,4792,63f99ec2519359b7438a7243,Kurijala,596532,0,4,0,3,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
68ed2def2034e237058f9687,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e399,RAMASAMUDRAM,4792,63f99ec3519359b7438a7248,Kappalle,596527,0,30,1,11,11,9,13,0,20,24,9,2,23,6,0,1,26,18,11,28,5,21,12,31,2,7,26,33,0
