_id,cycle,scheme,__v,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68ed2def2034e237058f953f,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f958da89d86ca9e2c0289e,Y.S.R.,504,6492facd680216eb6c93e39b,RAYACHOTY,4851,63f99e53519359b7438a69fd,Chennamukkapalle (CT),593543,0,6,0,4,1,1,4,1,1,1,5,0,4,2,0,0,6,2,4,4,2,5,1,6,0,2,4,5,1
68ed2def2034e237058f9547,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f958da89d86ca9e2c0289e,Y.S.R.,504,6492facd680216eb6c93e39b,RAYACHOTY,4851,63f99e55519359b7438a6a2f,Dullavaripalle,593540,0,7,0,7,0,0,3,0,4,1,6,0,3,4,0,0,7,0,7,4,3,5,2,7,0,2,5,5,2
68ed2def2034e237058f9540,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e39b,RAYACHOTY,4851,63f99e53519359b7438a6a07,Botlacheruvu,593533,0,15,3,17,1,0,4,1,13,2,16,0,9,9,1,0,17,0,18,5,13,3,15,18,0,16,2,12,6
68ed2def2034e237058f9541,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e39b,RAYACHOTY,4851,63f99e54519359b7438a6a11,Gorlamudiveedu,593531,0,2,0,0,1,1,2,0,0,1,1,0,1,1,0,0,2,0,2,0,2,2,0,2,0,0,2,2,0
68ed2def2034e237058f9542,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e39b,RAYACHOTY,4851,63f99e54519359b7438a6a16,Yerranagupalle,593530,0,8,0,5,1,2,3,0,5,0,8,2,6,0,0,0,8,0,8,1,7,0,8,8,0,3,5,5,3
68ed2def2034e237058f9543,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e39b,RAYACHOTY,4851,63f99e54519359b7438a6a1b,Madhavaram,593529,0,9,0,7,1,1,6,0,3,2,7,0,7,2,0,0,9,0,9,2,7,5,4,9,0,6,3,8,1
68ed2def2034e237058f9544,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e39b,RAYACHOTY,4851,63f99e54519359b7438a6a20,RAYACHOTI,930463,0,4,0,3,0,1,3,0,1,0,4,0,4,0,1,0,3,0,4,2,2,2,2,4,0,2,2,4,0
68ed2def2034e237058f9545,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e39b,RAYACHOTY,4851,63f99e55519359b7438a6a25,Sibyala,593542,0,3,2,1,1,3,3,0,2,0,5,0,4,1,0,0,5,0,5,5,0,5,0,5,0,4,1,5,0
68ed2def2034e237058f9546,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e39b,RAYACHOTY,4851,63f99e55519359b7438a6a2a,Pemmadapalle,593541,0,2,0,2,0,0,2,0,0,0,2,0,2,0,0,0,2,0,2,2,0,2,0,2,0,0,2,2,0
68ed2def2034e237058f9548,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e39b,RAYACHOTY,4851,63f99e55519359b7438a6a34,Indukurupalle,593538,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0
68ed2def2034e237058f9549,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e39b,RAYACHOTY,4851,63f99e56519359b7438a6a39,Abbavaram,593537,0,2,0,1,0,1,2,0,0,1,1,0,1,1,0,0,2,0,2,2,0,2,0,2,0,0,2,2,0
68ed2def2034e237058f954a,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e39b,RAYACHOTY,4851,63f99e56519359b7438a6a3e,Masapet (R),593536,0,15,0,15,0,0,8,0,7,2,13,1,10,4,1,0,14,0,15,11,4,4,11,15,0,9,6,8,7
68ed2def2034e237058f954b,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e39b,RAYACHOTY,4851,63f99e57519359b7438a6a4d,Katimayakunta,593528,0,26,0,25,0,1,8,4,14,7,19,2,14,10,4,1,20,0,26,12,14,4,22,26,0,12,14,18,8
68ed2def2034e237058f954c,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e39b,RAYACHOTY,4851,63f99e57519359b7438a6a52,Guntimadugu,593527,0,4,0,3,0,1,2,0,2,1,3,0,3,1,0,0,4,0,4,2,2,2,2,4,0,1,2,2,2
