_id,cycle,scheme,__v,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68ed2def2034e237058f9529,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e39d,SAMBEPALLE,4852,63f99e4c519359b7438a6977,Guttapalle,593511,0,17,1,6,9,3,10,2,6,16,2,0,14,4,0,0,18,0,18,18,0,18,0,18,0,11,7,16,2
68ed2def2034e237058f952a,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e39d,SAMBEPALLE,4852,63f99e4c519359b7438a697c,Devapatla,593509,0,56,6,20,20,22,9,8,45,54,8,0,62,0,0,0,61,1,61,56,6,49,13,59,3,45,17,55,7
68ed2def2034e237058f952b,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e39d,SAMBEPALLE,4852,63f99e4c519359b7438a6981,Gunnikuntla,593504,1,44,5,24,14,12,9,7,34,45,5,0,49,0,0,0,48,1,47,41,10,46,5,50,1,21,30,50,1
68ed2def2034e237058f952c,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e39d,SAMBEPALLE,4852,63f99e4c519359b7438a6986,Sambepalle,593507,0,18,0,4,6,8,6,4,8,4,14,0,13,5,0,0,18,0,18,17,1,17,1,18,0,8,10,18,0
68ed2def2034e237058f952d,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e39d,SAMBEPALLE,4852,63f99e4d519359b7438a698b,Guriginjakunta,593505,0,23,3,3,10,13,2,0,24,19,7,0,26,0,0,0,26,0,26,24,2,26,0,26,0,14,12,25,1
68ed2def2034e237058f952e,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e39d,SAMBEPALLE,4852,63f99e4d519359b7438a6990,Dudyala,593506,1,37,0,18,8,12,17,0,21,33,5,0,19,19,0,0,38,1,37,37,1,37,1,37,1,17,21,35,3
68ed2def2034e237058f952f,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e39d,SAMBEPALLE,4852,63f99e4d519359b7438a6995,Routhukunta,593508,0,28,3,8,14,9,4,3,24,22,9,0,30,1,0,1,30,0,31,27,4,31,0,30,1,18,13,31,0
68ed2def2034e237058f9530,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e39d,SAMBEPALLE,4852,63f99e4e519359b7438a699a,Settipalle,593512,0,37,1,21,5,12,17,1,20,28,10,0,22,16,0,0,38,0,38,37,1,25,12,37,1,27,11,38,0
68ed2def2034e237058f9531,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e39d,SAMBEPALLE,4852,63f99e4e519359b7438a69a4,Motakatla,593503,1,42,3,24,11,14,6,10,33,43,6,1,35,9,6,0,38,0,44,35,14,34,15,49,0,28,21,47,2
68ed2def2034e237058f9532,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e39d,SAMBEPALLE,4852,63f99e4e519359b7438a69a9,Narayanareddipalle,593502,0,45,7,32,7,13,5,8,39,43,9,0,51,1,0,0,52,1,51,38,14,37,15,52,0,27,25,52,0
