_id,cycle,scheme,__v,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68ed2def2034e237058f9533,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e3a1,T.SUNDUPALLE,4856,63f99e4f519359b7438a69b0,Mudampadu,593526,0,22,0,11,6,5,13,1,8,1,21,0,13,9,0,0,20,0,22,12,10,20,2,22,0,12,10,21,1
68ed2def2034e237058f9534,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e3a1,T.SUNDUPALLE,4856,63f99e4f519359b7438a69b5,Peddinenikalva,593525,0,25,0,10,8,7,18,0,7,2,23,1,19,4,0,0,22,0,24,13,12,14,11,25,0,10,15,18,7
68ed2def2034e237058f9535,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e3a1,T.SUNDUPALLE,4856,63f99e4f519359b7438a69bf,Rayavaram,593522,0,6,0,3,1,2,5,0,1,0,6,0,6,0,0,0,6,0,6,4,2,3,3,6,0,4,2,6,0
68ed2def2034e237058f9536,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e3a1,T.SUNDUPALLE,4856,63f99e50519359b7438a69c9,Akkampalle,593520,1,14,0,7,4,4,11,0,4,2,13,0,12,3,0,0,15,0,15,13,2,8,7,15,0,8,7,14,1
68ed2def2034e237058f9537,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e3a1,T.SUNDUPALLE,4856,63f99e50519359b7438a69ce,Gundlapalle,593518,0,63,3,52,5,8,57,0,9,6,60,1,60,5,2,0,64,0,66,27,39,14,52,65,0,35,31,53,13
68ed2def2034e237058f9538,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e3a1,T.SUNDUPALLE,4856,63f99e50519359b7438a69d3,Reddivaripalle,593517,0,19,0,17,1,5,18,0,8,8,17,0,14,3,0,0,17,0,17,27,2,22,7,26,3,11,17,29,0
68ed2def2034e237058f9539,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e3a1,T.SUNDUPALLE,4856,63f99e51519359b7438a69d8,Yerramanenipalem,593516,0,15,0,9,3,4,14,0,3,0,18,1,11,2,0,0,11,0,14,10,8,12,6,18,0,7,11,17,1
68ed2def2034e237058f953a,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e3a1,T.SUNDUPALLE,4856,63f99e51519359b7438a69dd,T Sundupalle,593514,0,44,0,27,8,9,32,0,12,1,42,1,37,6,0,0,43,0,43,24,20,32,12,44,0,23,21,43,1
68ed2def2034e237058f953b,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e3a1,T.SUNDUPALLE,4856,63f99e51519359b7438a69e2,Polimerapalle,593513,1,55,2,19,24,15,38,1,19,4,55,0,38,20,0,0,57,0,57,29,31,33,26,60,0,28,31,46,14
68ed2def2034e237058f953c,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e3a1,T.SUNDUPALLE,4856,63f99e51519359b7438a69e7,Madithadu,593523,1,52,2,28,14,13,36,1,19,1,55,0,43,9,0,0,52,0,52,36,21,30,27,57,0,35,22,55,2
