_id,cycle,scheme,__v,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68ed2def2034e237058f95e2,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e39f,THAMBALLAPALLE,4801,63f99e8c519359b7438a6e3c,Kotakonda,595631,0,43,1,36,3,5,42,0,2,13,31,0,44,0,1,0,43,1,43,21,23,17,27,43,0,24,20,39,5
68ed2def2034e237058f95e3,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e39f,THAMBALLAPALLE,4801,63f99e8d519359b7438a6e41,Renimakulapalle,595630,1,37,2,25,4,11,38,0,2,10,30,0,40,0,0,0,40,0,40,24,16,21,19,40,0,17,23,40,0
68ed2def2034e237058f95e4,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e39f,THAMBALLAPALLE,4801,63f99e8d519359b7438a6e46,Kannemadugu,595629,0,18,3,14,3,4,18,0,3,14,7,2,18,1,0,0,21,0,21,2,18,2,19,20,0,7,14,20,0
68ed2def2034e237058f95e5,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e39f,THAMBALLAPALLE,4801,63f99e8d519359b7438a6e4b,Marrimakulapalle,595628,2,33,3,22,3,13,29,1,8,13,25,2,32,4,0,15,23,15,23,9,29,13,25,35,1,8,30,35,3
68ed2def2034e237058f95e6,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e39f,THAMBALLAPALLE,4801,63f99e8d519359b7438a6e50,Eddulavaripalle,595624,0,23,0,18,1,4,17,0,6,9,14,3,17,3,0,0,23,0,23,11,12,14,9,23,0,7,16,23,0
68ed2def2034e237058f95e7,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e39f,THAMBALLAPALLE,4801,63f99e8e519359b7438a6e55,Kotala,595617,0,53,0,41,1,11,37,1,15,22,31,11,31,11,4,0,49,0,53,17,36,34,19,51,2,16,37,53,0
68ed2def2034e237058f95e8,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e39f,THAMBALLAPALLE,4801,63f99e8e519359b7438a6e5a,Kukkarajupalle,595632,0,36,5,28,2,11,33,0,8,16,25,0,40,0,0,0,40,0,40,22,19,16,25,38,2,18,23,41,0
68ed2def2034e237058f95e9,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e39f,THAMBALLAPALLE,4801,63f99e8e519359b7438a6e5f,Kosuvaripalle,595627,0,81,1,65,2,16,73,0,10,19,64,1,81,0,0,0,82,0,82,51,32,56,27,80,2,15,68,82,1
68ed2def2034e237058f95ea,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e39f,THAMBALLAPALLE,4801,63f99e8f519359b7438a6e64,Panchalamarri,595626,0,11,0,10,0,1,8,0,3,10,1,1,10,0,0,0,10,0,11,3,8,8,3,10,0,7,4,11,0
68ed2def2034e237058f95eb,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e39f,THAMBALLAPALLE,4801,63f99e8f519359b7438a6e69,Yerrasanipalle,595625,0,8,0,7,0,1,3,0,5,5,3,0,8,0,0,0,8,0,8,1,7,3,5,8,0,3,5,8,0
