_id,cycle,scheme,__v,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68ed2def2034e237058f963a,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e3a3,VALMIKIPURAM,4807,63f99eaa519359b7438a706b,Gandaboyanapalle,596094,0,30,1,13,6,12,11,0,20,22,9,0,29,2,0,2,28,1,30,24,7,16,15,29,2,3,28,31,0
68ed2def2034e237058f963b,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e3a3,VALMIKIPURAM,4807,63f99eaa519359b7438a7070,Chintaparthi,596093,0,54,3,26,11,20,21,0,36,38,19,1,49,7,1,10,45,0,57,42,15,49,8,52,5,17,40,55,2
68ed2def2034e237058f963c,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e3a3,VALMIKIPURAM,4807,63f99eab519359b7438a7075,Aramadaka,596089,0,10,0,4,2,4,3,0,7,7,3,0,10,0,0,3,7,0,10,8,2,7,3,9,1,0,10,7,3
68ed2def2034e237058f963d,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e3a3,VALMIKIPURAM,4807,63f99eab519359b7438a707a,Vittalam,596087,0,8,0,5,1,2,6,0,2,5,3,0,8,0,0,2,6,0,8,8,0,5,3,7,1,3,5,8,0
68ed2def2034e237058f963e,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e3a3,VALMIKIPURAM,4807,63f99eab519359b7438a7084,Nagarimadugu,596079,0,23,1,14,4,6,10,1,13,18,6,0,22,2,0,7,17,0,24,22,2,10,14,24,0,15,9,24,0
68ed2def2034e237058f963f,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e3a3,VALMIKIPURAM,4807,63f99eac519359b7438a7098,Chinthalavaripalle,596090,0,22,0,13,3,6,4,0,18,18,4,0,22,0,0,15,7,0,22,19,3,19,3,21,1,4,18,22,0
68ed2def2034e237058f9640,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e3a3,VALMIKIPURAM,4807,63f99ead519359b7438a709d,Kuraparthi,596088,0,18,1,10,2,7,7,1,11,12,7,1,15,3,0,11,8,0,19,17,2,12,7,18,1,4,15,19,0
68ed2def2034e237058f9641,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e3a3,VALMIKIPURAM,4807,63f99ead519359b7438a70a2,Valmikipuram,596086,0,79,1,43,8,29,38,0,42,51,29,2,66,12,0,15,65,0,80,68,12,52,28,75,5,35,45,78,2
68ed2def2034e237058f9642,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e3a3,VALMIKIPURAM,4807,63f99ead519359b7438a70a7,Jarravaripalle,596085,1,29,0,11,0,19,19,0,11,16,14,0,29,1,0,13,17,0,30,23,7,18,12,30,0,15,15,30,0
68ed2def2034e237058f9643,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e3a3,VALMIKIPURAM,4807,63f99ead519359b7438a70ac,Manchuru,596083,0,29,0,13,5,11,10,0,19,15,14,0,23,6,0,7,22,0,29,21,8,23,6,27,1,19,10,29,0
68ed2def2034e237058f9644,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e3a3,VALMIKIPURAM,4807,63f99eae519359b7438a70b1,Thatiguntapalle,596082,0,34,0,21,3,10,12,1,21,19,15,1,29,4,0,8,26,1,33,29,5,25,9,33,1,17,17,33,1
68ed2def2034e237058f9645,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e3a3,VALMIKIPURAM,4807,63f99eae519359b7438a70b6,T.Sakirevupalle,596081,0,23,0,15,3,5,14,0,9,13,10,0,21,2,0,6,17,0,23,20,3,19,4,23,0,4,19,23,0
