_id,cycle,scheme,__v,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68ed2def2034e237058f9158,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492face680216eb6c93e3a7,ADDANKI,5454,63f99cba519359b7438a4be8,Addanki (South) (U),590777,0,29,3,0,26,6,30,0,2,20,12,0,30,2,0,0,32,0,32,5,27,24,8,29,3,32,0,20,12
68ed2def2034e237058f9159,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492face680216eb6c93e3a7,ADDANKI,5454,63f99cbb519359b7438a4bed,Dhenuva Konda,590774,0,17,1,4,8,6,18,0,0,13,5,0,17,1,0,0,18,1,17,4,14,16,2,10,8,18,0,16,2
68ed2def2034e237058f915a,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492face680216eb6c93e3a7,ADDANKI,5454,63f99cbb519359b7438a4bf2,Modepalle,590773,0,13,1,0,12,2,14,0,0,10,4,0,14,0,2,0,12,0,14,1,13,9,5,14,0,14,0,11,3
68ed2def2034e237058f915b,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492face680216eb6c93e3a7,ADDANKI,5454,63f99cbb519359b7438a4bf7,Kunkupadu,590772,0,8,0,0,8,0,1,0,7,3,5,0,8,0,0,0,8,0,8,0,8,1,7,8,0,3,5,0,8
68ed2def2034e237058f915c,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492face680216eb6c93e3a7,ADDANKI,5454,63f99cbb519359b7438a4bfc,Addanki (North) (U),590769,0,31,0,1,24,6,30,0,1,18,13,0,30,1,0,0,31,2,29,9,22,29,2,29,2,29,2,28,3
68ed2def2034e237058f915d,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492face680216eb6c93e3a7,ADDANKI,5454,63f99cbc519359b7438a4c01,Bommanampadu,590768,0,20,1,0,14,7,21,0,0,12,9,0,21,0,1,0,20,0,21,7,14,19,2,20,1,13,8,20,1
68ed2def2034e237058f915e,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492face680216eb6c93e3a7,ADDANKI,5454,63f99cbc519359b7438a4c0b,Chakraya Palem,590765,0,8,0,0,6,2,8,0,0,6,2,0,8,0,0,0,8,0,8,6,2,6,2,6,2,6,2,8,0
68ed2def2034e237058f915f,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492face680216eb6c93e3a7,ADDANKI,5454,63f99cbc519359b7438a4c10,Chinakotha Palle,590762,0,13,0,0,12,1,12,0,1,7,6,0,12,1,0,0,13,2,11,3,10,11,2,9,4,12,1,12,1
68ed2def2034e237058f9160,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492face680216eb6c93e3a7,ADDANKI,5454,63f99cbd519359b7438a4c15,Mani Keswaram,590776,0,12,1,0,12,1,13,0,0,9,4,0,13,0,1,0,12,1,12,5,8,7,6,13,0,13,0,9,4
68ed2def2034e237058f9161,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492face680216eb6c93e3a7,ADDANKI,5454,63f99cbd519359b7438a4c1f,Kotikalapudi,590771,0,17,0,1,13,3,10,0,7,15,2,0,17,0,0,0,17,1,16,4,13,10,7,16,1,13,4,12,5
