_id,cycle,scheme,__v,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68ed2def2034e237058f908a,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492face680216eb6c93e3a9,AMRUTHALUR,4924,63f99c7d519359b7438a476e,Thurumella,590391,0,35,1,0,24,12,16,0,20,30,6,1,33,2,0,0,36,6,30,14,22,17,19,36,0,13,23,28,8
68ed2def2034e237058f908b,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492face680216eb6c93e3a9,AMRUTHALUR,4924,63f99c7e519359b7438a4773,Pyaparru,590395,0,52,1,0,46,7,27,0,26,44,9,1,48,4,0,0,53,3,50,16,37,20,33,52,1,27,26,47,6
68ed2def2034e237058f908c,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492face680216eb6c93e3a9,AMRUTHALUR,4924,63f99c7e519359b7438a4778,Govada,590398,0,63,15,0,34,44,69,0,9,50,28,0,62,16,0,0,78,23,55,24,54,56,22,78,0,66,12,66,12
68ed2def2034e237058f908d,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492face680216eb6c93e3a9,AMRUTHALUR,4924,63f99c7e519359b7438a477d,Panchalavaram,590393,0,52,0,0,18,34,46,0,6,50,2,0,49,3,0,0,52,5,47,20,32,43,9,52,0,46,6,52,0
68ed2def2034e237058f908e,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492face680216eb6c93e3a9,AMRUTHALUR,4924,63f99c7f519359b7438a4787,Mulpur,590387,0,57,0,0,16,41,53,0,4,40,17,0,57,0,0,0,57,3,54,6,51,50,7,57,0,50,7,56,1
68ed2def2034e237058f908f,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492face680216eb6c93e3a9,AMRUTHALUR,4924,63f99c7f519359b7438a478c,Moparru,590390,0,41,0,0,27,14,28,0,13,33,8,0,40,1,0,0,41,0,41,3,38,36,5,41,0,36,5,39,2
68ed2def2034e237058f9090,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492face680216eb6c93e3a9,AMRUTHALUR,4924,63f99c7f519359b7438a4791,Koditadiparru,590389,0,38,0,0,34,4,17,0,21,25,13,0,38,0,0,0,38,0,38,12,26,21,17,38,0,21,17,32,6
68ed2def2034e237058f9091,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492face680216eb6c93e3a9,AMRUTHALUR,4924,63f99c80519359b7438a4796,Peddapudi,590388,0,41,0,1,36,4,30,0,11,35,6,0,41,0,0,0,41,4,37,33,8,15,26,41,0,11,30,40,1
68ed2def2034e237058f9092,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492face680216eb6c93e3a9,AMRUTHALUR,4924,63f99c80519359b7438a479b,Kuchipudi,590386,0,56,0,0,18,38,46,0,10,50,6,0,56,0,0,0,56,1,55,15,41,45,11,56,0,49,7,54,2
68ed2def2034e237058f9093,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492face680216eb6c93e3a9,AMRUTHALUR,4924,63f99c80519359b7438a47a0,Amruthalur,590392,0,71,35,0,88,18,98,0,8,85,21,1,67,38,0,0,106,14,92,43,63,59,47,106,0,79,27,93,13
68ed2def2034e237058f9094,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492face680216eb6c93e3a9,AMRUTHALUR,4924,63f99c80519359b7438a47a5,Yelavarru,590394,0,69,2,0,67,4,57,0,14,54,17,0,70,1,0,0,71,15,56,48,23,30,41,71,0,35,36,50,21
68ed2def2034e237058f9095,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492face680216eb6c93e3a9,AMRUTHALUR,4924,63f99c81519359b7438a47aa,Intur,590397,1,86,14,1,94,6,92,0,9,85,16,3,90,8,0,0,101,13,88,16,85,78,23,101,0,87,14,32,69
