_id,cycle,scheme,__v,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68ed2def2034e237058f910e,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492face680216eb6c93e3ab,BALLIKURAVA,5456,63f99ca4519359b7438a4a45,Sankaralingam Gudipadu,590685,0,15,0,0,15,0,10,0,5,7,8,0,15,0,0,0,15,2,13,5,10,3,12,12,3,11,4,5,10
68ed2def2034e237058f910f,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492face680216eb6c93e3ab,BALLIKURAVA,5456,63f99ca4519359b7438a4a4a,Kukatla Palle,590689,0,15,0,0,14,1,13,0,2,9,6,0,15,0,1,0,14,0,15,1,14,7,8,15,0,15,0,2,13
68ed2def2034e237058f9110,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492face680216eb6c93e3ab,BALLIKURAVA,5456,63f99ca4519359b7438a4a4f,Gorre Padu,590690,0,30,0,0,29,1,18,0,12,21,9,0,30,0,0,0,30,0,30,0,30,12,18,29,1,30,0,3,27
68ed2def2034e237058f9111,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492face680216eb6c93e3ab,BALLIKURAVA,5456,63f99ca5519359b7438a4a54,Koppera Padu,590691,0,16,0,0,16,0,13,0,3,13,3,0,16,0,0,0,16,1,15,15,1,2,14,13,3,16,0,16,0
68ed2def2034e237058f9112,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492face680216eb6c93e3ab,BALLIKURAVA,5456,63f99ca5519359b7438a4a59,Valla Palle,590692,0,29,0,0,29,0,27,0,2,22,7,0,29,0,1,0,28,0,29,29,0,6,23,20,9,20,9,29,0
68ed2def2034e237058f9113,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492face680216eb6c93e3ab,BALLIKURAVA,5456,63f99ca5519359b7438a4a5e,Mukteswaram,590686,0,14,0,0,13,1,4,1,9,11,3,0,14,0,0,0,14,0,14,1,13,1,13,9,5,11,3,13,1
68ed2def2034e237058f9114,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492face680216eb6c93e3ab,BALLIKURAVA,5456,63f99ca5519359b7438a4a63,Guntupalle,590687,0,29,0,0,28,1,19,1,9,23,6,0,29,0,1,0,28,1,28,19,10,10,19,22,7,23,6,29,0
68ed2def2034e237058f9115,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492face680216eb6c93e3ab,BALLIKURAVA,5456,63f99ca6519359b7438a4a68,Uppumaguluru,590680,0,29,1,0,29,1,30,0,0,18,12,0,30,0,2,0,28,2,28,3,25,8,20,27,3,26,4,28,2
68ed2def2034e237058f9116,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492face680216eb6c93e3ab,BALLIKURAVA,5456,63f99ca6519359b7438a4a6d,Konidena,590682,0,32,0,0,32,0,29,0,3,14,18,0,32,0,0,0,32,3,29,1,31,8,24,24,8,26,6,32,0
68ed2def2034e237058f9117,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492face680216eb6c93e3ab,BALLIKURAVA,5456,63f99ca6519359b7438a4a72,Koppera Palem,590679,0,14,0,0,12,2,13,0,1,10,4,0,14,0,0,0,14,0,14,1,13,3,11,14,0,14,0,14,0
