_id,cycle,scheme,__v,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68ed2def2034e237058f90cc,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492face680216eb6c93e3ad,BAPATLA,4926,63f99c91519359b7438a48df,Gopapuram,590458,0,1,3,0,2,2,4,0,0,4,0,3,1,0,0,2,2,0,4,0,4,2,2,3,1,4,0,4,0
68ed2def2034e237058f90cd,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492face680216eb6c93e3ad,BAPATLA,4926,63f99c91519359b7438a48e4,Gudipudi,590462,0,9,1,0,9,1,5,0,5,6,4,0,9,1,0,0,10,1,9,0,10,8,2,10,0,8,2,1,9
68ed2def2034e237058f90ce,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492face680216eb6c93e3ad,BAPATLA,4926,63f99c91519359b7438a48e9,Jammulapalem,590468,1,9,23,0,31,2,27,0,6,19,14,1,3,29,0,0,33,4,29,30,3,16,17,33,0,20,13,29,4
68ed2def2034e237058f90cf,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492face680216eb6c93e3ad,BAPATLA,4926,63f99c92519359b7438a48ee,Palaparthipadu,590461,0,2,5,0,7,0,4,0,3,4,3,0,7,0,0,0,7,0,7,1,6,7,0,7,0,5,2,6,1
68ed2def2034e237058f90d0,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492face680216eb6c93e3ad,BAPATLA,4926,63f99c92519359b7438a48f3,Kankatapalem,590472,0,38,0,0,37,1,29,0,9,30,8,0,38,0,1,0,37,19,19,2,36,20,18,38,0,33,5,5,33
68ed2def2034e237058f90d1,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492face680216eb6c93e3ad,BAPATLA,4926,63f99c92519359b7438a48f8,Etheru,590460,0,11,25,0,31,5,34,0,2,28,8,0,31,5,0,0,36,4,32,27,9,15,21,36,0,28,8,29,7
68ed2def2034e237058f90d2,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492face680216eb6c93e3ad,BAPATLA,4926,63f99c92519359b7438a48fd,Narasayapalem,590470,0,32,1,0,26,7,25,0,8,27,6,0,33,0,0,0,33,0,33,0,33,10,23,33,0,32,1,0,33
68ed2def2034e237058f90d3,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492face680216eb6c93e3ad,BAPATLA,4926,63f99c93519359b7438a4902,Neredupalle,590463,0,8,1,0,8,1,5,0,4,5,4,0,4,5,0,0,9,1,8,0,9,4,5,9,0,7,2,0,9
68ed2def2034e237058f90d4,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492face680216eb6c93e3ad,BAPATLA,4926,63f99c93519359b7438a4907,Mulapalem,590467,0,6,12,0,17,1,9,0,9,13,5,0,18,0,0,0,18,4,14,1,17,3,15,18,0,17,1,0,18
68ed2def2034e237058f90d5,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492face680216eb6c93e3ad,BAPATLA,4926,63f99c93519359b7438a490c,Murukondapadu,590471,0,63,0,0,60,3,61,0,2,56,7,0,63,0,0,0,63,19,44,58,5,45,18,62,1,55,8,54,9
