_id,cycle,scheme,__v,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68ed2def2034e237058f90ac,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492face680216eb6c93e3af,BHATTIPROLU,4928,63f99c88519359b7438a4832,Pesarlanka,590433,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0
68ed2def2034e237058f90ad,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492face680216eb6c93e3af,BHATTIPROLU,4928,63f99c88519359b7438a483c,Surepalle,590427,0,51,0,0,45,5,48,0,3,46,5,0,50,1,0,0,51,51,0,33,18,34,17,50,1,46,5,9,42
68ed2def2034e237058f90ae,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492face680216eb6c93e3af,BHATTIPROLU,4928,63f99c88519359b7438a4841,Pedapulivarru,590431,0,52,0,0,51,1,37,1,14,44,8,0,50,2,0,0,52,6,46,26,26,18,32,52,0,51,1,46,6
68ed2def2034e237058f90af,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492face680216eb6c93e3af,BHATTIPROLU,4928,63f99c89519359b7438a4846,Pedalanka,590434,0,1,1,0,1,1,2,0,0,1,1,0,1,1,0,0,2,2,0,0,2,0,2,2,0,2,0,2,0
68ed2def2034e237058f90b0,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492face680216eb6c93e3af,BHATTIPROLU,4928,63f99c89519359b7438a484b,Oleru,590435,0,53,1,0,54,0,54,0,0,46,8,0,52,2,0,0,54,4,50,3,51,12,41,54,0,52,2,50,4
68ed2def2034e237058f90b1,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492face680216eb6c93e3af,BHATTIPROLU,4928,63f99c89519359b7438a4850,Konetipuram,590428,0,52,0,0,48,4,48,0,4,51,1,1,48,3,0,0,52,1,51,15,37,10,42,51,1,45,7,41,11
68ed2def2034e237058f90b2,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492face680216eb6c93e3af,BHATTIPROLU,4928,63f99c89519359b7438a4855,Bhattiprolu,590426,0,112,0,0,109,2,86,0,26,97,15,6,106,0,0,0,112,41,71,7,105,30,82,110,2,63,49,5,107
68ed2def2034e237058f90b3,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492face680216eb6c93e3af,BHATTIPROLU,4928,63f99c8a519359b7438a485a,Pallekona,590429,0,41,0,0,39,2,31,0,10,38,3,0,41,0,0,0,41,17,24,2,39,10,31,41,0,28,13,2,39
68ed2def2034e237058f90b4,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492face680216eb6c93e3af,BHATTIPROLU,4928,63f99c8a519359b7438a485f,Gorigapudi,590430,0,49,1,0,48,2,48,0,2,44,6,1,49,0,0,0,50,0,50,50,0,35,15,34,16,44,6,25,25
68ed2def2034e237058f90b5,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492face680216eb6c93e3af,BHATTIPROLU,4928,63f99c8a519359b7438a4864,Vellaturu,590432,0,54,1,0,54,1,45,0,10,44,11,0,55,0,0,0,55,2,53,22,33,23,32,55,0,51,4,35,20
68ed2def2034e237058f90b6,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492face680216eb6c93e3af,BHATTIPROLU,4928,63f99c8a519359b7438a4869,Addepalli,590425,0,101,0,1,81,19,70,0,31,94,7,0,98,3,0,0,101,29,72,19,82,59,42,99,2,63,38,74,27
