_id,cycle,scheme,__v,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68ed2def2034e237058f90b7,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492face680216eb6c93e3b1,CHERUKUPALLE,4931,63f99c8b519359b7438a4870,Arumbaka,590439,0,193,42,1,171,62,131,3,101,196,39,0,169,66,0,0,235,2,233,189,46,84,150,234,1,172,63,223,12
68ed2def2034e237058f90b8,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492face680216eb6c93e3b1,CHERUKUPALLE,4931,63f99c8b519359b7438a4875,Gudavalli,590442,0,9,3,1,11,0,10,0,2,12,0,0,8,4,0,0,12,0,12,1,11,10,2,12,0,5,7,12,0
68ed2def2034e237058f90b9,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492face680216eb6c93e3b1,CHERUKUPALLE,4931,63f99c8b519359b7438a487a,Nadimpalle,590441,0,50,1,1,32,18,31,1,19,39,12,0,50,1,0,2,49,11,40,42,9,30,21,49,2,42,9,38,13
68ed2def2034e237058f90ba,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492face680216eb6c93e3b1,CHERUKUPALLE,4931,63f99c8c519359b7438a487f,Kanagala,590443,0,3,1,0,4,0,4,0,0,3,1,0,3,1,0,0,4,1,3,2,1,1,3,4,0,4,0,4,0
68ed2def2034e237058f90bb,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492face680216eb6c93e3b1,CHERUKUPALLE,4931,63f99c8c519359b7438a4884,Rajavolu,590444,0,53,8,0,34,27,24,1,36,41,20,0,54,7,0,2,59,3,58,50,11,55,5,58,3,46,15,54,7
68ed2def2034e237058f90bc,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492face680216eb6c93e3b1,CHERUKUPALLE,4931,63f99c8c519359b7438a4889,Rambhotlapalem,590436,0,120,5,0,93,32,81,0,44,87,38,0,115,10,0,1,124,3,122,104,21,75,49,104,21,104,21,100,25
68ed2def2034e237058f90bd,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492face680216eb6c93e3b1,CHERUKUPALLE,4931,63f99c8c519359b7438a488e,Arepalle,590445,0,48,5,0,47,6,31,0,22,47,6,0,46,7,0,8,45,6,47,50,3,49,4,53,0,38,15,42,11
68ed2def2034e237058f90be,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492face680216eb6c93e3b1,CHERUKUPALLE,4931,63f99c8d519359b7438a4893,Ponnapalle,590440,0,59,8,0,53,13,41,0,26,55,12,0,56,11,1,0,66,4,63,59,8,16,51,67,0,55,12,47,20
68ed2def2034e237058f90bf,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492face680216eb6c93e3b1,CHERUKUPALLE,4931,63f99c8d519359b7438a4898,Balusulapalem,590438,0,55,2,0,27,29,42,1,14,39,18,0,55,2,0,0,57,0,57,53,4,39,18,53,4,48,9,52,5
68ed2def2034e237058f90c0,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492face680216eb6c93e3b1,CHERUKUPALLE,4931,63f99c8d519359b7438a489d,Kavuru,590437,0,66,1,0,44,23,55,0,12,52,15,0,63,4,0,0,67,0,67,53,14,39,27,58,9,48,19,55,12
