_id,cycle,scheme,__v,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68ed2def2034e237058f914b,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492face680216eb6c93e3b9,JANAKAVARAM PONGULURU,5470,63f99cb6519359b7438a4b9b,Alavalapadu,590754,0,19,2,0,18,3,11,0,10,14,7,0,21,0,1,0,20,0,21,0,21,7,14,10,11,7,14,18,3
68ed2def2034e237058f914c,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492face680216eb6c93e3b9,JANAKAVARAM PONGULURU,5470,63f99cb7519359b7438a4ba0,Budavada,590750,0,21,0,0,20,1,16,0,5,13,8,0,17,4,0,0,21,1,20,0,21,5,16,21,0,17,4,0,21
68ed2def2034e237058f914d,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492face680216eb6c93e3b9,JANAKAVARAM PONGULURU,5470,63f99cb7519359b7438a4baa,Reningavaram,590752,0,12,0,0,12,0,6,0,6,3,9,0,11,1,0,0,12,0,12,0,12,0,12,10,2,4,8,3,9
68ed2def2034e237058f914e,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492face680216eb6c93e3b9,JANAKAVARAM PONGULURU,5470,63f99cb8519359b7438a4baf,Thurpu Thakkella Padu,590755,0,5,0,0,3,2,5,0,0,4,1,0,5,0,0,0,5,0,5,1,4,3,2,5,0,0,5,0,5
68ed2def2034e237058f914f,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492face680216eb6c93e3b9,JANAKAVARAM PONGULURU,5470,63f99cb8519359b7438a4bb4,Kasyapuram,590753,0,8,0,0,8,0,7,0,1,4,4,0,7,1,0,0,8,0,8,0,8,1,7,7,1,0,8,6,2
68ed2def2034e237058f9150,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492face680216eb6c93e3b9,JANAKAVARAM PONGULURU,5470,63f99cb8519359b7438a4bb9,Bytamanjulur,590746,0,17,1,0,18,0,15,0,3,6,12,0,17,1,0,0,18,0,18,1,17,8,10,17,1,0,18,3,15
68ed2def2034e237058f9151,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492face680216eb6c93e3b9,JANAKAVARAM PONGULURU,5470,63f99cb8519359b7438a4bbe,Muppavaram,590747,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0
68ed2def2034e237058f9152,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492face680216eb6c93e3b9,JANAKAVARAM PONGULURU,5470,63f99cb9519359b7438a4bc3,Thurpu Koppera Padu,590756,0,16,1,0,11,6,15,0,2,9,8,0,16,1,0,0,17,0,17,7,10,7,10,16,1,6,11,11,6
68ed2def2034e237058f9153,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492face680216eb6c93e3b9,JANAKAVARAM PONGULURU,5470,63f99cb9519359b7438a4bc8,Konda Manjulur,590745,0,21,4,1,20,4,19,0,6,18,7,0,22,3,0,0,25,1,24,8,17,10,15,23,2,11,14,5,20
68ed2def2034e237058f9154,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492face680216eb6c93e3b9,JANAKAVARAM PONGULURU,5470,63f99cb9519359b7438a4bcd,Chandalur,590757,0,15,9,0,20,4,16,0,8,18,6,0,24,0,0,0,24,0,24,1,23,9,15,12,12,19,5,12,12
