_id,cycle,scheme,__v,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68ed2def2034e237058f90a2,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3bf,KOLLUR,4944,63f99c85519359b7438a47f9,Potharlanka,590423,0,74,27,0,56,45,64,0,37,100,1,0,61,40,1,0,100,1,100,15,86,90,11,98,3,94,7,62,39
68ed2def2034e237058f90a3,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3bf,KOLLUR,4944,63f99c85519359b7438a47fe,Gajullanka,590415,0,40,39,2,51,26,52,0,27,79,0,8,23,48,0,0,79,0,79,24,55,36,42,67,9,69,9,49,30
68ed2def2034e237058f90a4,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3bf,KOLLUR,4944,63f99c85519359b7438a4803,Ipur,590414,0,10,5,1,9,5,10,0,5,14,1,0,7,8,0,0,15,0,15,11,4,6,9,13,2,11,4,13,2
68ed2def2034e237058f90a5,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3bf,KOLLUR,4944,63f99c85519359b7438a4808,Chilumuru,590413,0,25,15,0,12,28,22,0,18,38,2,0,21,19,0,0,40,1,39,1,39,15,25,27,12,39,1,36,4
68ed2def2034e237058f90a6,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3bf,KOLLUR,4944,63f99c86519359b7438a480d,Donepudi,590422,0,9,12,0,18,3,15,0,6,21,0,10,3,8,0,0,21,0,21,2,19,3,18,21,0,21,0,4,17
68ed2def2034e237058f90a7,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3bf,KOLLUR,4944,63f99c86519359b7438a4812,Chinapulivarru,590421,0,30,11,0,29,12,27,0,14,39,2,3,24,14,0,0,41,0,41,1,40,7,34,41,0,41,0,21,20
68ed2def2034e237058f90a8,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3bf,KOLLUR,4944,63f99c86519359b7438a4817,Ravikampadu,590419,0,75,7,0,43,39,46,0,36,81,1,6,75,1,0,0,82,0,82,9,73,47,35,80,1,78,4,51,31
68ed2def2034e237058f90a9,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3bf,KOLLUR,4944,63f99c87519359b7438a4821,Kollur,590417,0,70,33,1,57,45,67,1,35,100,3,3,54,46,2,0,101,1,102,14,89,74,28,101,1,99,4,64,39
68ed2def2034e237058f90aa,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3bf,KOLLUR,4944,63f99c87519359b7438a4826,Pedalanka,590416,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0
68ed2def2034e237058f90ab,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3bf,KOLLUR,4944,63f99c87519359b7438a482b,Ananthavaram,590412,0,14,28,2,36,4,24,0,18,42,0,0,5,37,0,0,42,1,41,33,9,32,10,28,14,26,16,38,4
