_id,cycle,scheme,__v,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68ed2def2034e237058f9168,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3c1,KORISAPADU,5477,63f99cbf519359b7438a4c49,Prasangula Padu,591014,0,14,0,0,5,9,14,0,0,13,1,0,13,1,0,0,14,0,14,0,14,13,1,14,0,5,9,14,0
68ed2def2034e237058f9169,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3c1,KORISAPADU,5477,63f99cc0519359b7438a4c4e,Rachapudi,591013,0,17,0,0,8,9,15,0,2,17,0,0,16,1,0,0,17,0,17,0,17,12,5,17,0,7,10,16,1
68ed2def2034e237058f916a,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3c1,KORISAPADU,5477,63f99cc0519359b7438a4c53,Pamidi Padu,591012,0,43,3,0,26,20,40,0,6,46,0,2,41,3,0,0,46,0,46,0,46,40,6,46,0,21,25,44,2
68ed2def2034e237058f916b,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3c1,KORISAPADU,5477,63f99cc0519359b7438a4c58,Dyvala Ravuru,591011,0,11,2,0,12,1,9,0,4,13,0,1,11,1,1,0,12,0,13,0,13,11,2,11,2,7,6,9,4
68ed2def2034e237058f916c,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3c1,KORISAPADU,5477,63f99cc0519359b7438a4c5d,Pichikalagudipadu,591009,0,4,11,0,15,0,12,0,3,13,2,1,1,13,2,0,13,0,15,0,14,15,0,15,0,10,5,14,1
68ed2def2034e237058f916d,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3c1,KORISAPADU,5477,63f99cc1519359b7438a4c62,Korisapadu,591008,0,30,6,2,32,2,30,0,6,27,9,0,28,8,0,0,36,1,35,0,36,33,3,35,1,22,14,32,4
68ed2def2034e237058f916e,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3c1,KORISAPADU,5477,63f99cc1519359b7438a4c67,Somavarappadu,591007,0,3,1,0,3,1,4,0,0,4,0,1,3,0,0,0,4,0,4,0,4,4,0,4,0,3,1,4,0
68ed2def2034e237058f916f,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3c1,KORISAPADU,5477,63f99cc1519359b7438a4c6c,Bodduvani Palem,591006,1,19,26,1,42,2,36,0,10,38,8,4,16,26,0,0,46,0,46,1,45,40,6,44,2,31,15,42,4
68ed2def2034e237058f9170,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3c1,KORISAPADU,5477,63f99cc1519359b7438a4c71,Ravinuthala,591010,0,30,6,0,33,3,31,0,5,32,4,0,30,6,1,0,35,0,36,1,35,34,2,34,2,31,5,33,3
68ed2def2034e237058f9171,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3c1,KORISAPADU,5477,63f99cc2519359b7438a4c76,Anamanamur,591005,0,4,1,1,4,0,5,0,0,5,0,0,4,1,0,0,5,0,5,0,5,5,0,5,0,3,2,5,0
