_id,cycle,scheme,__v,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68ed2def2034e237058f912e,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3c9,PARCHUR,5489,63f99cae519359b7438a4aff,Inagallu,590716,0,13,0,0,7,6,12,0,1,12,1,1,12,0,0,0,13,0,13,4,9,4,9,13,0,11,2,8,5
68ed2def2034e237058f912f,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3c9,PARCHUR,5489,63f99cae519359b7438a4b04,Veeranna Palem,590727,0,16,0,4,12,0,14,2,0,15,1,0,16,0,0,0,16,7,9,2,14,7,9,16,0,16,0,11,5
68ed2def2034e237058f9130,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3c9,PARCHUR,5489,63f99cae519359b7438a4b09,Adusumalle,590717,0,8,0,0,7,1,8,0,0,8,0,0,8,0,0,0,8,0,8,0,8,0,8,7,1,7,1,5,3
68ed2def2034e237058f9131,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3c9,PARCHUR,5489,63f99cae519359b7438a4b0e,Parchur,590724,0,76,3,3,68,8,77,0,2,72,7,1,76,2,1,0,78,26,53,1,78,7,72,76,3,72,7,45,34
68ed2def2034e237058f9132,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3c9,PARCHUR,5489,63f99caf519359b7438a4b13,Ramanayapalem,590720,0,15,0,0,13,2,15,0,0,15,0,0,15,0,0,0,15,4,11,2,13,1,14,14,1,15,0,8,7
68ed2def2034e237058f9133,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3c9,PARCHUR,5489,63f99caf519359b7438a4b18,Upputur,590726,0,16,2,2,10,6,17,0,1,17,1,0,15,3,0,0,18,5,13,3,15,6,12,18,0,17,1,9,8
68ed2def2034e237058f9134,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3c9,PARCHUR,5489,63f99caf519359b7438a4b1d,Garnepudi,590714,0,18,1,1,17,1,16,1,2,19,0,0,19,0,0,0,19,4,15,1,18,2,17,19,0,16,3,11,8
68ed2def2034e237058f9135,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3c9,PARCHUR,5489,63f99cb0519359b7438a4b22,Cherukuru,590719,0,16,0,0,15,1,15,0,1,16,0,0,15,1,0,0,16,4,12,5,11,8,8,16,0,16,0,9,7
68ed2def2034e237058f9136,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3c9,PARCHUR,5489,63f99cb0519359b7438a4b27,Nuthalapadu,590725,0,24,3,1,21,5,27,0,0,25,2,0,25,2,2,0,25,3,24,0,27,6,21,25,2,25,2,13,14
68ed2def2034e237058f9137,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3c9,PARCHUR,5489,63f99cb0519359b7438a4b31,Devara Palle,590722,0,11,0,0,8,3,11,0,0,10,1,0,11,0,0,0,11,0,11,1,10,3,8,10,1,11,0,5,6
68ed2def2034e237058f9138,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3c9,PARCHUR,5489,63f99cb1519359b7438a4b36,Edubadu,590715,0,1,1,0,2,0,1,1,0,2,0,0,2,0,0,0,2,0,2,2,0,0,2,2,0,2,0,1,1
