_id,cycle,scheme,__v,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68ed2def2034e237058f907e,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3d1,TSUNDUR,4975,63f99c7a519359b7438a4730,Manduru,590378,0,32,18,1,40,9,38,0,12,44,6,1,28,21,0,0,50,6,44,46,4,33,17,50,0,47,3,48,2
68ed2def2034e237058f907f,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3d1,TSUNDUR,4975,63f99c7a519359b7438a4735,Edlapalle,590376,0,83,12,0,88,7,64,0,31,65,30,0,94,1,0,0,95,1,94,60,34,70,25,95,0,75,20,80,15
68ed2def2034e237058f9080,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3d1,TSUNDUR,4975,63f99c7a519359b7438a473a,Thottempudi,590383,3,23,21,0,43,4,30,0,17,35,12,5,22,20,0,0,47,13,34,3,44,24,22,47,0,19,28,36,11
68ed2def2034e237058f9081,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3d1,TSUNDUR,4975,63f99c7a519359b7438a473f,Chinaparimi,590377,0,42,5,0,45,2,35,4,8,41,6,0,35,12,0,0,47,2,45,30,17,36,10,47,0,38,9,47,0
68ed2def2034e237058f9082,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3d1,TSUNDUR,4975,63f99c7b519359b7438a4744,Pedagadelavarru,590379,0,28,19,0,41,6,38,0,9,35,12,0,21,26,0,0,47,0,47,45,2,45,2,47,0,38,9,47,0
68ed2def2034e237058f9083,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3d1,TSUNDUR,4975,63f99c7b519359b7438a4749,Vetapalem,590381,0,28,0,0,28,0,26,0,2,16,12,2,26,0,0,0,28,0,28,3,25,20,8,28,0,18,10,14,14
68ed2def2034e237058f9084,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3d1,TSUNDUR,4975,63f99c7c519359b7438a474e,Modukuru,590384,0,73,21,1,58,35,67,0,27,87,7,0,63,31,0,0,94,39,55,71,23,78,16,94,0,82,12,93,1
68ed2def2034e237058f9085,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3d1,TSUNDUR,4975,63f99c7c519359b7438a4753,Tsundur,590380,1,92,38,0,109,22,93,0,38,109,22,2,93,36,0,0,131,49,82,4,127,75,55,131,0,90,41,77,48
68ed2def2034e237058f9086,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3d1,TSUNDUR,4975,63f99c7c519359b7438a4758,Kothapalle Narikellapalle,590382,0,33,0,0,31,2,23,1,9,24,9,0,33,0,0,0,33,0,33,2,31,27,6,33,0,23,10,21,12
68ed2def2034e237058f9087,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3d1,TSUNDUR,4975,63f99c7d519359b7438a475d,Alapadu,590385,0,46,11,0,52,5,38,0,19,41,16,2,46,9,0,0,57,0,57,13,43,30,27,54,3,39,18,51,6
68ed2def2034e237058f9088,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3d1,TSUNDUR,4975,63f99c7d519359b7438a4762,Penugudurupadu,590374,0,16,34,0,43,7,24,1,25,45,5,0,2,48,0,0,50,2,48,47,3,47,2,50,0,35,15,49,1
68ed2def2034e237058f9089,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3d1,TSUNDUR,4975,63f99c7d519359b7438a4767,Valiveru,590375,0,4,50,0,36,18,35,0,19,45,9,0,4,50,0,0,54,1,53,51,3,51,3,54,0,33,21,54,0
