_id,cycle,scheme,__v,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68ed2def2034e237058f9096,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3d3,VEMURU,4978,63f99c81519359b7438a47b1,Penumarru,590411,0,41,7,0,46,2,32,0,16,45,3,4,39,5,1,0,47,4,44,3,45,5,43,48,0,43,5,48,0
68ed2def2034e237058f9097,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3d3,VEMURU,4978,63f99c81519359b7438a47b6,Pothumarru,590405,5,2,12,0,14,5,15,0,4,17,2,5,2,12,0,0,19,0,19,13,6,4,15,19,0,13,6,17,2
68ed2def2034e237058f9098,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3d3,VEMURU,4978,63f99c81519359b7438a47bb,Balijepalle,590409,0,18,8,0,26,0,23,0,3,26,0,2,7,17,0,0,26,2,24,4,22,16,10,26,0,20,6,26,0
68ed2def2034e237058f9099,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3d3,VEMURU,4978,63f99c82519359b7438a47c0,Jampani,590400,0,81,25,0,89,16,66,0,40,89,17,0,57,49,0,0,106,2,104,69,37,11,95,106,0,80,26,104,2
68ed2def2034e237058f909a,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3d3,VEMURU,4978,63f99c82519359b7438a47c5,Peravalipalem,590406,0,33,14,0,43,4,44,0,3,43,4,10,27,10,1,0,46,6,41,25,22,15,32,44,3,31,16,47,0
68ed2def2034e237058f909b,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3d3,VEMURU,4978,63f99c82519359b7438a47ca,Vemuru,590404,3,59,76,0,116,22,87,0,51,112,26,7,43,88,0,0,138,6,132,88,50,35,103,136,2,125,13,123,15
68ed2def2034e237058f909c,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3d3,VEMURU,4978,63f99c82519359b7438a47cf,Chavali,590408,0,54,40,0,89,4,69,0,25,76,18,28,49,17,0,0,94,3,91,46,48,21,73,84,10,72,22,85,9
68ed2def2034e237058f909d,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3d3,VEMURU,4978,63f99c83519359b7438a47d4,Abbanagudavalli,590410,0,15,14,1,26,2,27,0,2,28,1,5,10,14,0,0,29,0,29,15,14,18,10,29,0,21,8,29,0
68ed2def2034e237058f909e,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3d3,VEMURU,4978,63f99c83519359b7438a47de,Kuchallapadu,590402,0,7,5,0,12,0,11,0,1,11,1,3,4,5,0,0,12,1,11,0,12,10,2,12,0,6,6,12,0
68ed2def2034e237058f909f,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3d3,VEMURU,4978,63f99c83519359b7438a47e3,Peravali,590407,0,46,2,0,46,2,39,0,9,40,8,0,42,6,0,0,48,4,44,36,12,1,47,46,2,40,8,45,3
68ed2def2034e237058f90a0,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3d3,VEMURU,4978,63f99c84519359b7438a47e8,Varahapuram,590403,0,2,10,0,10,2,9,0,3,11,1,4,1,7,0,0,12,5,7,9,3,6,6,12,0,10,2,12,0
68ed2def2034e237058f90a1,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3d3,VEMURU,4978,63f99c84519359b7438a47ed,Chadalawada,590401,0,10,8,0,18,0,16,0,2,17,1,4,7,7,0,0,18,2,16,1,17,14,4,18,0,15,3,18,0
