_id,cycle,scheme,__v,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68ed2def2034e237058f7007,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3db,BANGARUPALEM,4751,63f958c489d86ca9e2c0269b,Setteri,597014,0,20,5,1,21,3,3,2,20,19,6,3,19,3,0,0,25,0,25,7,18,18,7,25,0,20,5,13,12
68ed2def2034e237058f7008,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3db,BANGARUPALEM,4751,63f958c489d86ca9e2c026a0,Tekumanda,597034,0,16,11,27,0,0,10,2,15,23,4,2,16,9,0,0,27,0,27,24,3,21,6,27,0,25,2,19,8
68ed2def2034e237058f7009,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3db,BANGARUPALEM,4751,63f958c489d86ca9e2c026a5,Ragimanipenta,597037,0,22,9,13,7,11,4,8,19,25,6,2,21,8,0,1,30,0,31,22,9,27,4,30,1,29,2,30,1
68ed2def2034e237058f700a,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3db,BANGARUPALEM,4751,63f958c589d86ca9e2c026af,Nallangadu,597017,0,7,7,0,11,3,0,0,14,11,3,2,7,5,0,0,14,0,14,1,13,11,2,14,0,12,2,8,6
68ed2def2034e237058f700b,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3db,BANGARUPALEM,4751,63f958c589d86ca9e2c026b9,Kurmaipalle,597024,0,19,6,17,0,8,19,1,5,20,5,2,19,4,0,0,25,0,25,3,22,7,18,22,3,23,2,18,7
68ed2def2034e237058f700c,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3db,BANGARUPALEM,4751,63f958c589d86ca9e2c026be,Nalagampalle,597020,1,34,15,5,25,20,11,5,34,40,10,4,34,12,0,0,50,0,50,25,25,21,29,48,2,44,6,36,14
68ed2def2034e237058f700d,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3db,BANGARUPALEM,4751,63f958c689d86ca9e2c026c3,Paleru,597032,0,10,2,12,0,0,8,0,4,12,0,1,10,1,0,0,12,0,12,7,5,10,2,12,0,11,1,12,0
68ed2def2034e237058f700e,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3db,BANGARUPALEM,4751,63f958c689d86ca9e2c026c8,Gollapalle,597030,0,38,13,34,6,11,18,0,33,45,6,3,39,9,2,0,49,0,51,23,28,34,17,48,3,44,7,38,13
68ed2def2034e237058f700f,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3db,BANGARUPALEM,4751,63f958c689d86ca9e2c026cd,Vepanapalle,597036,0,12,1,11,1,1,5,2,6,12,1,0,12,1,0,0,13,0,13,7,6,6,7,13,0,13,0,13,0
68ed2def2034e237058f7010,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3db,BANGARUPALEM,4751,63f958c689d86ca9e2c026d2,Mogili,597033,0,21,15,9,13,14,10,0,26,33,3,2,24,10,0,0,36,1,35,31,5,26,10,36,0,34,2,27,9
