_id,cycle,scheme,__v,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68ed2def2034e237058f6f31,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3e1,GANGADHARA NELLORE,4757,63f9587489d86ca9e2c01f77,Kalijavedu,596667,0,8,9,6,1,10,3,0,14,13,4,0,8,9,0,0,17,0,17,9,8,15,2,17,0,14,3,16,1
68ed2def2034e237058f6f32,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3e1,GANGADHARA NELLORE,4757,63f9587489d86ca9e2c01f7c,Tungundram,596680,0,12,5,4,8,5,7,2,8,13,4,2,10,5,0,0,17,0,17,5,12,9,8,17,0,16,1,13,4
68ed2def2034e237058f6f33,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3e1,GANGADHARA NELLORE,4757,63f9587489d86ca9e2c01f81,Ellapalle,596688,0,1,1,2,0,0,2,0,0,2,0,1,1,0,0,0,2,0,2,1,1,2,0,2,0,1,1,2,0
68ed2def2034e237058f6f34,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3e1,GANGADHARA NELLORE,4757,63f9587489d86ca9e2c01f86,Bojjinayanipalle,596689,0,7,2,4,1,4,1,0,8,6,3,0,5,4,0,0,9,0,9,6,3,5,4,9,0,8,1,9,0
68ed2def2034e237058f6f35,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3e1,GANGADHARA NELLORE,4757,63f9587589d86ca9e2c01f8b,Kothavenkatapuram,596692,0,11,4,4,3,8,4,0,11,12,3,0,11,4,0,0,15,0,15,7,8,10,5,15,0,13,2,15,0
68ed2def2034e237058f6f36,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3e1,GANGADHARA NELLORE,4757,63f9587589d86ca9e2c01f95,Pathavenkatapuram,596687,0,8,4,6,3,3,4,1,7,12,0,2,8,2,0,0,12,0,12,3,9,6,6,12,0,12,0,11,1
68ed2def2034e237058f6f37,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3e1,GANGADHARA NELLORE,4757,63f9587589d86ca9e2c01f9f,Ambodharapalle,596685,0,12,6,2,4,12,7,1,10,13,5,0,12,6,0,0,18,0,18,9,9,13,5,17,1,14,4,16,2
68ed2def2034e237058f6f38,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3e1,GANGADHARA NELLORE,4757,63f9587689d86ca9e2c01fa9,Gangadharanellore,596668,0,10,5,9,1,5,4,3,8,13,2,2,10,3,0,0,15,0,15,10,5,11,4,15,0,12,3,12,3
68ed2def2034e237058f6f39,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3e1,GANGADHARA NELLORE,4757,63f9587689d86ca9e2c01fae,Velkur,596677,0,12,11,6,0,17,4,2,17,18,5,0,12,11,0,0,23,0,23,11,12,19,4,22,1,22,1,22,1
68ed2def2034e237058f6f3a,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3e1,GANGADHARA NELLORE,4757,63f9587689d86ca9e2c01fb3,Agaramangalam,596670,0,30,8,15,9,14,14,3,21,36,2,3,25,10,0,0,37,0,38,21,18,29,9,39,0,35,3,33,6
68ed2def2034e237058f6f3b,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3e1,GANGADHARA NELLORE,4757,63f9587689d86ca9e2c01fb8,Vepanjeri,596671,0,12,4,1,3,12,1,2,13,13,3,1,11,4,0,0,16,0,16,12,4,13,3,16,0,14,2,13,3
68ed2def2034e237058f6f3c,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3e1,GANGADHARA NELLORE,4757,63f9587789d86ca9e2c01fbd,Chinnavepanjeri,596675,0,49,8,24,11,22,18,2,37,45,12,1,39,17,0,0,56,0,57,42,15,40,17,55,2,53,4,55,2
68ed2def2034e237058f6f3d,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3e1,GANGADHARA NELLORE,4757,63f9587789d86ca9e2c01fc2,Bukkapatnam,596674,0,8,3,2,1,8,4,1,6,10,1,0,7,4,0,0,11,0,11,8,3,7,4,10,0,11,0,11,0
68ed2def2034e237058f6f3e,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3e1,GANGADHARA NELLORE,4757,63f9587889d86ca9e2c01fd6,Nellipalle,596659,0,14,5,8,1,10,4,1,14,17,2,2,12,5,0,0,19,0,19,7,12,10,9,19,0,17,2,17,2
68ed2def2034e237058f6f3f,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3e1,GANGADHARA NELLORE,4757,63f9587889d86ca9e2c01fdb,Kondepalle,596660,0,6,2,3,1,4,3,0,5,7,1,2,4,2,0,0,8,0,8,4,4,8,0,7,1,8,0,8,0
68ed2def2034e237058f6f40,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3e1,GANGADHARA NELLORE,4757,63f9587889d86ca9e2c01fe0,Kotrakona,596665,0,9,8,13,1,3,12,0,5,14,3,5,9,3,0,0,17,0,17,10,7,15,2,17,0,16,1,14,3
