_id,cycle,scheme,__v,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68ed2def2034e237058f6efc,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3e3,GANGAVARAM,4758,63f9586389d86ca9e2c01de6,Mamadugu,596585,0,17,7,15,3,6,12,1,11,18,6,0,17,7,1,0,23,0,24,20,4,19,5,24,0,21,3,20,4
68ed2def2034e237058f6efd,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3e3,GANGAVARAM,4758,63f9586389d86ca9e2c01deb,Kallupalle,596590,0,19,11,12,4,14,14,1,15,22,8,0,18,12,0,0,30,0,30,20,10,26,4,29,1,27,3,28,2
68ed2def2034e237058f6efe,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3e3,GANGAVARAM,4758,63f9586489d86ca9e2c01df5,Maredupalle,596587,0,2,0,1,0,1,1,0,1,2,0,0,2,0,0,0,2,0,2,1,1,2,0,2,0,2,0,2,0
68ed2def2034e237058f6eff,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3e3,GANGAVARAM,4758,63f9586489d86ca9e2c01dfa,Kalagatoor,596589,0,19,6,10,3,12,16,1,8,22,3,0,18,7,0,0,25,0,25,21,4,21,4,25,0,23,2,22,3
68ed2def2034e237058f6f00,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3e3,GANGAVARAM,4758,63f9586489d86ca9e2c01dff,Pathikonda,596584,0,21,4,4,5,16,15,0,10,21,4,0,21,4,0,0,25,0,25,23,2,20,5,24,1,22,3,20,5
68ed2def2034e237058f6f01,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3e3,GANGAVARAM,4758,63f9586489d86ca9e2c01e04,Jeedimakulapalle,596586,0,20,3,9,4,10,2,5,16,18,5,1,20,2,0,0,23,0,23,15,8,20,3,21,0,22,1,19,4
68ed2def2034e237058f6f02,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3e3,GANGAVARAM,4758,63f9586589d86ca9e2c01e09,Dandapalle,596588,0,46,12,23,11,24,14,13,31,54,4,0,45,13,1,0,57,0,58,44,14,44,14,56,2,52,6,54,4
68ed2def2034e237058f6f03,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3e3,GANGAVARAM,4758,63f9586589d86ca9e2c01e0e,Keelapatla,596594,0,22,5,8,4,15,9,3,15,21,6,2,22,3,0,0,27,0,27,24,3,23,4,27,0,24,3,24,3
68ed2def2034e237058f6f04,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3e3,GANGAVARAM,4758,63f9586589d86ca9e2c01e13,Gangavaram (Part),596593,0,15,8,9,0,14,10,0,13,19,4,0,15,8,0,0,23,0,23,21,2,20,3,23,0,21,2,22,1
68ed2def2034e237058f6f05,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3e3,GANGAVARAM,4758,63f9586589d86ca9e2c01e18,Melumoy,596591,0,15,11,8,9,9,8,5,13,25,1,0,15,11,0,1,25,0,26,21,5,20,6,23,3,23,3,23,3
