_id,cycle,scheme,__v,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68ed2def2034e237058f7035,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3e5,GUDIPALA,4759,63f958cf89d86ca9e2c0279e,Pasumanda,597083,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0
68ed2def2034e237058f7036,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3e5,GUDIPALA,4759,63f958cf89d86ca9e2c027a3,Kothapalle,597075,0,14,3,13,0,4,16,0,1,17,0,0,12,5,0,0,17,0,17,3,14,12,5,17,0,8,9,5,12
68ed2def2034e237058f7037,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3e5,GUDIPALA,4759,63f958d089d86ca9e2c027b2,Gudipala,597080,0,24,5,21,1,7,21,1,7,16,13,0,23,6,0,0,29,0,29,15,14,19,10,25,4,20,9,25,4
68ed2def2034e237058f7038,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3e5,GUDIPALA,4759,63f958d089d86ca9e2c027b7,Basavapalle,597082,0,15,7,16,1,5,21,0,1,21,1,0,15,7,0,0,22,0,22,3,19,16,6,22,0,20,2,20,2
68ed2def2034e237058f7039,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3e5,GUDIPALA,4759,63f958d089d86ca9e2c027bc,Krishna Jammapuram,597072,0,1,1,1,0,1,2,0,0,2,0,0,0,2,0,0,2,0,2,0,2,2,0,2,0,2,0,2,0
68ed2def2034e237058f703a,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3e5,GUDIPALA,4759,63f958d089d86ca9e2c027c1,Muthukurpalle,597074,0,13,7,17,0,2,15,0,5,17,3,0,12,8,0,0,20,0,20,16,4,17,3,17,3,17,3,11,9
68ed2def2034e237058f703b,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3e5,GUDIPALA,4759,63f958d189d86ca9e2c027c6,Chittapara,597079,0,12,10,16,4,2,17,0,5,16,6,2,11,9,0,0,22,0,22,17,5,20,2,17,5,17,5,22,0
68ed2def2034e237058f703c,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3e5,GUDIPALA,4759,63f958d189d86ca9e2c027cb,Vasanthapuram,597081,0,13,5,10,0,8,17,0,1,18,0,0,11,7,0,0,18,0,18,0,18,12,6,15,3,17,1,15,3
68ed2def2034e237058f703d,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3e5,GUDIPALA,4759,63f958d189d86ca9e2c027d5,Thimmaiahpalle,597084,0,8,5,9,0,4,6,1,6,9,4,0,8,5,0,0,13,0,13,6,7,11,2,12,1,12,1,12,1
68ed2def2034e237058f703e,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3e5,GUDIPALA,4759,63f958d289d86ca9e2c027da,Papasamudram,597077,0,16,5,20,0,1,16,1,4,20,1,0,15,6,0,0,21,0,21,18,3,17,4,19,2,14,7,14,7
