_id,cycle,scheme,__v,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68ed2def2034e237058f6eb1,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3e9,IRALA,4762,63f9585089d86ca9e2c01c29,Irala,596485,0,48,21,25,17,27,21,7,41,57,12,3,48,18,1,0,67,1,68,42,27,57,12,67,2,63,6,61,8
68ed2def2034e237058f6eb2,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3e9,IRALA,4762,63f9585189d86ca9e2c01c33,Kaminayanipalle,596491,0,25,10,5,19,11,6,4,25,31,4,1,25,9,0,0,35,0,35,34,1,30,5,35,0,30,5,23,12
68ed2def2034e237058f6eb3,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3e9,IRALA,4762,63f9585189d86ca9e2c01c38,Kothapalle,596494,0,27,8,19,5,11,19,1,15,29,6,8,27,0,0,0,35,0,35,2,33,4,31,35,0,33,2,25,10
68ed2def2034e237058f6eb4,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3e9,IRALA,4762,63f9585189d86ca9e2c01c42,Mudigolam,596493,0,20,7,21,0,6,14,0,13,23,4,1,20,6,0,0,27,0,27,7,20,19,8,27,0,26,1,22,5
68ed2def2034e237058f6eb5,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3e9,IRALA,4762,63f9585289d86ca9e2c01c47,Erlampalle,596487,0,37,11,36,3,9,34,4,10,42,6,3,37,8,0,0,48,0,48,23,25,32,16,48,0,41,7,34,14
68ed2def2034e237058f6eb6,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3e9,IRALA,4762,63f9585289d86ca9e2c01c4c,Chigarapalle,596495,0,24,6,9,13,8,21,3,6,23,7,3,23,4,0,0,30,0,30,4,26,15,15,28,1,28,2,21,9
68ed2def2034e237058f6eb7,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3e9,IRALA,4762,63f9585289d86ca9e2c01c51,Gundlapalle,596482,0,6,4,10,0,0,8,0,2,8,2,0,6,4,0,0,10,0,10,5,5,10,0,10,0,10,0,9,1
68ed2def2034e237058f6eb8,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3e9,IRALA,4762,63f9585289d86ca9e2c01c56,Morampalle,596484,0,23,11,18,10,6,12,11,11,29,5,1,23,10,0,0,34,0,34,28,6,26,8,34,0,33,1,24,10
68ed2def2034e237058f6eb9,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3e9,IRALA,4762,63f9585389d86ca9e2c01c65,Nampalle,596480,0,17,16,26,0,7,17,0,16,26,7,2,16,15,0,0,33,0,33,24,9,31,2,33,0,31,2,24,9
68ed2def2034e237058f6eba,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3e9,IRALA,4762,63f9585489d86ca9e2c01c74,Pulluru,596490,0,13,12,6,10,9,2,12,11,23,2,1,13,11,0,0,25,0,25,19,6,16,9,25,0,24,1,20,5
68ed2def2034e237058f6ebb,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3e9,IRALA,4762,63f9585489d86ca9e2c01c79,Kanipakam,596496,0,24,12,32,0,4,19,1,16,29,7,2,25,9,0,0,36,0,36,19,17,28,8,35,1,35,1,31,5
68ed2def2034e237058f6ebc,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3e9,IRALA,4762,63f9585489d86ca9e2c01c7e,Polakala,596481,0,21,11,29,1,2,23,0,9,27,5,10,21,1,2,0,30,0,32,4,28,19,13,32,0,30,2,30,2
