_id,cycle,scheme,__v,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68ed2def2034e237058f6fc1,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3ed,KUPPAM,4768,63f958ac89d86ca9e2c02494,Rajanam,596949,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0
68ed2def2034e237058f6fc2,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3ed,KUPPAM,4768,63f958ac89d86ca9e2c0249e,Mottakadirinur,596968,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0
68ed2def2034e237058f6fc3,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3ed,KUPPAM,4768,63f958ac89d86ca9e2c024a3,Ponnangur,596971,0,21,5,21,1,4,9,4,13,10,16,0,21,5,0,0,26,0,26,20,6,18,8,25,1,22,4,26,0
68ed2def2034e237058f6fc4,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3ed,KUPPAM,4768,63f958ad89d86ca9e2c024a8,Kuppam (CT),596973,0,23,6,15,4,10,8,1,20,22,7,0,23,6,0,0,29,0,29,7,22,26,3,27,1,27,2,29,0
68ed2def2034e237058f6fc5,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3ed,KUPPAM,4768,63f958ad89d86ca9e2c024ad,SAMAGUTTAPALLE,930522,0,7,1,6,0,2,4,1,3,5,3,0,7,1,0,0,8,0,8,6,2,6,2,8,0,7,1,8,0
68ed2def2034e237058f6fc6,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3ed,KUPPAM,4768,63f958ad89d86ca9e2c024b2,Pedda Boggupallle,596961,0,5,0,3,0,2,3,0,2,1,4,0,5,0,0,0,5,0,5,2,3,4,1,2,3,4,1,5,0
68ed2def2034e237058f6fc7,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3ed,KUPPAM,4768,63f958ad89d86ca9e2c024b7,T.Sadumur,596970,0,10,0,8,1,1,0,1,9,5,5,0,10,0,0,1,9,0,10,7,3,6,4,9,1,9,1,10,0
68ed2def2034e237058f6fc8,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3ed,KUPPAM,4768,63f958ad89d86ca9e2c024bc,Avulanatham,596967,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0
68ed2def2034e237058f6fc9,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3ed,KUPPAM,4768,63f958ae89d86ca9e2c024c1,Gudlanayanipalle,596947,0,12,7,19,0,0,8,2,9,12,7,0,12,7,0,0,19,0,19,15,4,17,2,18,1,18,1,19,0
68ed2def2034e237058f6fca,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3ed,KUPPAM,4768,63f958ae89d86ca9e2c024cb,Chekkunatham,596965,0,3,4,4,1,2,4,0,3,5,2,1,2,4,0,0,7,0,7,3,4,7,0,7,0,6,1,6,1
