_id,cycle,scheme,__v,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68ed2def2034e237058f6e5a,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f1,NINDRA,4776,63f9582d89d86ca9e2c01998,Koppedu Acharyula Khandriga,596352,0,8,3,8,0,3,5,4,2,7,4,0,8,3,0,0,11,0,11,8,3,8,3,11,0,11,0,9,2
68ed2def2034e237058f6e5b,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f1,NINDRA,4776,63f9582d89d86ca9e2c0199d,Agaram,596363,0,17,5,15,1,6,9,6,7,19,3,0,16,6,12,0,10,0,22,12,10,17,5,22,0,22,0,14,8
68ed2def2034e237058f6e5c,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f1,NINDRA,4776,63f9582d89d86ca9e2c019a2,Elakatur,596354,0,2,0,2,0,0,1,1,0,1,1,0,2,0,0,0,2,0,2,1,1,2,0,2,0,2,0,2,0
68ed2def2034e237058f6e5d,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f1,NINDRA,4776,63f9582e89d86ca9e2c019a7,Chavarambakam,596355,0,3,0,2,0,1,0,2,1,3,0,0,3,0,0,0,3,0,3,2,1,0,3,3,0,3,0,0,3
68ed2def2034e237058f6e5e,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f1,NINDRA,4776,63f9582e89d86ca9e2c019ac,Kunama Raju Palem,596359,0,0,2,2,0,0,2,0,0,1,1,0,0,2,0,0,2,0,2,2,0,2,0,2,0,2,0,2,0
68ed2def2034e237058f6e5f,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f1,NINDRA,4776,63f9582e89d86ca9e2c019bb,Kavanur,596350,0,7,3,7,0,3,5,5,0,6,4,0,7,3,0,0,10,0,10,7,3,8,2,9,1,10,0,7,3
68ed2def2034e237058f6e60,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f1,NINDRA,4776,63f9582f89d86ca9e2c019c0,Kacharavedu,596361,0,5,3,5,0,3,5,2,1,6,2,0,5,3,0,0,8,0,8,4,4,8,0,8,0,8,0,8,0
68ed2def2034e237058f6e61,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f1,NINDRA,4776,63f9582f89d86ca9e2c019c5,Arur,596356,0,4,2,5,0,1,3,1,2,4,2,0,5,1,0,0,6,0,6,4,2,3,3,5,0,6,0,4,2
68ed2def2034e237058f6e62,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f1,NINDRA,4776,63f9582f89d86ca9e2c019ca,Nindra,596362,0,12,5,14,1,2,5,10,2,12,5,0,12,5,0,0,17,1,16,12,5,13,4,16,1,17,0,13,4
68ed2def2034e237058f6e63,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f1,NINDRA,4776,63f9582f89d86ca9e2c019cf,Athur,596364,0,6,2,5,0,3,5,0,3,5,3,0,6,2,0,0,8,0,8,6,2,6,2,8,0,8,0,6,2
