_id,cycle,scheme,__v,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68ed2def2034e237058f7047,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f5,PALASAMUDRAM,4779,63f958d689d86ca9e2c02840,Vengalarajukuppam,597102,0,20,6,1,10,15,16,2,8,17,9,0,21,5,0,0,26,0,26,16,10,21,4,22,2,26,0,18,8
68ed2def2034e237058f7048,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f5,PALASAMUDRAM,4779,63f958d689d86ca9e2c02845,Lakshminarasimha Puram,597103,0,4,0,2,1,1,4,0,0,2,2,0,4,0,0,0,4,0,4,3,1,4,0,3,0,4,0,3,1
68ed2def2034e237058f7049,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f5,PALASAMUDRAM,4779,63f958d789d86ca9e2c0284a,Amudala,597104,0,11,4,7,1,7,10,1,4,9,6,0,10,5,0,0,15,0,15,10,5,12,3,11,1,15,0,14,1
68ed2def2034e237058f704a,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f5,PALASAMUDRAM,4779,63f958d789d86ca9e2c0284f,Amudalaputhur,597106,0,7,3,3,3,4,9,0,1,9,1,0,7,3,0,0,10,0,10,7,3,10,0,9,0,10,0,8,2
68ed2def2034e237058f704b,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f5,PALASAMUDRAM,4779,63f958d789d86ca9e2c02859,Kaverirajupuram,597105,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1
68ed2def2034e237058f704c,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f5,PALASAMUDRAM,4779,63f958d789d86ca9e2c0285e,Narasimhapuram @ A.Khandriga,597111,0,0,2,1,0,1,2,0,0,2,0,0,0,2,0,0,2,0,2,1,1,2,0,2,0,2,0,2,0
68ed2def2034e237058f704d,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f5,PALASAMUDRAM,4779,63f958d889d86ca9e2c0286d,Allipoolagunta,597112,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0
68ed2def2034e237058f704e,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f5,PALASAMUDRAM,4779,63f958d889d86ca9e2c02872,Balakrishnapuram,597107,0,5,2,5,0,2,7,0,0,6,1,1,3,3,0,0,7,0,7,3,4,6,1,5,0,7,0,7,0
68ed2def2034e237058f704f,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f5,PALASAMUDRAM,4779,63f958d889d86ca9e2c02877,Ramakrishnapuram,597108,0,2,2,1,3,0,2,2,0,3,1,0,2,2,0,0,4,0,4,1,3,2,2,3,1,4,0,2,2
68ed2def2034e237058f7050,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f5,PALASAMUDRAM,4779,63f958d989d86ca9e2c02881,Palasamudram,597100,0,18,0,6,4,8,17,0,1,6,12,0,17,1,0,0,18,0,18,15,3,16,2,17,0,18,0,14,4
68ed2def2034e237058f7051,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f5,PALASAMUDRAM,4779,63f958d989d86ca9e2c0288b,Krishnajammapuram,597097,0,32,4,12,6,18,26,1,9,25,11,0,32,4,0,0,36,0,36,25,11,28,8,34,2,37,0,28,8
68ed2def2034e237058f7052,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f5,PALASAMUDRAM,4779,63f958da89d86ca9e2c02890,Srikaverirajupuram,597098,0,17,2,4,5,10,12,2,5,16,3,0,16,3,0,0,19,1,18,13,6,16,3,15,3,19,0,18,1
68ed2def2034e237058f7053,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f5,PALASAMUDRAM,4779,63f958da89d86ca9e2c02895,Vanadurgapuram,597095,0,16,0,4,3,9,7,2,7,10,6,0,16,0,3,0,13,0,16,11,5,12,4,15,1,16,0,13,3
