_id,cycle,scheme,__v,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68ed2def2034e237058f6ee7,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f7,PEDDAPANJANI,4781,63f9585e89d86ca9e2c01d76,Thurlapalle,596571,0,14,5,9,6,4,5,0,14,10,9,0,13,6,0,0,19,0,19,11,8,10,9,16,3,16,3,17,2
68ed2def2034e237058f6ee8,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f7,PEDDAPANJANI,4781,63f9585f89d86ca9e2c01d7b,Bommarajupalle,596567,0,16,3,9,4,6,7,0,12,15,4,0,16,3,0,0,19,0,19,8,11,14,5,17,2,17,2,18,1
68ed2def2034e237058f6ee9,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f7,PEDDAPANJANI,4781,63f9585f89d86ca9e2c01d80,Rayalapeta,596576,0,9,3,7,0,5,1,4,7,12,0,0,8,4,0,8,4,0,12,10,2,8,4,10,2,10,2,9,3
68ed2def2034e237058f6eea,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f7,PEDDAPANJANI,4781,63f9585f89d86ca9e2c01d85,Nagireddipalle,596577,0,15,9,15,2,7,7,4,13,20,4,0,16,8,0,2,22,0,24,17,7,20,4,21,3,18,6,22,2
68ed2def2034e237058f6eeb,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f7,PEDDAPANJANI,4781,63f9585f89d86ca9e2c01d8a,Veerapalle,596572,0,6,10,13,1,2,9,0,7,13,3,2,6,8,0,0,16,0,16,11,5,12,4,12,4,12,4,13,3
68ed2def2034e237058f6eec,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f7,PEDDAPANJANI,4781,63f9585f89d86ca9e2c01d8f,Kolathur,596574,0,11,9,20,0,0,9,5,6,16,4,0,10,10,1,0,19,0,20,15,5,11,9,17,3,16,4,17,3
68ed2def2034e237058f6eed,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f7,PEDDAPANJANI,4781,63f9586089d86ca9e2c01d94,Gamkonda,596575,0,16,2,11,3,4,1,4,13,12,6,0,16,2,0,0,18,0,18,15,3,16,2,18,0,15,3,16,2
68ed2def2034e237058f6eee,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f7,PEDDAPANJANI,4781,63f9586089d86ca9e2c01d99,Sankarayalapeta,596562,0,5,11,13,0,3,7,0,9,14,2,0,4,12,0,0,16,0,16,8,8,15,1,15,1,13,3,14,2
68ed2def2034e237058f6eef,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f7,PEDDAPANJANI,4781,63f9586089d86ca9e2c01d9e,Muthukur,596568,0,26,12,13,7,18,15,8,15,25,13,1,26,11,1,3,34,0,38,19,19,31,7,29,9,31,7,33,5
68ed2def2034e237058f6ef0,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f7,PEDDAPANJANI,4781,63f9586089d86ca9e2c01da3,Nidigunta,596564,0,4,4,3,0,5,4,0,4,7,1,2,4,2,0,0,8,0,8,4,4,6,2,8,0,7,1,6,2
