_id,cycle,scheme,__v,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68ed2def2034e237058f6e92,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f9,PENUMURU,4783,63f9584589d86ca9e2c01b62,Mopireddipalle,596449,0,2,1,1,1,1,1,1,1,2,1,0,1,2,0,0,3,0,3,1,2,2,1,3,0,3,0,2,1
68ed2def2034e237058f6e93,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f9,PENUMURU,4783,63f9584589d86ca9e2c01b67,Pulikallu,596457,0,5,2,3,2,2,4,0,3,5,2,0,4,3,0,0,7,0,7,3,4,3,4,7,0,6,1,3,4
68ed2def2034e237058f6e94,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f9,PENUMURU,4783,63f9584789d86ca9e2c01b6c,Sathambakam,596456,0,7,13,5,5,10,12,1,7,8,12,4,7,9,0,0,20,0,20,7,13,12,8,16,4,16,4,15,5
68ed2def2034e237058f6e95,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f9,PENUMURU,4783,63f9584789d86ca9e2c01b76,Samireddipalle,596451,0,2,3,2,3,0,3,1,1,2,3,0,1,4,0,0,5,0,5,3,2,3,2,5,0,5,0,5,0
68ed2def2034e237058f6e96,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f9,PENUMURU,4783,63f9584789d86ca9e2c01b7b,Chinnamareddi Khandriga,596452,0,10,18,9,5,14,14,5,9,17,11,1,10,17,0,0,28,0,28,11,17,19,9,25,3,27,1,17,11
68ed2def2034e237058f6e97,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f9,PENUMURU,4783,63f9584889d86ca9e2c01b85,Penumuru,596445,0,21,21,8,19,15,12,8,22,26,16,2,18,22,0,0,42,0,42,18,24,27,15,31,11,35,7,26,16
68ed2def2034e237058f6e98,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f9,PENUMURU,4783,63f9584889d86ca9e2c01b8f,Chinthapenta,596441,0,9,11,5,10,5,6,4,10,10,10,1,8,11,0,0,20,0,20,7,13,12,8,18,1,19,1,12,8
68ed2def2034e237058f6e99,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f9,PENUMURU,4783,63f9584889d86ca9e2c01b94,Kaligiri,596453,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0
68ed2def2034e237058f6e9a,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f9,PENUMURU,4783,63f9584989d86ca9e2c01b99,Kalvagunta,596455,0,12,15,10,7,10,10,5,12,20,7,0,12,15,0,0,27,0,27,16,11,18,9,23,4,24,3,14,13
68ed2def2034e237058f6e9b,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f9,PENUMURU,4783,63f9584989d86ca9e2c01b9e,Kamachinnaiahpalle,596446,0,10,4,4,6,4,9,3,2,7,7,0,10,4,0,0,14,0,14,11,3,10,4,11,3,13,1,10,4
68ed2def2034e237058f6e9c,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f9,PENUMURU,4783,63f9584a89d86ca9e2c01ba3,Chennasamudra Agraharam,596447,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0
68ed2def2034e237058f6e9d,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f9,PENUMURU,4783,63f9584a89d86ca9e2c01ba8,Guntipalle,596448,0,2,2,0,3,1,2,0,2,3,1,0,1,3,0,0,4,0,4,3,1,4,0,3,1,3,1,2,2
68ed2def2034e237058f6e9e,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f9,PENUMURU,4783,63f9584b89d86ca9e2c01bb2,Charvaganipalle,596444,0,14,4,4,8,6,8,2,8,11,7,0,11,7,0,0,18,0,18,10,8,14,4,18,0,16,2,11,7
