_id,cycle,scheme,__v,updatedAt,lastProcessedAt,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68e945638d6bb3c8b5c50ccc,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.923Z,2026-08-01T18:09:51.584Z,63f9ce47519359b7438e76fa,ANDAMAN & NICOBAR,35,63f9ce61519359b7438e7999,NICOBARS,603,6492fac4680216eb6c93e2c1,NANCOWRIE,6500,63f9ce65519359b7438e7a13,Chota Inak,645128,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0
68e945638d6bb3c8b5c50cce,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.923Z,2026-08-01T18:09:51.584Z,63f9ce47519359b7438e76fa,ANDAMAN & NICOBAR,35,63f9ce61519359b7438e7999,NICOBARS,603,6492fac4680216eb6c93e2c1,NANCOWRIE,6500,63f9ce70519359b7438e7b21,Luxi,645037,0,32,0,0,32,0,0,30,2,0,32,0,26,6,0,0,32,0,32,32,0,32,0,32,0,32,0,32,0
68e945638d6bb3c8b5c50ccf,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.923Z,2026-08-01T18:09:51.584Z,63f9ce47519359b7438e76fa,ANDAMAN & NICOBAR,35,63f9ce61519359b7438e7999,NICOBARS,603,6492fac4680216eb6c93e2c1,NANCOWRIE,6500,63f9ce70519359b7438e7b26,Aloora*,645035,0,5,0,0,5,0,0,5,0,0,5,0,5,0,0,0,5,0,5,5,0,5,0,5,0,5,0,5,0
68e945638d6bb3c8b5c50cd0,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.923Z,2026-08-01T18:09:51.584Z,63f9ce47519359b7438e76fa,ANDAMAN & NICOBAR,35,63f9ce61519359b7438e7999,NICOBARS,603,6492fac4680216eb6c93e2c1,NANCOWRIE,6500,63f9ce71519359b7438e7b2b,Minyuk,645041,0,19,1,0,19,1,0,20,0,0,20,0,16,4,0,0,20,0,20,20,0,20,0,20,0,20,0,20,0
68e945638d6bb3c8b5c50cd2,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.923Z,2026-08-01T18:09:51.584Z,63f9ce47519359b7438e76fa,ANDAMAN & NICOBAR,35,63f9ce61519359b7438e7999,NICOBARS,603,6492fac4680216eb6c93e2c1,NANCOWRIE,6500,63f9ce71519359b7438e7b35,Champin,645096,0,2,0,0,2,0,0,2,0,0,2,0,2,0,0,0,2,0,2,2,0,2,0,2,0,2,0,2,0
68e945638d6bb3c8b5c50cd3,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.923Z,2026-08-01T18:09:51.584Z,63f9ce47519359b7438e76fa,ANDAMAN & NICOBAR,35,63f9ce61519359b7438e7999,NICOBARS,603,6492fac4680216eb6c93e2c1,NANCOWRIE,6500,63f9ce71519359b7438e7b3a,Alhiat,645030,0,2,0,0,2,0,0,2,0,0,2,0,2,0,0,0,2,0,2,2,0,2,0,2,0,2,0,2,0
68e945638d6bb3c8b5c50cd4,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.923Z,2026-08-01T18:09:51.584Z,63f9ce47519359b7438e76fa,ANDAMAN & NICOBAR,35,63f9ce61519359b7438e7999,NICOBARS,603,6492fac4680216eb6c93e2c1,NANCOWRIE,6500,63f9ce72519359b7438e7b53,Alointung*,645115,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0
68e945638d6bb3c8b5c50cd5,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.923Z,2026-08-01T18:09:51.584Z,63f9ce47519359b7438e76fa,ANDAMAN & NICOBAR,35,63f9ce61519359b7438e7999,NICOBARS,603,6492fac4680216eb6c93e2c1,NANCOWRIE,6500,63f9ce75519359b7438e7b8f,Al-Hit-Touch/Balu Basti,645094,0,8,0,0,7,1,0,7,1,0,8,0,6,2,0,0,8,0,8,8,0,8,0,8,0,8,0,8,0
68e945638d6bb3c8b5c50cd6,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.923Z,2026-08-01T18:09:51.584Z,63f9ce47519359b7438e76fa,ANDAMAN & NICOBAR,35,63f9ce61519359b7438e7999,NICOBARS,603,6492fac4680216eb6c93e2c1,NANCOWRIE,6500,63f9ce75519359b7438e7b99,E-Wall,645083,0,4,0,0,4,0,0,4,0,0,4,0,4,0,0,0,4,0,4,4,0,3,1,4,0,4,0,4,0
68e945638d6bb3c8b5c50cd7,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.923Z,2026-08-01T18:09:51.584Z,63f9ce47519359b7438e76fa,ANDAMAN & NICOBAR,35,63f9ce61519359b7438e7999,NICOBARS,603,6492fac4680216eb6c93e2c1,NANCOWRIE,6500,63f9ce77519359b7438e7bc1,Chukmachi,645039,0,35,0,0,35,0,0,30,5,0,35,0,31,4,0,0,35,6,29,35,0,34,1,35,0,35,0,35,0
