_id,cycle,scheme,__v,updatedAt,lastProcessedAt,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68e945638d6bb3c8b5c50ce4,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.923Z,2026-08-01T18:09:51.584Z,63f9ce47519359b7438e76fa,ANDAMAN & NICOBAR,35,63f9ce89519359b7438e7d89,NORTH AND MIDDLE ANDAMAN,632,6492fac4680216eb6c93e2c5,DIGLIPUR,6492,63f9ce8a519359b7438e7d98,Kishori Nagar (RV),645234,0,216,3,0,211,8,0,219,0,2,217,0,218,1,0,43,176,2,217,219,0,214,5,219,0,219,0,219,0
68e945638d6bb3c8b5c50ce5,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.923Z,2026-08-01T18:09:51.584Z,63f9ce47519359b7438e76fa,ANDAMAN & NICOBAR,35,63f9ce89519359b7438e7d89,NORTH AND MIDDLE ANDAMAN,632,6492fac4680216eb6c93e2c5,DIGLIPUR,6492,63f9ce8a519359b7438e7da2,Krishnapuri (RV),645219,0,31,14,0,38,7,0,29,16,1,44,0,44,1,0,20,25,1,44,45,0,45,0,44,1,45,0,45,0
68e945638d6bb3c8b5c50ce6,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.923Z,2026-08-01T18:09:51.584Z,63f9ce47519359b7438e76fa,ANDAMAN & NICOBAR,35,63f9ce89519359b7438e7d89,NORTH AND MIDDLE ANDAMAN,632,6492fac4680216eb6c93e2c5,DIGLIPUR,6492,63f9ce8a519359b7438e7da7,Shibpur (RV),645229,0,107,32,0,123,16,0,133,6,1,138,0,137,2,0,55,84,4,135,139,0,138,1,139,0,139,0,139,0
68e945638d6bb3c8b5c50ce7,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.923Z,2026-08-01T18:09:51.584Z,63f9ce47519359b7438e76fa,ANDAMAN & NICOBAR,35,63f9ce89519359b7438e7d89,NORTH AND MIDDLE ANDAMAN,632,6492fac4680216eb6c93e2c5,DIGLIPUR,6492,63f9ce8b519359b7438e7db6,Ramakrishnagram (RV),645224,0,200,18,0,191,27,0,188,30,3,215,0,218,0,0,8,210,0,218,218,0,193,25,218,0,218,0,218,0
68e945638d6bb3c8b5c50ce8,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.923Z,2026-08-01T18:09:51.584Z,63f9ce47519359b7438e76fa,ANDAMAN & NICOBAR,35,63f9ce89519359b7438e7d89,NORTH AND MIDDLE ANDAMAN,632,6492fac4680216eb6c93e2c5,DIGLIPUR,6492,63f9ce8b519359b7438e7dbb,Paschimsagar (EFA),645261,0,7,0,0,7,0,0,7,0,0,7,0,7,0,0,6,1,0,7,7,0,7,0,7,0,0,7,7,0
68e945638d6bb3c8b5c50ce9,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.923Z,2026-08-01T18:09:51.584Z,63f9ce47519359b7438e76fa,ANDAMAN & NICOBAR,35,63f9ce89519359b7438e7d89,NORTH AND MIDDLE ANDAMAN,632,6492fac4680216eb6c93e2c5,DIGLIPUR,6492,63f9ce8c519359b7438e7dc5,Jagannath Dera (RV),645238,0,24,19,0,21,22,0,23,20,2,41,0,30,13,0,34,9,0,43,43,0,42,1,43,0,43,0,43,0
68e945638d6bb3c8b5c50cea,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.923Z,2026-08-01T18:09:51.584Z,63f9ce47519359b7438e76fa,ANDAMAN & NICOBAR,35,63f9ce89519359b7438e7d89,NORTH AND MIDDLE ANDAMAN,632,6492fac4680216eb6c93e2c5,DIGLIPUR,6492,63f9ce8c519359b7438e7dca,Nabagram (RV),645232,0,89,6,0,95,0,0,95,0,0,95,0,95,0,0,0,95,0,95,95,0,94,1,95,0,95,0,95,0
68e945638d6bb3c8b5c50ceb,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.923Z,2026-08-01T18:09:51.584Z,63f9ce47519359b7438e76fa,ANDAMAN & NICOBAR,35,63f9ce89519359b7438e7d89,NORTH AND MIDDLE ANDAMAN,632,6492fac4680216eb6c93e2c5,DIGLIPUR,6492,63f9ce8c519359b7438e7dd4,Radha Nagar (EFA),645257,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0
68e945638d6bb3c8b5c50cec,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.923Z,2026-08-01T18:09:51.584Z,63f9ce47519359b7438e76fa,ANDAMAN & NICOBAR,35,63f9ce89519359b7438e7d89,NORTH AND MIDDLE ANDAMAN,632,6492fac4680216eb6c93e2c5,DIGLIPUR,6492,63f9ce8d519359b7438e7dde,Milangram (RV),645215,0,118,33,0,107,44,0,87,64,4,147,0,145,6,0,50,101,5,146,151,0,144,7,151,0,150,1,151,0
68e945638d6bb3c8b5c50ced,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.923Z,2026-08-01T18:09:51.584Z,63f9ce47519359b7438e76fa,ANDAMAN & NICOBAR,35,63f9ce89519359b7438e7d89,NORTH AND MIDDLE ANDAMAN,632,6492fac4680216eb6c93e2c5,DIGLIPUR,6492,63f9ce8e519359b7438e7df2,Keralapuram (RV),645226,0,36,0,0,24,12,0,27,9,0,36,0,36,0,0,4,32,8,28,36,0,35,1,36,0,36,0,36,0
68e945638d6bb3c8b5c50cee,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.923Z,2026-08-01T18:09:51.584Z,63f9ce47519359b7438e76fa,ANDAMAN & NICOBAR,35,63f9ce89519359b7438e7d89,NORTH AND MIDDLE ANDAMAN,632,6492fac4680216eb6c93e2c5,DIGLIPUR,6492,63f9ce8e519359b7438e7dfc,Aerial Bay (RV),645227,0,19,0,0,19,0,0,19,0,0,19,0,19,0,0,1,18,0,19,19,0,19,0,19,0,19,0,19,0
68e945638d6bb3c8b5c50cef,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.923Z,2026-08-01T18:09:51.584Z,63f9ce47519359b7438e76fa,ANDAMAN & NICOBAR,35,63f9ce89519359b7438e7d89,NORTH AND MIDDLE ANDAMAN,632,6492fac4680216eb6c93e2c5,DIGLIPUR,6492,63f9ce8f519359b7438e7e10,Subhashgram (RV),645222,0,127,16,0,143,0,0,143,0,0,143,0,143,0,0,117,26,0,143,143,0,139,4,143,0,143,0,143,0
68e945638d6bb3c8b5c50cf0,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.923Z,2026-08-01T18:09:51.584Z,63f9ce47519359b7438e76fa,ANDAMAN & NICOBAR,35,63f9ce89519359b7438e7d89,NORTH AND MIDDLE ANDAMAN,632,6492fac4680216eb6c93e2c5,DIGLIPUR,6492,63f9ce8f519359b7438e7e1a,Madhupur (RV),645218,0,178,86,0,190,74,0,139,125,18,246,0,244,20,0,40,224,4,260,264,0,245,19,264,0,264,0,264,0
