_id,cycle,scheme,__v,updatedAt,lastProcessedAt,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68e945638d6bb3c8b5c50d0a,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.923Z,2026-08-01T18:09:51.584Z,63f9ce47519359b7438e76fa,ANDAMAN & NICOBAR,35,63f9ce89519359b7438e7d89,NORTH AND MIDDLE ANDAMAN,632,6492fac4680216eb6c93e2c7,MAYABUNDER,6495,63f9ce9a519359b7438e7f2f,Kamalapur (RV),645312,0,23,6,0,27,2,0,23,6,5,24,0,19,10,0,0,29,1,28,29,0,29,0,29,0,29,0,29,0
68e945638d6bb3c8b5c50d0b,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.923Z,2026-08-01T18:09:51.584Z,63f9ce47519359b7438e76fa,ANDAMAN & NICOBAR,35,63f9ce89519359b7438e7d89,NORTH AND MIDDLE ANDAMAN,632,6492fac4680216eb6c93e2c7,MAYABUNDER,6495,63f9ce9b519359b7438e7f3e,Karmatang (RV),645298,0,10,3,0,13,0,0,13,0,6,7,0,13,0,0,1,12,0,13,13,0,13,0,13,0,13,0,13,0
68e945638d6bb3c8b5c50d0c,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.923Z,2026-08-01T18:09:51.584Z,63f9ce47519359b7438e76fa,ANDAMAN & NICOBAR,35,63f9ce89519359b7438e7d89,NORTH AND MIDDLE ANDAMAN,632,6492fac4680216eb6c93e2c7,MAYABUNDER,6495,63f9ce9b519359b7438e7f43,Profullya Nagar (RV),645309,0,45,6,0,49,2,0,51,0,0,51,0,41,10,0,2,49,3,48,51,0,46,5,51,0,51,0,51,0
68e945638d6bb3c8b5c50d0d,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.923Z,2026-08-01T18:09:51.584Z,63f9ce47519359b7438e76fa,ANDAMAN & NICOBAR,35,63f9ce89519359b7438e7d89,NORTH AND MIDDLE ANDAMAN,632,6492fac4680216eb6c93e2c7,MAYABUNDER,6495,63f9ce9b519359b7438e7f4d,Swadesh Nagar (RV),645318,0,21,19,0,40,0,0,40,0,2,38,0,25,15,0,0,40,0,40,40,0,40,0,40,0,40,0,40,0
68e945638d6bb3c8b5c50d0e,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.923Z,2026-08-01T18:09:51.584Z,63f9ce47519359b7438e76fa,ANDAMAN & NICOBAR,35,63f9ce89519359b7438e7d89,NORTH AND MIDDLE ANDAMAN,632,6492fac4680216eb6c93e2c7,MAYABUNDER,6495,63f9ce9b519359b7438e7f52,Pinakinagar (RV),645314,0,32,3,0,29,6,0,34,1,0,35,0,28,7,0,0,35,3,32,35,0,35,0,35,0,35,0,35,0
68e945638d6bb3c8b5c50d0f,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.923Z,2026-08-01T18:09:51.584Z,63f9ce47519359b7438e76fa,ANDAMAN & NICOBAR,35,63f9ce89519359b7438e7d89,NORTH AND MIDDLE ANDAMAN,632,6492fac4680216eb6c93e2c7,MAYABUNDER,6495,63f9ce9c519359b7438e7f5c,Pudumadurai (RV),645307,0,23,15,0,38,0,0,18,20,0,38,0,30,8,0,0,38,2,36,38,0,37,1,38,0,37,1,38,0
68e945638d6bb3c8b5c50d10,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.923Z,2026-08-01T18:09:51.584Z,63f9ce47519359b7438e76fa,ANDAMAN & NICOBAR,35,63f9ce89519359b7438e7d89,NORTH AND MIDDLE ANDAMAN,632,6492fac4680216eb6c93e2c7,MAYABUNDER,6495,63f9ce9c519359b7438e7f66,Danpur (RV),645296,0,11,0,0,10,1,0,7,4,0,11,0,10,1,0,0,11,1,10,11,0,11,0,11,0,11,0,11,0
68e945638d6bb3c8b5c50d11,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.923Z,2026-08-01T18:09:51.584Z,63f9ce47519359b7438e76fa,ANDAMAN & NICOBAR,35,63f9ce89519359b7438e7d89,NORTH AND MIDDLE ANDAMAN,632,6492fac4680216eb6c93e2c7,MAYABUNDER,6495,63f9ce9c519359b7438e7f6b,Lucknow (RV),645299,0,31,1,0,29,3,0,32,0,4,28,0,32,0,0,0,32,0,32,32,0,27,5,31,1,32,0,32,0
68e945638d6bb3c8b5c50d12,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.923Z,2026-08-01T18:09:51.584Z,63f9ce47519359b7438e76fa,ANDAMAN & NICOBAR,35,63f9ce89519359b7438e7d89,NORTH AND MIDDLE ANDAMAN,632,6492fac4680216eb6c93e2c7,MAYABUNDER,6495,63f9ce9d519359b7438e7f70,Chainpur (RV),645306,0,105,0,0,100,5,0,88,17,1,104,0,103,2,0,39,66,10,95,105,0,81,24,104,1,65,40,105,0
68e945638d6bb3c8b5c50d13,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.923Z,2026-08-01T18:09:51.584Z,63f9ce47519359b7438e76fa,ANDAMAN & NICOBAR,35,63f9ce89519359b7438e7d89,NORTH AND MIDDLE ANDAMAN,632,6492fac4680216eb6c93e2c7,MAYABUNDER,6495,63f9ce9d519359b7438e7f75,Devpur (RV),645301,0,24,5,0,29,0,0,28,1,11,18,0,28,1,0,0,29,3,26,29,0,28,1,29,0,29,0,29,0
