_id,cycle,scheme,__v,updatedAt,lastProcessedAt,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68e945638d6bb3c8b5c50d23,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.923Z,2026-08-01T18:09:51.584Z,63f9ce47519359b7438e76fa,ANDAMAN & NICOBAR,35,63f9ce89519359b7438e7d89,NORTH AND MIDDLE ANDAMAN,632,6492fac4680216eb6c93e2c9,RANGAT,6497,63f9cea5519359b7438e8035,Bejoygarh (RV),645375,0,51,0,0,50,1,0,51,0,1,50,0,50,1,0,0,51,0,51,51,0,51,0,51,0,51,0,51,0
68e945638d6bb3c8b5c50d24,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.923Z,2026-08-01T18:09:51.584Z,63f9ce47519359b7438e76fa,ANDAMAN & NICOBAR,35,63f9ce89519359b7438e7d89,NORTH AND MIDDLE ANDAMAN,632,6492fac4680216eb6c93e2c9,RANGAT,6497,63f9cea5519359b7438e803f,Sitapur (RV),645353,0,52,1,0,53,0,0,52,1,0,53,0,48,5,0,0,53,5,48,53,0,45,8,52,1,53,0,53,0
68e945638d6bb3c8b5c50d25,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.923Z,2026-08-01T18:09:51.584Z,63f9ce47519359b7438e76fa,ANDAMAN & NICOBAR,35,63f9ce89519359b7438e7d89,NORTH AND MIDDLE ANDAMAN,632,6492fac4680216eb6c93e2c9,RANGAT,6497,63f9cea8519359b7438e808a,Yeratiljig No. 11 (JPPC),645408,0,31,2,0,31,2,0,33,0,0,33,0,33,0,0,0,33,12,21,33,0,33,0,33,0,33,0,33,0
68e945638d6bb3c8b5c50d26,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.923Z,2026-08-01T18:09:51.584Z,63f9ce47519359b7438e76fa,ANDAMAN & NICOBAR,35,63f9ce89519359b7438e7d89,NORTH AND MIDDLE ANDAMAN,632,6492fac4680216eb6c93e2c9,RANGAT,6497,63f9ceaa519359b7438e80ad,Gol Pahar (EFA),645394,0,1,5,0,6,0,0,6,0,6,0,0,2,4,0,0,6,2,4,6,0,6,0,6,0,6,0,6,0
68e945638d6bb3c8b5c50d27,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.923Z,2026-08-01T18:09:51.584Z,63f9ce47519359b7438e76fa,ANDAMAN & NICOBAR,35,63f9ce89519359b7438e7d89,NORTH AND MIDDLE ANDAMAN,632,6492fac4680216eb6c93e2c9,RANGAT,6497,63f9ceab519359b7438e80c6,Ramachandra Nagar (RV),645344,0,5,0,0,5,0,0,5,0,0,5,0,5,0,0,0,5,0,5,5,0,5,0,5,0,5,0,5,0
68e945638d6bb3c8b5c50d28,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.923Z,2026-08-01T18:09:51.584Z,63f9ce47519359b7438e76fa,ANDAMAN & NICOBAR,35,63f9ce89519359b7438e7d89,NORTH AND MIDDLE ANDAMAN,632,6492fac4680216eb6c93e2c9,RANGAT,6497,63f9ceab519359b7438e80cb,Parnasala II (FC),645392,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
68e945638d6bb3c8b5c50d29,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.923Z,2026-08-01T18:09:51.584Z,63f9ce47519359b7438e76fa,ANDAMAN & NICOBAR,35,63f9ce89519359b7438e7d89,NORTH AND MIDDLE ANDAMAN,632,6492fac4680216eb6c93e2c9,RANGAT,6497,63f9ceab519359b7438e80d0,Udhaygarh (RV),645376,0,36,6,0,42,0,0,39,3,1,41,0,39,3,0,0,42,4,38,42,0,42,0,42,0,42,0,42,0
68e945638d6bb3c8b5c50d2a,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.923Z,2026-08-01T18:09:51.584Z,63f9ce47519359b7438e76fa,ANDAMAN & NICOBAR,35,63f9ce89519359b7438e7d89,NORTH AND MIDDLE ANDAMAN,632,6492fac4680216eb6c93e2c9,RANGAT,6497,63f9ceab519359b7438e80d5,Wrafter's Creek (RV),645384,0,6,7,0,13,0,0,11,2,6,7,0,8,5,0,0,13,12,1,13,0,13,0,13,0,13,0,13,0
68e945638d6bb3c8b5c50d2b,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.923Z,2026-08-01T18:09:51.584Z,63f9ce47519359b7438e76fa,ANDAMAN & NICOBAR,35,63f9ce89519359b7438e7d89,NORTH AND MIDDLE ANDAMAN,632,6492fac4680216eb6c93e2c9,RANGAT,6497,63f9ceac519359b7438e80da,Kanchangarh (RV),645378,0,31,2,0,33,0,0,33,0,5,28,0,24,9,0,0,33,18,15,33,0,33,0,33,0,33,0,33,0
68e945638d6bb3c8b5c50d2c,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.923Z,2026-08-01T18:09:51.584Z,63f9ce47519359b7438e76fa,ANDAMAN & NICOBAR,35,63f9ce89519359b7438e7d89,NORTH AND MIDDLE ANDAMAN,632,6492fac4680216eb6c93e2c9,RANGAT,6497,63f9ceac519359b7438e80df,Nayagarh (RV),645382,0,36,13,0,49,0,0,46,3,13,36,0,32,17,0,0,49,30,19,49,0,49,0,49,0,49,0,49,0
68e945638d6bb3c8b5c50d2d,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.923Z,2026-08-01T18:09:51.584Z,63f9ce47519359b7438e76fa,ANDAMAN & NICOBAR,35,63f9ce89519359b7438e7d89,NORTH AND MIDDLE ANDAMAN,632,6492fac4680216eb6c93e2c9,RANGAT,6497,63f9ceac519359b7438e80e4,Amkunj (RV),645349,0,45,13,0,54,4,0,44,14,3,55,0,57,1,0,0,58,3,55,58,0,58,0,58,0,58,0,58,0
68e945638d6bb3c8b5c50d2e,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.923Z,2026-08-01T18:09:51.584Z,63f9ce47519359b7438e76fa,ANDAMAN & NICOBAR,35,63f9ce89519359b7438e7d89,NORTH AND MIDDLE ANDAMAN,632,6492fac4680216eb6c93e2c9,RANGAT,6497,63f9ceac519359b7438e80e9,Nimbutala (RV),645350,0,159,24,0,159,24,0,171,12,0,183,1,154,28,0,0,183,10,173,183,0,157,26,169,14,183,0,183,0
68e945638d6bb3c8b5c50d2f,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.923Z,2026-08-01T18:09:51.584Z,63f9ce47519359b7438e76fa,ANDAMAN & NICOBAR,35,63f9ce89519359b7438e7d89,NORTH AND MIDDLE ANDAMAN,632,6492fac4680216eb6c93e2c9,RANGAT,6497,63f9ceac519359b7438e80ee,Janakpur (RV),645351,0,36,16,0,52,0,0,52,0,3,49,0,49,3,0,0,52,0,52,52,0,52,0,52,0,52,0,52,0
