_id,cycle,scheme,__v,updatedAt,lastProcessedAt,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68e945638d6bb3c8b5c50c77,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.923Z,2026-08-01T18:09:51.584Z,63f9ce47519359b7438e76fa,ANDAMAN & NICOBAR,35,63f9ce47519359b7438e76fd,SOUTH ANDAMANS,602,6492fac4680216eb6c93e2cb,FERRARGUNJ,6493,63f9ce47519359b7438e7707,Madhuban (RV),645444,0,2,0,0,2,0,0,2,0,0,2,0,2,0,0,0,2,0,2,2,0,2,0,2,0,2,0,2,0
68e945638d6bb3c8b5c50c78,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.923Z,2026-08-01T18:09:51.584Z,63f9ce47519359b7438e76fa,ANDAMAN & NICOBAR,35,63f9ce47519359b7438e76fd,SOUTH ANDAMANS,602,6492fac4680216eb6c93e2cb,FERRARGUNJ,6493,63f9ce48519359b7438e7720,Tusnabad (RV),645469,0,58,12,0,68,2,0,38,32,0,70,0,70,0,0,0,70,2,68,70,0,55,15,70,0,70,0,70,0
68e945638d6bb3c8b5c50c79,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.923Z,2026-08-01T18:09:51.584Z,63f9ce47519359b7438e76fa,ANDAMAN & NICOBAR,35,63f9ce47519359b7438e76fd,SOUTH ANDAMANS,602,6492fac4680216eb6c93e2cb,FERRARGUNJ,6493,63f9ce48519359b7438e7725,Kadakachang (RV),645460,0,33,4,0,35,2,0,31,6,0,37,0,37,0,0,9,28,0,37,37,0,24,13,37,0,37,0,37,0
68e945638d6bb3c8b5c50c7a,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.923Z,2026-08-01T18:09:51.584Z,63f9ce47519359b7438e76fa,ANDAMAN & NICOBAR,35,63f9ce47519359b7438e76fd,SOUTH ANDAMANS,602,6492fac4680216eb6c93e2cb,FERRARGUNJ,6493,63f9ce48519359b7438e772a,Aniket (RV),645464,0,4,0,0,4,0,0,4,0,0,4,0,4,0,0,0,4,0,4,4,0,4,0,4,0,4,0,4,0
68e945638d6bb3c8b5c50c7b,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.923Z,2026-08-01T18:09:51.584Z,63f9ce47519359b7438e76fa,ANDAMAN & NICOBAR,35,63f9ce47519359b7438e76fd,SOUTH ANDAMANS,602,6492fac4680216eb6c93e2cb,FERRARGUNJ,6493,63f9ce49519359b7438e772f,Wright Myo (RV),645443,0,24,3,0,15,12,0,27,0,2,25,1,23,3,0,1,26,16,11,27,0,27,0,27,0,27,0,27,0
68e945638d6bb3c8b5c50c7c,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.923Z,2026-08-01T18:09:51.584Z,63f9ce47519359b7438e76fa,ANDAMAN & NICOBAR,35,63f9ce47519359b7438e76fd,SOUTH ANDAMANS,602,6492fac4680216eb6c93e2cb,FERRARGUNJ,6493,63f9ce49519359b7438e7734,Shoal Bay (RV),645440,0,99,6,0,95,10,0,99,6,0,105,0,105,0,0,29,76,1,104,105,0,90,15,105,0,105,0,105,0
68e945638d6bb3c8b5c50c7d,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.923Z,2026-08-01T18:09:51.584Z,63f9ce47519359b7438e76fa,ANDAMAN & NICOBAR,35,63f9ce47519359b7438e76fd,SOUTH ANDAMANS,602,6492fac4680216eb6c93e2cb,FERRARGUNJ,6493,63f9ce49519359b7438e7739,Tirur I (JPPC),645506,0,4,2,0,6,0,0,6,0,0,6,0,3,3,0,0,6,1,5,6,0,5,1,6,0,5,1,6,0
68e945638d6bb3c8b5c50c7e,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.923Z,2026-08-01T18:09:51.584Z,63f9ce47519359b7438e76fa,ANDAMAN & NICOBAR,35,63f9ce47519359b7438e76fd,SOUTH ANDAMANS,602,6492fac4680216eb6c93e2cb,FERRARGUNJ,6493,63f9ce4a519359b7438e773e,Tirur IV (JPPC),645508,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0
68e945638d6bb3c8b5c50c7f,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.923Z,2026-08-01T18:09:51.584Z,63f9ce47519359b7438e76fa,ANDAMAN & NICOBAR,35,63f9ce47519359b7438e76fd,SOUTH ANDAMANS,602,6492fac4680216eb6c93e2cb,FERRARGUNJ,6493,63f9ce4b519359b7438e776b,Chouldari (RV),645480,0,113,27,0,136,4,0,140,0,0,140,0,138,2,0,0,140,35,105,140,0,138,2,140,0,140,0,140,0
68e945638d6bb3c8b5c50c80,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.923Z,2026-08-01T18:09:51.584Z,63f9ce47519359b7438e76fa,ANDAMAN & NICOBAR,35,63f9ce47519359b7438e76fd,SOUTH ANDAMANS,602,6492fac4680216eb6c93e2cb,FERRARGUNJ,6493,63f9ce4c519359b7438e7770,Manpur (RV),645471,0,50,3,0,49,4,0,53,0,1,52,0,52,1,0,30,23,0,53,53,0,53,0,53,0,53,0,53,0
