_id,cycle,scheme,__v,updatedAt,lastProcessedAt,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68e945638d6bb3c8b5c50ca7,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.923Z,2026-08-01T18:09:51.584Z,63f9ce47519359b7438e76fa,ANDAMAN & NICOBAR,35,63f9ce47519359b7438e76fd,SOUTH ANDAMANS,602,6492fac4680216eb6c93e2cf,PROTHRAPUR,6496,63f9ce56519359b7438e788a,Teylorabad (RV),645533,0,41,9,0,35,15,0,23,27,1,49,0,50,0,0,0,50,0,50,50,0,50,0,50,0,50,0,50,0
68e945638d6bb3c8b5c50ca8,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.923Z,2026-08-01T18:09:51.584Z,63f9ce47519359b7438e76fa,ANDAMAN & NICOBAR,35,63f9ce47519359b7438e76fd,SOUTH ANDAMANS,602,6492fac4680216eb6c93e2cf,PROTHRAPUR,6496,63f9ce57519359b7438e788f,Radha Nagar (RV),645521,0,12,2,0,11,3,0,14,0,1,13,0,14,0,0,0,14,5,9,14,0,14,0,12,2,14,0,14,0
68e945638d6bb3c8b5c50ca9,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.923Z,2026-08-01T18:09:51.584Z,63f9ce47519359b7438e76fa,ANDAMAN & NICOBAR,35,63f9ce47519359b7438e76fd,SOUTH ANDAMANS,602,6492fac4680216eb6c93e2cf,PROTHRAPUR,6496,63f9ce57519359b7438e7894,Govinda Nagar (RV),645517,0,26,8,0,29,5,1,13,20,0,34,0,34,0,0,0,34,15,19,34,0,34,0,29,5,34,0,34,0
68e945638d6bb3c8b5c50caa,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.923Z,2026-08-01T18:09:51.584Z,63f9ce47519359b7438e76fa,ANDAMAN & NICOBAR,35,63f9ce47519359b7438e76fd,SOUTH ANDAMANS,602,6492fac4680216eb6c93e2cf,PROTHRAPUR,6496,63f9ce57519359b7438e7899,Ram Nagar (RV),645526,0,42,8,0,48,2,0,28,22,0,50,0,47,3,0,0,50,35,15,50,0,49,1,50,0,50,0,50,0
68e945638d6bb3c8b5c50cab,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.923Z,2026-08-01T18:09:51.584Z,63f9ce47519359b7438e76fa,ANDAMAN & NICOBAR,35,63f9ce47519359b7438e76fd,SOUTH ANDAMANS,602,6492fac4680216eb6c93e2cf,PROTHRAPUR,6496,63f9ce57519359b7438e789e,Beadnabad (RV),645537,0,64,0,0,61,3,0,55,9,4,60,0,63,1,0,0,64,1,63,64,0,60,4,64,0,64,0,64,0
68e945638d6bb3c8b5c50cac,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.923Z,2026-08-01T18:09:51.584Z,63f9ce47519359b7438e76fa,ANDAMAN & NICOBAR,35,63f9ce47519359b7438e76fd,SOUTH ANDAMANS,602,6492fac4680216eb6c93e2cf,PROTHRAPUR,6496,63f9ce57519359b7438e78a3,Shyam Nagar (RV),645519,0,31,3,0,33,1,0,34,0,0,34,0,34,0,0,0,34,12,22,34,0,32,2,34,0,34,0,34,0
68e945638d6bb3c8b5c50cad,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.923Z,2026-08-01T18:09:51.584Z,63f9ce47519359b7438e76fa,ANDAMAN & NICOBAR,35,63f9ce47519359b7438e76fd,SOUTH ANDAMANS,602,6492fac4680216eb6c93e2cf,PROTHRAPUR,6496,63f9ce57519359b7438e78a8,Rutland (RV),645540,0,27,4,0,28,3,0,27,4,0,31,0,28,3,0,3,28,3,28,31,0,29,2,31,0,31,0,31,0
68e945638d6bb3c8b5c50cae,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.923Z,2026-08-01T18:09:51.584Z,63f9ce47519359b7438e76fa,ANDAMAN & NICOBAR,35,63f9ce47519359b7438e76fd,SOUTH ANDAMANS,602,6492fac4680216eb6c93e2cf,PROTHRAPUR,6496,63f9ce58519359b7438e78ad,Chidiyatapu (RV),645539,0,42,1,0,40,3,0,43,0,15,28,0,43,0,0,0,43,15,28,43,0,36,7,43,0,43,0,43,0
68e945638d6bb3c8b5c50caf,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.923Z,2026-08-01T18:09:51.584Z,63f9ce47519359b7438e76fa,ANDAMAN & NICOBAR,35,63f9ce47519359b7438e76fd,SOUTH ANDAMANS,602,6492fac4680216eb6c93e2cf,PROTHRAPUR,6496,63f9ce58519359b7438e78b2,Bejoy Nagar (RV),645518,0,23,2,0,23,2,0,25,0,0,25,0,24,1,0,0,25,9,16,25,0,25,0,19,6,25,0,25,0
68e945638d6bb3c8b5c50cb0,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.923Z,2026-08-01T18:09:51.584Z,63f9ce47519359b7438e76fa,ANDAMAN & NICOBAR,35,63f9ce47519359b7438e76fd,SOUTH ANDAMANS,602,6492fac4680216eb6c93e2cf,PROTHRAPUR,6496,63f9ce58519359b7438e78b7,Krishna Nagar (RV),645520,0,49,0,0,41,8,0,48,1,12,37,0,49,0,0,0,49,13,36,49,0,48,1,35,14,49,0,49,0
