_id,cycle,scheme,__v,updatedAt,lastProcessedAt,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68e945628d6bb3c8b5c490dd,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e32d,ANANTAPUR,4689,63f9581189d86ca9e2c016f0,Mannila,595095,0,39,1,39,1,0,36,0,4,40,0,0,37,3,0,0,40,0,40,34,6,25,15,40,0,31,9,40,0
68e945628d6bb3c8b5c490de,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e32d,ANANTAPUR,4689,63f9581189d86ca9e2c016fa,Narayanapuram (CT),595096,0,9,1,6,0,4,10,0,0,8,2,0,10,0,0,0,10,0,10,10,0,9,1,9,1,7,3,10,0
68e945628d6bb3c8b5c490df,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e32d,ANANTAPUR,4689,63f9581289d86ca9e2c016ff,Kakkalapalle (CT),595099,0,41,0,40,1,0,41,0,0,40,1,0,36,5,1,0,40,0,41,36,5,27,14,40,1,33,8,41,0
68e945628d6bb3c8b5c490e0,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e32d,ANANTAPUR,4689,63f9581289d86ca9e2c01709,Chiyyedu,595094,0,74,4,60,4,14,72,1,5,77,1,0,74,4,0,0,78,1,77,69,9,55,23,77,1,56,22,77,1
68e945628d6bb3c8b5c490e1,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e32d,ANANTAPUR,4689,63f9581289d86ca9e2c0170e,Kandakur,595093,0,42,0,40,1,1,37,1,4,41,1,0,37,5,0,0,42,0,42,30,12,32,10,42,0,35,7,42,0
68e945628d6bb3c8b5c490e2,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e32d,ANANTAPUR,4689,63f9581289d86ca9e2c01713,Gollapalle,595086,0,15,0,13,1,1,15,0,0,14,1,0,15,0,0,0,15,0,15,15,0,14,1,15,0,15,0,15,0
68e945628d6bb3c8b5c490e3,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e32d,ANANTAPUR,4689,63f9581389d86ca9e2c01718,Rachanapalle,595083,0,39,1,22,0,18,39,0,1,39,1,1,36,3,1,0,39,0,40,34,6,25,15,40,0,31,9,40,0
68e945628d6bb3c8b5c490e4,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e32d,ANANTAPUR,4689,63f9581389d86ca9e2c01722,Thaticherla,595081,0,40,1,40,1,0,27,0,14,40,1,0,39,2,0,0,41,0,41,39,2,33,8,40,1,26,15,41,0
68e945628d6bb3c8b5c490e5,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e32d,ANANTAPUR,4689,63f9581389d86ca9e2c01727,Kurugunta,595085,0,41,0,41,0,0,27,0,14,41,0,0,40,1,0,0,41,0,41,37,4,27,14,40,1,35,6,41,0
68e945628d6bb3c8b5c490e6,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e32d,ANANTAPUR,4689,63f9581489d86ca9e2c01731,Upparapalle,595090,0,44,1,43,1,1,26,0,19,45,0,0,45,0,0,0,45,0,45,41,4,36,9,45,0,35,10,45,0
68e945628d6bb3c8b5c490e7,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e32d,ANANTAPUR,4689,63f9581489d86ca9e2c01736,Kamarupalle,595087,0,27,0,27,0,0,27,0,0,27,0,0,24,3,0,0,27,0,27,22,5,19,8,27,0,23,4,27,0
68e945628d6bb3c8b5c490e8,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e32d,ANANTAPUR,4689,63f9581489d86ca9e2c0173b,Alamuru,595088,0,40,1,13,0,28,40,1,0,39,2,1,37,3,0,0,41,0,41,39,2,27,14,40,1,30,11,39,2
68e945628d6bb3c8b5c490e9,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e32d,ANANTAPUR,4689,63f9581489d86ca9e2c01740,Katiganikalva,595089,0,41,0,40,1,0,34,0,7,40,1,0,40,1,0,0,41,0,41,34,7,29,12,41,0,34,7,41,0
68e945628d6bb3c8b5c490ea,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e32d,ANANTAPUR,4689,63f9581489d86ca9e2c01745,Somanadoddi,595082,0,38,2,25,1,14,33,0,7,39,1,0,37,3,0,0,40,0,40,35,5,33,7,40,0,26,14,40,0
68e945628d6bb3c8b5c490eb,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e32d,ANANTAPUR,4689,63f9581589d86ca9e2c0174a,Kodimi,595080,0,34,6,33,1,6,30,0,10,38,2,0,36,4,0,0,40,0,40,33,7,27,13,38,2,33,7,40,0
68e945628d6bb3c8b5c490ec,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e32d,ANANTAPUR,4689,63f9581589d86ca9e2c0174f,Anantapur (CT),595098,0,39,4,17,0,26,42,0,1,43,0,0,42,1,0,0,43,0,43,42,1,31,12,43,0,23,20,42,1
68e945628d6bb3c8b5c490ed,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e32d,ANANTAPUR,4689,63f9581589d86ca9e2c01754,Itikalapalle,595091,0,72,4,72,1,3,73,0,3,75,1,1,70,5,0,0,76,0,76,63,13,57,19,75,1,63,13,73,3
