_id,cycle,scheme,__v,updatedAt,lastProcessedAt,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68e945628d6bb3c8b5c4903f,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e331,BELUGUPPA,4692,63f957e989d86ca9e2c01365,Yerragudi,594909,0,29,0,23,0,6,18,0,11,27,2,0,29,0,0,0,29,0,29,23,6,24,5,29,0,15,14,29,0
68e945628d6bb3c8b5c49040,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e331,BELUGUPPA,4692,63f957e989d86ca9e2c0136a,Sreerangapuram,594903,0,41,1,38,0,4,40,1,1,39,3,0,37,5,0,0,42,0,42,11,31,32,10,42,0,37,5,42,0
68e945628d6bb3c8b5c49041,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e331,BELUGUPPA,4692,63f957ea89d86ca9e2c0136f,Duddekunta,594913,0,39,2,29,0,12,31,0,10,41,0,0,37,4,2,0,39,0,41,30,11,27,14,41,0,33,8,41,0
68e945628d6bb3c8b5c49042,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e331,BELUGUPPA,4692,63f957ea89d86ca9e2c01374,Ankampalle,594908,0,39,2,37,1,3,36,1,4,41,0,1,38,2,0,0,41,1,40,35,6,39,2,40,1,26,15,41,0
68e945628d6bb3c8b5c49043,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e331,BELUGUPPA,4692,63f957ea89d86ca9e2c01379,Thagguparthy,594906,0,40,1,36,0,5,21,0,20,37,4,0,40,1,0,0,41,0,41,16,25,37,4,41,0,35,6,41,0
68e945628d6bb3c8b5c49044,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e331,BELUGUPPA,4692,63f957ea89d86ca9e2c0137e,Avulenna,594910,0,12,0,10,1,1,9,0,3,12,0,0,12,0,2,0,10,0,12,12,0,10,2,12,0,7,5,12,0
68e945628d6bb3c8b5c49045,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e331,BELUGUPPA,4692,63f957ea89d86ca9e2c01383,Seerpi,594912,0,41,0,36,1,4,36,1,4,36,5,0,41,0,0,0,41,0,41,19,22,29,12,41,0,37,4,41,0
68e945628d6bb3c8b5c49046,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e331,BELUGUPPA,4692,63f957eb89d86ca9e2c01388,Narinjagundlapalle,594904,0,42,0,34,2,6,35,0,7,38,4,0,42,0,0,0,42,0,42,23,19,24,18,42,0,30,12,42,0
68e945628d6bb3c8b5c49047,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e331,BELUGUPPA,4692,63f957eb89d86ca9e2c0138d,Beluguppa,594905,0,78,2,67,2,13,77,2,3,82,0,0,75,5,10,0,72,0,82,49,33,71,11,77,5,56,26,80,2
68e945628d6bb3c8b5c49048,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e331,BELUGUPPA,4692,63f957eb89d86ca9e2c01392,Konampalle,594914,0,40,2,27,6,9,19,2,21,42,0,0,37,5,0,0,42,0,42,28,14,19,23,42,0,31,11,42,0
