_id,cycle,scheme,__v,updatedAt,lastProcessedAt,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68e945628d6bb3c8b5c48f8d,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e333,BOMMANAHAL,4693,63f957bc89d86ca9e2c00f1c,Kuruvalli,594693,0,21,0,21,0,0,16,0,5,21,0,0,19,2,0,0,21,0,21,18,3,14,7,21,0,15,6,21,0
68e945628d6bb3c8b5c48f8e,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e333,BOMMANAHAL,4693,63f957bc89d86ca9e2c00f21,Uddehal,594699,0,38,1,35,1,3,16,0,23,39,0,0,36,3,0,0,39,0,39,31,8,25,14,39,0,29,10,39,0
68e945628d6bb3c8b5c48f8f,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e333,BOMMANAHAL,4693,63f957bc89d86ca9e2c00f26,Bollanaguddam,594696,0,40,1,35,1,5,24,0,17,41,0,0,38,3,0,0,41,0,41,32,9,22,19,40,1,24,17,41,0
68e945628d6bb3c8b5c48f90,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e333,BOMMANAHAL,4693,63f957bc89d86ca9e2c00f2b,Elanji,594701,0,40,1,35,0,6,24,0,17,38,3,0,39,2,0,0,41,0,41,33,8,27,14,41,0,17,24,40,1
68e945628d6bb3c8b5c48f91,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e333,BOMMANAHAL,4693,63f957bc89d86ca9e2c00f30,Nemakallu,594690,0,39,2,38,0,3,23,0,18,39,2,0,39,2,0,0,41,0,41,37,4,28,13,41,0,22,19,40,1
68e945628d6bb3c8b5c48f92,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e333,BOMMANAHAL,4693,63f957bd89d86ca9e2c00f35,Sreedharaghattu,594702,0,39,4,34,0,8,24,0,19,43,0,0,40,3,0,0,43,0,43,36,7,31,12,43,0,24,19,42,1
68e945628d6bb3c8b5c48f93,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e333,BOMMANAHAL,4693,63f957bd89d86ca9e2c00f3f,Govindawada,594704,0,39,1,33,4,3,6,0,34,40,0,0,37,3,0,0,40,0,40,36,4,26,14,39,1,19,21,39,1
68e945628d6bb3c8b5c48f94,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e333,BOMMANAHAL,4693,63f957bd89d86ca9e2c00f44,Singanahalli,594703,0,38,0,34,0,4,28,0,10,38,0,0,37,1,0,0,38,0,38,29,9,24,14,37,1,25,13,38,0
68e945628d6bb3c8b5c48f95,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e333,BOMMANAHAL,4693,63f957bd89d86ca9e2c00f49,Kolaganahalli,594700,0,40,1,32,0,9,24,0,17,40,1,0,40,1,0,0,41,0,41,37,4,22,19,41,0,29,12,41,0
68e945628d6bb3c8b5c48f96,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e333,BOMMANAHAL,4693,63f957be89d86ca9e2c00f4e,Kalludevanahalli,594697,0,40,2,41,0,1,12,0,30,42,0,1,38,3,0,0,42,0,42,34,8,27,15,40,2,24,18,42,0
