_id,cycle,scheme,__v,updatedAt,lastProcessedAt,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68e945628d6bb3c8b5c48f60,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e339,D.HIREHAL,4699,63f957b189d86ca9e2c00e1c,Hulikal,594657,0,37,5,25,2,15,29,0,13,39,3,0,34,8,0,0,42,0,42,42,0,29,13,42,0,35,7,42,0
68e945628d6bb3c8b5c48f61,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e339,D.HIREHAL,4699,63f957b189d86ca9e2c00e21,Pulakurthi,594651,0,43,0,36,0,7,34,0,9,40,3,1,35,7,0,0,43,0,43,34,9,1,42,43,0,33,10,43,0
68e945628d6bb3c8b5c48f62,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e339,D.HIREHAL,4699,63f957b189d86ca9e2c00e26,Hirdehal,594650,0,25,1,19,1,6,18,0,8,25,1,0,26,0,0,0,26,0,26,24,2,1,25,26,0,18,8,26,0
68e945628d6bb3c8b5c48f63,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e339,D.HIREHAL,4699,63f957b189d86ca9e2c00e2b,Obulapuram,594643,0,42,0,31,1,10,32,0,10,37,5,2,33,7,0,0,42,0,42,39,3,0,42,42,0,37,5,42,0
68e945628d6bb3c8b5c48f64,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e339,D.HIREHAL,4699,63f957b189d86ca9e2c00e30,Dodagatta,594655,0,38,3,30,0,11,31,0,10,37,4,0,32,9,0,0,41,0,41,41,0,39,2,41,0,36,5,41,0
68e945628d6bb3c8b5c48f65,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e339,D.HIREHAL,4699,63f957b289d86ca9e2c00e35,Jajarakal,594649,0,15,0,11,0,4,9,0,6,15,0,0,15,0,0,0,15,0,15,12,3,1,14,15,0,9,6,15,0
68e945628d6bb3c8b5c48f66,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e339,D.HIREHAL,4699,63f957b289d86ca9e2c00e3f,Nagalapuram,594652,0,38,3,32,0,9,36,0,5,38,3,2,30,9,0,0,41,0,41,35,6,3,38,41,0,33,8,41,0
68e945628d6bb3c8b5c48f67,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e339,D.HIREHAL,4699,63f957b289d86ca9e2c00e44,Kadalur,594656,0,34,6,33,0,7,31,0,9,36,4,0,37,3,0,0,40,0,40,17,23,19,21,40,0,32,8,40,0
68e945628d6bb3c8b5c48f68,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e339,D.HIREHAL,4699,63f957b389d86ca9e2c00e49,Muradi,594658,2,74,3,63,0,16,61,0,18,70,9,0,69,10,0,0,79,0,79,72,7,61,18,79,0,62,17,78,1
68e945628d6bb3c8b5c48f69,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e339,D.HIREHAL,4699,63f957b389d86ca9e2c00e53,Malapanagudi,594641,0,29,0,22,3,4,17,0,12,28,1,0,26,3,0,0,29,0,29,25,4,0,29,29,0,23,6,29,0
