_id,cycle,scheme,__v,updatedAt,lastProcessedAt,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68e945628d6bb3c8b5c49088,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e33b,GARLADINNE,4702,63f957f989d86ca9e2c014e6,Penakacherla,594978,0,50,0,34,0,16,10,0,40,50,0,0,44,6,0,0,50,1,49,44,6,36,14,49,1,42,8,49,1
68e945628d6bb3c8b5c49089,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e33b,GARLADINNE,4702,63f957fa89d86ca9e2c014eb,Kalluru,594983,0,36,4,31,0,9,35,0,5,40,0,0,34,6,15,0,25,0,40,34,6,32,8,40,0,35,5,40,0
68e945628d6bb3c8b5c4908a,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e33b,GARLADINNE,4702,63f957fa89d86ca9e2c014f0,Kesavapuram,594980,0,3,0,1,0,2,2,0,1,3,0,0,3,0,0,0,3,0,3,3,0,1,2,3,0,3,0,3,0
68e945628d6bb3c8b5c4908b,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e33b,GARLADINNE,4702,63f957fa89d86ca9e2c014f5,Garladinne,594993,0,49,2,35,3,13,46,1,4,48,3,0,47,4,0,0,51,1,50,46,5,36,15,51,0,42,9,50,1
68e945628d6bb3c8b5c4908c,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e33b,GARLADINNE,4702,63f957fa89d86ca9e2c014fa,Koppalakonda,594979,0,46,2,31,0,17,41,0,7,46,2,0,44,4,0,0,48,1,47,41,7,37,11,48,0,41,7,48,0
68e945628d6bb3c8b5c4908d,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e33b,GARLADINNE,4702,63f957fa89d86ca9e2c014ff,Illuru,594984,0,42,8,32,0,18,39,0,11,50,0,0,41,9,5,0,45,1,49,42,8,39,11,50,0,45,5,49,1
68e945628d6bb3c8b5c4908e,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e33b,GARLADINNE,4702,63f957fb89d86ca9e2c01509,Budedu,594992,0,37,3,27,2,11,30,1,9,38,2,0,37,3,0,1,39,0,40,37,3,34,6,40,0,14,26,40,0
68e945628d6bb3c8b5c4908f,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e33b,GARLADINNE,4702,63f957fb89d86ca9e2c0150e,Muntimadugu,594981,0,14,1,10,0,5,8,0,7,15,0,0,13,2,0,1,14,0,15,12,3,8,7,15,0,10,5,15,0
68e945628d6bb3c8b5c49090,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e33b,GARLADINNE,4702,63f957fb89d86ca9e2c01513,Kanampalle,594985,0,41,0,36,1,4,36,1,4,41,0,0,39,2,0,0,41,0,41,30,11,32,9,41,0,37,4,41,0
68e945628d6bb3c8b5c49091,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e33b,GARLADINNE,4702,63f957fb89d86ca9e2c01518,Kalluru Agraharam,594982,0,40,3,33,0,10,25,0,18,42,1,0,38,5,0,0,43,7,36,37,6,32,11,43,0,11,32,43,0
68e945628d6bb3c8b5c49092,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e33b,GARLADINNE,4702,63f957fc89d86ca9e2c0151d,Krishnapuram,594988,0,39,0,33,0,6,33,0,6,39,0,0,35,4,4,0,35,0,39,30,9,24,15,39,0,35,4,39,0
68e945628d6bb3c8b5c49093,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e33b,GARLADINNE,4702,63f957fe89d86ca9e2c01522,Kotanka,594990,0,38,5,34,1,8,34,0,9,43,0,0,39,4,0,1,42,0,43,36,7,27,16,43,0,40,3,42,1
68e945628d6bb3c8b5c49094,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e33b,GARLADINNE,4702,63f957fe89d86ca9e2c01527,Sirivaram,594987,0,34,3,25,1,11,24,3,10,35,2,1,29,7,0,0,37,0,37,31,6,34,3,37,0,30,7,37,0
68e945628d6bb3c8b5c49095,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e33b,GARLADINNE,4702,63f957fe89d86ca9e2c0152c,Yerraguntla,594989,0,46,4,34,1,15,44,0,6,50,0,0,48,2,3,0,47,0,50,45,5,33,17,50,0,44,6,50,0
68e945628d6bb3c8b5c49096,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e33b,GARLADINNE,4702,63f957ff89d86ca9e2c0153b,Obulapuram,594994,0,28,2,22,0,8,17,1,12,28,2,0,28,2,0,0,30,0,30,27,3,21,9,30,0,12,18,30,0
