_id,cycle,scheme,__v,updatedAt,lastProcessedAt,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68e945628d6bb3c8b5c48fb9,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e33d,GOOTY,4703,63f957c689d86ca9e2c01017,Ubicherla,594740,0,38,1,36,3,0,33,0,6,39,0,0,38,1,0,0,39,0,39,36,3,29,10,38,1,25,14,38,1
68e945628d6bb3c8b5c48fba,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e33d,GOOTY,4703,63f957c689d86ca9e2c0101c,Peddoddi,594747,0,31,2,27,4,2,25,2,6,33,0,0,31,2,0,0,33,0,33,27,6,27,6,33,0,20,13,30,3
68e945628d6bb3c8b5c48fbb,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e33d,GOOTY,4703,63f957c689d86ca9e2c01021,Erragudi,594751,0,22,0,20,0,2,19,0,3,22,0,0,22,0,2,0,20,0,22,16,6,17,5,22,0,14,8,18,4
68e945628d6bb3c8b5c48fbc,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e33d,GOOTY,4703,63f957c789d86ca9e2c0102b,Abbedoddi,594753,0,18,5,18,0,5,7,1,15,23,0,0,21,2,0,0,23,0,23,21,2,16,7,23,0,18,5,23,0
68e945628d6bb3c8b5c48fbd,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e33d,GOOTY,4703,63f957c789d86ca9e2c01030,Kothapeta,594756,0,35,1,34,0,2,32,0,4,36,0,0,35,1,0,0,36,0,36,27,9,31,5,36,0,26,10,36,0
68e945628d6bb3c8b5c48fbe,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e33d,GOOTY,4703,63f957c789d86ca9e2c01035,Brahmanapalle,594748,0,9,0,8,1,0,6,0,3,9,0,0,9,0,0,0,9,0,9,9,0,9,0,9,0,6,3,9,0
68e945628d6bb3c8b5c48fbf,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e33d,GOOTY,4703,63f957c889d86ca9e2c0103a,Mamadur,594750,0,24,3,25,0,2,9,0,18,27,0,0,23,4,0,0,27,1,26,25,2,20,7,27,0,18,9,27,0
68e945628d6bb3c8b5c48fc0,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e33d,GOOTY,4703,63f957c889d86ca9e2c0103f,Karadikonda,594741,0,39,2,37,2,2,23,2,16,41,0,0,35,6,0,0,41,0,41,33,8,29,12,41,0,24,17,39,2
68e945628d6bb3c8b5c48fc1,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e33d,GOOTY,4703,63f957c889d86ca9e2c01044,Rajapuram,594745,0,20,0,19,1,0,19,0,1,20,0,0,20,0,1,0,19,0,20,15,5,15,5,20,0,12,8,19,1
68e945628d6bb3c8b5c48fc2,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e33d,GOOTY,4703,63f957c889d86ca9e2c01049,Jakkalacheruvu,594759,0,35,4,32,3,4,26,1,12,39,0,0,34,5,0,0,39,0,39,35,4,29,10,39,0,29,10,39,0
