_id,cycle,scheme,__v,updatedAt,lastProcessedAt,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68e945628d6bb3c8b5c4904d,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e33f,GUMMAGATTA,4706,63f957ec89d86ca9e2c013ad,Bhupasamudram,594922,0,70,1,54,0,17,31,3,37,67,4,0,63,8,0,0,71,0,71,46,25,35,36,71,0,60,11,52,19
68e945628d6bb3c8b5c4904e,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e33f,GUMMAGATTA,4706,63f957ec89d86ca9e2c013b2,Gummagatta,594927,0,75,9,60,0,24,55,2,27,84,0,0,80,4,0,0,84,0,84,47,37,60,24,74,10,67,17,82,2
68e945628d6bb3c8b5c4904f,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e33f,GUMMAGATTA,4706,63f957ed89d86ca9e2c013b7,Pulakunta,594924,0,36,6,29,0,13,32,1,9,39,3,0,38,4,0,0,42,0,42,24,18,25,17,42,0,39,3,42,0
68e945628d6bb3c8b5c49050,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e33f,GUMMAGATTA,4706,63f957ed89d86ca9e2c013bc,Kalugodu,594923,0,69,12,57,0,24,61,0,20,79,2,0,72,9,0,0,81,0,81,45,36,71,10,70,11,79,2,76,5
68e945628d6bb3c8b5c49051,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e33f,GUMMAGATTA,4706,63f957ed89d86ca9e2c013c1,Gollapalle,594918,0,75,9,54,0,30,58,1,25,83,1,0,74,10,0,0,84,0,84,77,7,84,0,76,8,69,15,84,0
68e945628d6bb3c8b5c49052,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e33f,GUMMAGATTA,4706,63f957ed89d86ca9e2c013c6,Tallakera,594926,0,80,1,64,0,17,44,1,36,79,2,0,75,6,0,0,81,0,81,57,24,29,52,57,24,63,18,81,0
68e945628d6bb3c8b5c49053,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e33f,GUMMAGATTA,4706,63f957ed89d86ca9e2c013cb,Veerapuram,594919,0,41,0,31,0,10,23,0,18,40,1,0,38,3,0,0,41,0,41,24,17,14,27,41,0,40,1,18,23
68e945628d6bb3c8b5c49054,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e33f,GUMMAGATTA,4706,63f957ee89d86ca9e2c013d0,Galagala,594917,0,40,2,30,0,12,32,3,7,41,1,0,39,3,0,0,42,0,42,7,35,33,9,42,0,38,4,34,8
68e945628d6bb3c8b5c49055,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e33f,GUMMAGATTA,4706,63f957ee89d86ca9e2c013d5,S.Hosahalli,594921,0,9,1,10,0,0,2,0,8,9,1,0,8,2,0,0,10,0,10,3,7,5,5,10,0,10,0,10,0
68e945628d6bb3c8b5c49056,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e33f,GUMMAGATTA,4706,63f957ee89d86ca9e2c013da,Belodu,594920,0,38,6,31,0,13,18,2,24,42,2,0,40,4,0,0,44,0,44,33,11,15,29,44,0,38,6,44,0
68e945628d6bb3c8b5c49057,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e33f,GUMMAGATTA,4706,63f957ee89d86ca9e2c013df,Rangasamudram,594925,0,36,5,33,0,8,19,1,21,38,3,0,35,6,0,1,40,0,41,33,8,33,8,41,0,36,5,19,22
