_id,cycle,scheme,__v,updatedAt,lastProcessedAt,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68e945628d6bb3c8b5c4910d,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e345,KAMBADUR,4711,63f9581c89d86ca9e2c017fc,Kurakulapalle,595142,0,40,1,35,1,5,28,1,12,40,1,0,36,5,0,0,41,0,41,38,3,33,8,41,0,31,10,39,2
68e945628d6bb3c8b5c4910e,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e345,KAMBADUR,4711,63f9581c89d86ca9e2c01801,Pallur,595134,0,71,5,54,2,20,46,0,30,74,2,1,72,3,0,0,76,0,76,67,9,58,18,75,1,56,20,75,1
68e945628d6bb3c8b5c4910f,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e345,KAMBADUR,4711,63f9581c89d86ca9e2c01806,Karthanaparthi,595137,0,33,0,21,4,8,23,1,9,31,2,0,30,3,0,0,33,0,33,28,5,21,12,33,0,26,7,33,0
68e945628d6bb3c8b5c49110,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e345,KAMBADUR,4711,63f9581d89d86ca9e2c0180b,Mulakanur,595131,0,119,5,93,4,27,92,4,28,118,6,0,113,11,0,0,124,0,124,110,14,90,34,123,1,95,29,120,4
68e945628d6bb3c8b5c49111,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e345,KAMBADUR,4711,63f9581d89d86ca9e2c01810,Thimmapuram,595132,0,60,1,51,2,8,33,2,26,60,1,0,54,7,0,0,61,0,61,54,7,48,13,60,1,46,15,58,3
68e945628d6bb3c8b5c49112,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e345,KAMBADUR,4711,63f9581d89d86ca9e2c01815,Chennampalle,595141,0,43,0,37,1,5,26,1,16,42,1,0,40,3,0,0,43,0,43,35,8,29,14,43,0,36,7,42,1
68e945628d6bb3c8b5c49113,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e345,KAMBADUR,4711,63f9581d89d86ca9e2c0181a,Ralla Anantapuram,595139,0,27,1,18,0,10,25,0,3,28,0,0,26,2,0,0,28,0,28,26,2,16,12,28,0,21,7,27,1
68e945628d6bb3c8b5c49114,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e345,KAMBADUR,4711,63f9581d89d86ca9e2c0181f,Nuthimadugu,595136,0,33,4,32,2,3,36,0,1,37,0,0,33,4,0,0,37,0,37,31,6,27,10,36,1,30,7,37,0
68e945628d6bb3c8b5c49115,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e345,KAMBADUR,4711,63f9581e89d86ca9e2c01824,Rallapalle,595140,0,16,0,14,0,2,13,0,3,16,0,0,11,5,0,0,16,0,16,13,3,13,3,16,0,15,1,16,0
68e945628d6bb3c8b5c49116,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e345,KAMBADUR,4711,63f9581e89d86ca9e2c01829,Kambadur,595133,0,143,10,121,1,31,107,7,39,148,5,0,142,11,0,0,153,0,153,138,15,111,42,153,0,124,29,153,0
68e945628d6bb3c8b5c49117,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e345,KAMBADUR,4711,63f9581e89d86ca9e2c0182e,Ramapuram,595135,0,41,0,33,1,7,30,1,10,41,0,0,38,3,0,0,41,0,41,37,4,27,14,41,0,29,12,37,4
68e945628d6bb3c8b5c49118,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e345,KAMBADUR,4711,63f9581e89d86ca9e2c01833,Gulyam,595138,0,8,0,6,1,1,8,0,0,6,2,0,7,1,0,0,8,0,8,7,1,7,1,8,0,4,4,8,0
