_id,cycle,scheme,__v,updatedAt,lastProcessedAt,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68e945628d6bb3c8b5c48f7d,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e347,KANEKAL,4713,63f957b889d86ca9e2c00eca,Meenahalli,594682,0,17,1,16,2,0,3,1,14,16,2,0,15,3,4,1,13,0,18,11,7,13,5,18,0,16,2,18,0
68e945628d6bb3c8b5c48f7e,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e347,KANEKAL,4713,63f957b889d86ca9e2c00ecf,Garudachedu,594683,0,22,1,17,3,3,3,0,20,21,2,0,20,3,4,0,19,2,21,16,7,18,5,22,1,18,5,23,0
68e945628d6bb3c8b5c48f7f,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e347,KANEKAL,4713,63f957b989d86ca9e2c00ed4,Hulikera,594675,0,81,1,65,1,16,5,5,72,80,2,0,79,3,0,0,82,0,82,61,21,60,22,76,6,75,7,81,1
68e945628d6bb3c8b5c48f80,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e347,KANEKAL,4713,63f957b989d86ca9e2c00ed9,Kanekal,594678,0,158,9,126,10,31,17,21,129,149,18,0,135,32,0,2,165,0,167,119,48,135,32,153,14,116,51,164,3
68e945628d6bb3c8b5c48f81,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e347,KANEKAL,4713,63f957b989d86ca9e2c00ede,Kalekurthi,594688,0,37,3,33,0,7,3,3,34,39,1,0,39,1,0,1,39,0,40,24,16,32,8,35,5,21,19,39,1
68e945628d6bb3c8b5c48f82,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e347,KANEKAL,4713,63f957b989d86ca9e2c00ee3,N.Hanumapuram,594685,0,35,5,38,0,2,1,5,34,37,3,0,34,6,0,0,40,0,40,28,12,26,14,37,3,32,8,40,0
68e945628d6bb3c8b5c48f83,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e347,KANEKAL,4713,63f957ba89d86ca9e2c00ee8,Malyam,594687,0,41,0,27,4,10,7,1,33,38,3,0,39,2,3,0,38,2,39,29,12,30,11,39,2,12,29,40,1
68e945628d6bb3c8b5c48f84,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e347,KANEKAL,4713,63f957ba89d86ca9e2c00eed,Hanakanahal,594689,0,39,2,31,1,9,2,4,35,40,1,0,39,2,0,0,41,0,41,27,14,29,12,33,8,39,2,41,0
68e945628d6bb3c8b5c48f85,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e347,KANEKAL,4713,63f957ba89d86ca9e2c00ef2,Ganigera,594673,0,81,1,69,5,8,9,8,65,80,2,0,80,2,0,0,82,0,82,65,17,61,21,73,9,65,17,80,2
68e945628d6bb3c8b5c48f86,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e347,KANEKAL,4713,63f957ba89d86ca9e2c00ef7,Yerragunta,594674,0,81,0,58,4,19,34,3,44,74,7,1,78,2,0,3,78,0,81,66,15,56,25,77,4,65,16,79,2
68e945628d6bb3c8b5c48f87,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e347,KANEKAL,4713,63f957ba89d86ca9e2c00efc,Sollapuram,594686,0,41,0,32,3,6,5,0,36,39,2,0,40,1,1,0,40,0,41,30,11,24,17,39,2,25,16,40,1
68e945628d6bb3c8b5c48f88,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e347,KANEKAL,4713,63f957bb89d86ca9e2c00f01,Udegolam,594679,0,37,4,32,2,7,9,2,30,41,0,0,40,1,3,0,38,0,41,28,13,35,6,41,0,27,14,40,1
68e945628d6bb3c8b5c48f89,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e347,KANEKAL,4713,63f957bb89d86ca9e2c00f06,Brahmasamudram,594680,0,41,0,38,1,2,20,1,20,39,2,0,40,1,0,0,41,14,27,29,12,27,14,38,3,34,7,40,1
68e945628d6bb3c8b5c48f8a,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e347,KANEKAL,4713,63f957bb89d86ca9e2c00f0b,Thumbiganur,594684,0,41,0,31,2,8,7,2,32,41,0,1,40,0,0,0,41,0,41,31,10,27,14,38,3,30,11,40,1
68e945628d6bb3c8b5c48f8b,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e347,KANEKAL,4713,63f957bb89d86ca9e2c00f10,Ratchumarri,594677,0,38,2,31,2,7,2,2,36,39,1,0,39,1,0,0,40,0,40,33,7,30,10,36,4,37,3,40,0
68e945628d6bb3c8b5c48f8c,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e347,KANEKAL,4713,63f957bb89d86ca9e2c00f15,Bidurukontham,594681,0,41,0,30,2,9,7,3,31,41,0,0,41,0,0,0,41,0,41,32,9,31,10,38,3,30,11,39,2
