_id,cycle,scheme,__v,updatedAt,lastProcessedAt,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68e945628d6bb3c8b5c4907d,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e349,KUDAIR,4715,63f957f789d86ca9e2c014a3,Mavinamardhanahalli,594972,0,42,0,35,1,6,35,0,7,42,0,0,40,2,0,0,42,0,42,37,5,32,10,42,0,35,7,42,0
68e945628d6bb3c8b5c4907e,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e349,KUDAIR,4715,63f957f789d86ca9e2c014a8,Udiripikonda,594965,0,41,0,34,0,7,17,2,22,41,0,0,38,3,0,0,41,1,40,36,5,26,15,41,0,36,5,41,0
68e945628d6bb3c8b5c4907f,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e349,KUDAIR,4715,63f957f789d86ca9e2c014ad,Kudair,594974,0,45,0,44,0,1,38,0,7,44,1,0,43,2,0,0,45,0,45,35,10,38,7,45,0,31,14,44,1
68e945628d6bb3c8b5c49080,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e349,KUDAIR,4715,63f957f789d86ca9e2c014b7,Ipperu,594968,0,75,4,61,2,16,55,1,23,76,3,1,73,5,2,0,77,1,78,70,9,58,21,79,0,45,34,79,0
68e945628d6bb3c8b5c49081,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e349,KUDAIR,4715,63f957f889d86ca9e2c014bc,Kalagalla,594967,0,42,0,31,1,10,34,1,7,42,0,0,41,1,0,0,42,0,42,36,6,29,13,42,0,37,5,41,1
68e945628d6bb3c8b5c49082,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e349,KUDAIR,4715,63f957f889d86ca9e2c014c1,Cholasamudram,594969,0,41,0,32,4,5,37,0,4,40,1,0,38,3,0,0,41,0,41,34,7,25,16,41,0,29,12,41,0
68e945628d6bb3c8b5c49083,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e349,KUDAIR,4715,63f957f889d86ca9e2c014c6,Thimmapuram,594973,0,42,0,36,0,6,39,0,3,41,1,0,38,4,0,0,42,1,41,33,9,30,12,42,0,34,8,42,0
68e945628d6bb3c8b5c49084,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e349,KUDAIR,4715,63f957f889d86ca9e2c014d0,Kamuru,594975,0,44,1,41,0,4,45,0,0,45,0,0,44,1,0,0,45,1,44,40,5,28,17,45,0,34,11,45,0
68e945628d6bb3c8b5c49085,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e349,KUDAIR,4715,63f957f989d86ca9e2c014d5,Gotukur,594976,0,41,0,40,1,0,36,0,5,41,0,0,40,1,0,0,41,0,41,36,5,30,11,41,0,32,9,41,0
68e945628d6bb3c8b5c49086,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e349,KUDAIR,4715,63f957f989d86ca9e2c014da,Marutla,594966,0,40,0,40,0,0,30,1,9,40,0,0,38,2,0,0,40,0,40,35,5,30,10,40,0,28,12,39,1
68e945628d6bb3c8b5c49087,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e349,KUDAIR,4715,63f957f989d86ca9e2c014df,Korrakodu,594970,0,42,0,36,1,5,24,5,13,40,2,0,40,2,0,3,39,0,42,35,7,30,12,42,0,33,9,41,1
