_id,cycle,scheme,__v,updatedAt,lastProcessedAt,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68e945628d6bb3c8b5c49103,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e34b,KUNDURPI,4716,63f9581a89d86ca9e2c017c8,Kundurpi,595127,0,105,19,91,0,33,62,10,52,118,6,5,90,29,0,0,124,0,124,112,12,91,33,123,1,107,17,121,3
68e945628d6bb3c8b5c49104,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e34b,KUNDURPI,4716,63f9581a89d86ca9e2c017cd,Nijavalli,595129,0,36,3,28,0,11,22,0,17,38,1,0,32,7,0,0,39,0,39,36,3,27,12,39,0,38,1,37,2
68e945628d6bb3c8b5c49105,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e34b,KUNDURPI,4716,63f9581a89d86ca9e2c017d2,Bestharapalle,595126,0,74,8,60,0,22,52,2,28,79,3,3,63,16,0,0,82,0,82,74,8,60,22,82,0,74,8,80,2
68e945628d6bb3c8b5c49106,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e34b,KUNDURPI,4716,63f9581a89d86ca9e2c017d7,Appilepalle,595122,0,39,1,28,0,12,24,2,14,37,3,1,32,7,0,0,40,0,40,37,3,31,9,40,0,33,7,39,1
68e945628d6bb3c8b5c49107,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e34b,KUNDURPI,4716,63f9581b89d86ca9e2c017dc,Malayanur,595128,0,70,7,62,1,14,32,0,45,75,2,2,58,17,0,0,77,0,77,65,12,62,15,77,0,65,12,77,0
68e945628d6bb3c8b5c49108,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e34b,KUNDURPI,4716,63f9581b89d86ca9e2c017e1,Basapuram,595121,0,75,7,57,1,24,55,2,25,78,4,2,58,22,0,0,82,0,82,74,8,60,22,77,5,70,12,81,1
68e945628d6bb3c8b5c49109,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e34b,KUNDURPI,4716,63f9581b89d86ca9e2c017e6,Jambugumpala,595130,0,53,6,34,1,24,32,6,21,57,2,1,45,13,0,0,59,0,59,52,7,43,16,59,0,55,4,59,0
68e945628d6bb3c8b5c4910a,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e34b,KUNDURPI,4716,63f9581b89d86ca9e2c017eb,Yenumaladoddi,595124,1,66,3,41,0,29,39,0,31,68,2,0,56,14,0,0,70,0,70,60,10,52,18,69,1,57,13,67,3
68e945628d6bb3c8b5c4910b,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e34b,KUNDURPI,4716,63f9581b89d86ca9e2c017f0,S.Mallapuram,595125,0,10,0,6,0,4,6,0,4,10,0,0,8,2,0,0,10,0,10,10,0,7,3,10,0,10,0,10,0
68e945628d6bb3c8b5c4910c,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e34b,KUNDURPI,4716,63f9581c89d86ca9e2c017f5,Kariganipalle,595123,0,75,8,60,0,23,39,6,38,76,7,1,64,18,0,0,83,0,83,67,16,60,23,81,2,75,8,81,2
