_id,cycle,scheme,__v,updatedAt,lastProcessedAt,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68e945628d6bb3c8b5c4900c,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e34f,PAMIDI,4725,63f957dd89d86ca9e2c01233,Gulimikondla @ G.Kottala,594846,0,19,0,11,0,8,7,0,12,18,1,0,16,3,0,0,19,0,19,16,3,15,4,19,0,13,6,19,0
68e945628d6bb3c8b5c4900d,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e34f,PAMIDI,4725,63f957dd89d86ca9e2c01238,Akkajampalle,594847,0,15,0,10,1,4,12,1,2,15,0,0,15,0,1,0,14,0,15,14,1,9,6,15,0,13,2,15,0
68e945628d6bb3c8b5c4900e,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e34f,PAMIDI,4725,63f957dd89d86ca9e2c01247,Edurur,594848,0,20,0,13,0,7,16,0,4,20,0,0,15,5,0,0,20,0,20,17,3,15,5,20,0,15,5,20,0
68e945628d6bb3c8b5c4900f,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e34f,PAMIDI,4725,63f957de89d86ca9e2c0124c,Khadarpeta,594844,0,33,1,28,0,6,16,1,17,32,2,0,32,2,0,0,34,0,34,27,7,22,12,34,0,21,13,34,0
68e945628d6bb3c8b5c49010,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e34f,PAMIDI,4725,63f957de89d86ca9e2c01251,Appajipeta,594861,0,21,0,14,1,6,9,0,12,20,1,0,21,0,0,0,21,0,21,19,2,17,4,21,0,15,6,19,2
68e945628d6bb3c8b5c49011,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e34f,PAMIDI,4725,63f957de89d86ca9e2c01256,Ramarajupalle,594849,0,9,3,6,0,6,11,0,1,12,0,0,11,1,0,0,12,0,12,10,2,10,2,12,0,6,6,12,0
68e945628d6bb3c8b5c49012,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e34f,PAMIDI,4725,63f957de89d86ca9e2c0125b,Palyam,594859,0,39,1,27,1,12,20,0,20,38,2,0,37,3,0,0,40,0,40,34,6,34,6,40,0,27,13,40,0
68e945628d6bb3c8b5c49013,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e34f,PAMIDI,4725,63f957de89d86ca9e2c01260,Anumpalle,594843,0,39,0,20,7,12,18,3,18,39,0,0,35,4,0,0,39,0,39,36,3,30,9,39,0,24,15,38,1
68e945628d6bb3c8b5c49014,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e34f,PAMIDI,4725,63f957df89d86ca9e2c0126a,Vankarajukalva,594863,0,42,3,32,1,12,26,2,17,43,2,0,42,3,0,0,45,0,45,43,2,36,9,45,0,23,22,45,0
68e945628d6bb3c8b5c49015,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e34f,PAMIDI,4725,63f957df89d86ca9e2c0126f,Eddulapalle,594857,0,45,0,30,0,15,22,0,23,44,1,0,37,8,3,0,42,0,45,35,10,32,13,44,1,42,3,45,0
