_id,cycle,scheme,__v,updatedAt,lastProcessedAt,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68e945628d6bb3c8b5c48ffd,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e351,PEDDAPAPPUR,4727,63f957d989d86ca9e2c011dc,Devanuppalapadu,594826,0,40,1,19,1,21,21,0,20,39,2,0,40,1,0,0,41,0,41,35,6,24,17,41,0,39,2,41,0
68e945628d6bb3c8b5c48ffe,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e351,PEDDAPAPPUR,4727,63f957d989d86ca9e2c011e1,Garladinne,594829,0,12,4,12,3,1,16,0,0,15,1,0,16,0,0,0,16,1,15,14,2,13,3,16,0,13,3,16,0
68e945628d6bb3c8b5c48fff,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e351,PEDDAPAPPUR,4727,63f957d989d86ca9e2c011e6,Pasalur,594830,0,19,8,18,2,7,22,1,4,25,2,0,25,2,0,0,27,3,24,24,3,19,8,27,0,21,6,27,0
68e945628d6bb3c8b5c49000,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e351,PEDDAPAPPUR,4727,63f957da89d86ca9e2c011eb,Pendekallu,594832,0,31,0,21,0,10,25,0,6,30,1,0,29,2,0,0,31,0,31,27,4,23,8,31,0,26,5,31,0
68e945628d6bb3c8b5c49001,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e351,PEDDAPAPPUR,4727,63f957da89d86ca9e2c011f5,Chinnayakkaluru,594827,0,37,4,36,1,4,28,1,12,41,0,0,37,4,0,0,41,10,31,36,5,30,11,40,1,34,7,41,0
68e945628d6bb3c8b5c49002,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e351,PEDDAPAPPUR,4727,63f957da89d86ca9e2c011fa,Peddapappur,594838,0,43,0,15,0,28,26,3,14,43,0,0,43,0,0,0,43,6,37,38,5,29,14,42,1,36,7,42,1
68e945628d6bb3c8b5c49003,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e351,PEDDAPAPPUR,4727,63f957da89d86ca9e2c011ff,Kummetha,594833,0,9,0,8,0,1,9,0,0,9,0,0,9,0,0,0,9,0,9,8,1,6,3,9,0,7,2,9,0
68e945628d6bb3c8b5c49004,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e351,PEDDAPAPPUR,4727,63f957db89d86ca9e2c01204,Amalladinne,594842,0,39,2,23,2,16,27,2,12,40,1,0,40,1,0,0,41,8,33,36,5,32,9,41,0,35,6,41,0
68e945628d6bb3c8b5c49005,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e351,PEDDAPAPPUR,4727,63f957db89d86ca9e2c0120e,Dharmapuram,594837,0,36,4,33,1,6,31,0,9,37,3,0,39,1,0,0,40,0,40,35,5,30,10,40,0,34,6,40,0
68e945628d6bb3c8b5c49006,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e351,PEDDAPAPPUR,4727,63f957db89d86ca9e2c01213,Jutur,594836,0,39,2,23,1,17,39,2,0,40,1,0,40,1,0,0,41,5,36,37,4,32,9,40,1,34,7,40,1
