_id,cycle,scheme,__v,updatedAt,lastProcessedAt,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68e945628d6bb3c8b5c48fd0,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e353,PEDDAVADUGUR,4728,63f957cb89d86ca9e2c01091,Virupapuram,594762,0,45,8,41,2,10,45,5,3,53,0,0,45,8,0,0,53,0,53,48,5,40,13,53,0,42,11,53,0
68e945628d6bb3c8b5c48fd1,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e353,PEDDAVADUGUR,4728,63f957cc89d86ca9e2c010a0,Muppalagutti,594766,0,49,1,33,2,15,30,0,20,49,1,0,44,6,0,0,50,0,50,44,6,37,13,50,0,44,6,50,0
68e945628d6bb3c8b5c48fd2,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e353,PEDDAVADUGUR,4728,63f957cc89d86ca9e2c010aa,Medimakulapalle,594771,0,44,4,39,0,9,32,0,16,46,2,0,43,5,0,0,48,0,48,46,2,40,8,48,0,41,7,48,0
68e945628d6bb3c8b5c48fd3,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e353,PEDDAVADUGUR,4728,63f957cc89d86ca9e2c010af,Dimmagudi,594780,0,50,3,33,0,20,47,0,6,51,2,0,43,10,0,0,53,0,53,48,5,45,8,53,0,44,9,53,0
68e945628d6bb3c8b5c48fd4,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e353,PEDDAVADUGUR,4728,63f957cd89d86ca9e2c010c8,Chitrachedu,594783,0,40,12,36,1,15,35,0,17,51,1,0,43,9,0,0,52,0,52,46,6,40,12,52,0,41,11,52,0
68e945628d6bb3c8b5c48fd5,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e353,PEDDAVADUGUR,4728,63f957ce89d86ca9e2c010cd,Gooty Ananta Puram,594761,0,35,1,15,1,20,26,2,8,32,4,0,32,4,0,0,36,0,36,30,6,32,4,36,0,31,5,36,0
68e945628d6bb3c8b5c48fd6,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e353,PEDDAVADUGUR,4728,63f957ce89d86ca9e2c010d2,Chitturu,594781,0,44,8,35,1,16,37,2,13,51,1,1,42,9,0,0,52,0,52,45,7,43,9,52,0,44,8,52,0
68e945628d6bb3c8b5c48fd7,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e353,PEDDAVADUGUR,4728,63f957ce89d86ca9e2c010dc,Chinnavadugur,594776,0,45,7,36,0,16,38,1,13,52,0,0,41,11,0,0,52,4,48,42,10,39,13,52,0,41,11,50,2
68e945628d6bb3c8b5c48fd8,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e353,PEDDAVADUGUR,4728,63f957ce89d86ca9e2c010e1,Ravuludiki,594772,0,47,1,34,0,14,35,0,13,46,2,0,40,8,0,0,48,0,48,43,5,37,11,47,1,39,9,48,0
68e945628d6bb3c8b5c48fd9,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e353,PEDDAVADUGUR,4728,63f957cf89d86ca9e2c010e6,Peddavadugur,594770,0,38,13,51,0,0,50,0,1,50,1,0,43,8,0,0,51,0,51,47,4,42,9,51,0,44,7,51,0
