_id,cycle,scheme,__v,updatedAt,lastProcessedAt,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68e945628d6bb3c8b5c490f9,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e35b,SETTUR,4737,63f9581889d86ca9e2c01794,Chintarlapalle,595118,0,46,0,38,0,8,26,1,19,46,0,0,39,7,0,0,46,0,46,40,6,33,13,46,0,40,6,46,0
68e945628d6bb3c8b5c490fa,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e35b,SETTUR,4737,63f9581889d86ca9e2c01799,Khairevu,595119,0,78,4,57,3,22,46,6,30,78,4,0,74,8,0,0,82,0,82,65,17,56,26,81,1,68,14,81,1
68e945628d6bb3c8b5c490fb,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e35b,SETTUR,4737,63f9581889d86ca9e2c0179e,Lakshmanpalle,595120,0,39,1,24,0,16,25,3,10,39,1,0,33,7,0,0,40,0,40,35,5,28,12,39,1,34,6,39,1
68e945628d6bb3c8b5c490fc,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e35b,SETTUR,4737,63f9581889d86ca9e2c017a3,Adivigollapalle,595112,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0
68e945628d6bb3c8b5c490fd,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e35b,SETTUR,4737,63f9581989d86ca9e2c017a8,Settur,595111,0,30,0,22,2,6,15,1,14,30,0,0,25,5,0,0,30,0,30,24,6,20,10,30,0,23,7,28,2
68e945628d6bb3c8b5c490fe,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e35b,SETTUR,4737,63f9581989d86ca9e2c017ad,Bachchupalle,595114,0,29,0,22,0,7,17,5,7,29,0,0,22,7,0,0,29,0,29,26,3,23,6,28,1,23,6,29,0
68e945628d6bb3c8b5c490ff,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e35b,SETTUR,4737,63f9581989d86ca9e2c017b2,Mulakaledu,595117,0,161,12,131,3,39,107,11,55,166,7,0,148,25,0,0,173,0,173,149,24,117,56,171,2,145,28,171,2
68e945628d6bb3c8b5c49100,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e35b,SETTUR,4737,63f9581989d86ca9e2c017b7,Ayyagarlapalle,595116,0,38,3,31,4,6,18,3,20,40,1,0,35,6,0,0,41,0,41,37,4,28,13,41,0,36,5,40,1
68e945628d6bb3c8b5c49101,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e35b,SETTUR,4737,63f9581989d86ca9e2c017bc,Kamthanahalli,595115,0,15,0,9,0,6,3,2,10,15,0,0,10,5,0,0,15,0,15,14,1,12,3,15,0,12,3,15,0
68e945628d6bb3c8b5c49102,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e35b,SETTUR,4737,63f9581a89d86ca9e2c017c1,Yatakal,595113,0,75,4,60,2,17,51,2,24,77,2,1,62,16,0,0,79,0,79,69,10,58,21,78,1,73,6,79,0
