_id,cycle,scheme,__v,updatedAt,lastProcessedAt,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68e945628d6bb3c8b5c49097,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e35d,SINGANAMALA,4738,63f957ff89d86ca9e2c01542,Rachepalle,595000,0,27,1,25,2,1,2,2,24,26,2,0,23,5,1,0,27,0,28,26,2,11,17,28,0,19,9,28,0
68e945628d6bb3c8b5c49098,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e35d,SINGANAMALA,4738,63f9580089d86ca9e2c01547,Singanamala,595014,0,36,8,39,0,5,14,7,23,43,1,0,35,9,0,0,44,0,44,32,12,44,0,44,0,27,17,37,7
68e945628d6bb3c8b5c49099,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e35d,SINGANAMALA,4738,63f9580089d86ca9e2c0154c,Matlagondi,595015,0,3,0,3,0,0,0,0,3,3,0,0,3,0,0,0,3,0,3,3,0,1,2,3,0,2,1,3,0
68e945628d6bb3c8b5c4909a,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e35d,SINGANAMALA,4738,63f9580089d86ca9e2c01551,Sodanapalle,595016,2,30,1,27,0,6,11,0,22,29,4,0,33,0,0,0,33,0,33,30,3,14,19,33,0,21,12,32,1
68e945628d6bb3c8b5c4909b,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e35d,SINGANAMALA,4738,63f9580089d86ca9e2c0155b,Ullikallu,595001,0,35,11,41,0,5,13,0,33,44,2,0,30,16,0,0,46,0,46,37,9,46,0,46,0,24,22,46,0
68e945628d6bb3c8b5c4909c,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e35d,SINGANAMALA,4738,63f9580189d86ca9e2c01560,Akuledu,595011,0,32,0,30,0,2,10,0,22,29,3,0,32,0,0,0,32,0,32,28,4,31,1,32,0,17,15,32,0
68e945628d6bb3c8b5c4909d,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e35d,SINGANAMALA,4738,63f9580189d86ca9e2c01565,Chakrayapeta,595013,0,47,2,40,2,6,15,0,34,48,1,0,44,5,0,0,49,0,49,45,4,49,0,49,0,34,15,49,0
68e945628d6bb3c8b5c4909e,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e35d,SINGANAMALA,4738,63f9580189d86ca9e2c0156f,Korivipalle,595002,0,16,0,11,3,2,1,0,15,15,1,0,13,3,0,0,16,0,16,9,7,7,9,15,1,12,4,15,1
68e945628d6bb3c8b5c4909f,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e35d,SINGANAMALA,4738,63f9580289d86ca9e2c0157e,Anandaraopeta,594999,0,22,0,19,2,1,1,1,20,21,1,0,21,1,0,0,22,1,21,20,2,6,16,22,0,10,12,22,0
68e945628d6bb3c8b5c490a0,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e35d,SINGANAMALA,4738,63f9580289d86ca9e2c01583,Peravali,595017,0,42,0,32,1,9,12,0,30,42,0,0,40,2,0,0,42,2,40,36,6,29,13,42,0,16,26,42,0
