_id,cycle,scheme,__v,updatedAt,lastProcessedAt,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68e945628d6bb3c8b5c48fea,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e35f,TADIPATRI,4741,63f957d389d86ca9e2c01158,Chinnapolamada,594815,0,40,0,35,1,4,37,0,3,39,1,0,39,1,0,0,40,0,40,25,15,37,3,39,1,36,4,40,0
68e945628d6bb3c8b5c48feb,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e35f,TADIPATRI,4741,63f957d489d86ca9e2c0115d,Peddapolamada,594814,0,71,5,64,6,6,67,4,5,73,3,0,68,8,0,0,76,1,75,71,5,42,34,75,1,53,23,75,1
68e945628d6bb3c8b5c48fec,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e35f,TADIPATRI,4741,63f957d489d86ca9e2c01167,Seetharampuram,594812,0,2,0,2,0,0,2,0,0,1,1,0,2,0,0,0,2,0,2,2,0,1,1,2,0,1,1,2,0
68e945628d6bb3c8b5c48fed,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e35f,TADIPATRI,4741,63f957d489d86ca9e2c0116c,Sajjaladinne,594806,0,42,1,37,2,4,43,0,0,42,1,0,41,2,1,0,42,0,43,17,26,38,5,42,1,38,5,41,0
68e945628d6bb3c8b5c48fee,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e35f,TADIPATRI,4741,63f957d589d86ca9e2c01171,Challavaripalle,594819,0,40,0,30,5,5,39,0,1,39,1,0,38,1,0,0,40,0,40,24,16,26,14,40,0,29,11,40,0
68e945628d6bb3c8b5c48fef,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e35f,TADIPATRI,4741,63f957d589d86ca9e2c01176,Brahmanapalle,594799,0,42,0,31,3,8,42,0,0,42,0,0,42,0,1,0,41,0,42,37,5,34,8,42,0,24,18,42,0
68e945628d6bb3c8b5c48ff0,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e35f,TADIPATRI,4741,63f957d589d86ca9e2c01180,Velamakur,594804,0,11,0,11,0,0,10,0,1,10,1,0,10,1,1,0,10,0,11,11,0,8,3,11,0,10,1,11,0
68e945628d6bb3c8b5c48ff1,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e35f,TADIPATRI,4741,63f957d689d86ca9e2c0118a,Igudur,594811,0,25,12,33,0,4,37,0,0,37,0,0,22,15,0,0,37,0,37,34,3,30,7,37,0,24,13,37,0
68e945628d6bb3c8b5c48ff2,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e35f,TADIPATRI,4741,63f957d689d86ca9e2c0118f,Chukkalur,594808,0,45,1,41,0,5,44,2,0,45,1,0,41,5,0,0,46,0,46,46,0,42,4,46,0,33,13,46,0
68e945628d6bb3c8b5c48ff3,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e35f,TADIPATRI,4741,63f957d689d86ca9e2c01199,Diguvapalle,594817,0,22,18,33,0,7,38,1,1,38,2,1,22,17,0,0,40,0,40,36,4,32,8,40,0,19,21,40,0
68e945628d6bb3c8b5c48ff4,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e35f,TADIPATRI,4741,63f957d689d86ca9e2c0119e,Tadpatri (R),594818,0,117,9,115,1,10,113,1,12,121,5,1,105,20,1,0,125,0,126,88,38,85,41,126,0,105,21,126,0
68e945628d6bb3c8b5c48ff5,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e35f,TADIPATRI,4741,63f957d789d86ca9e2c011a3,Gangadevipalle,594810,0,38,3,28,5,8,40,1,0,40,1,0,38,3,0,0,41,0,41,31,10,7,34,41,0,26,15,39,2
68e945628d6bb3c8b5c48ff6,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e35f,TADIPATRI,4741,63f957d789d86ca9e2c011a8,Venkatampalle,594800,0,40,0,30,3,7,38,1,1,37,3,0,39,1,0,0,40,0,40,40,0,40,0,40,0,32,8,40,0
68e945628d6bb3c8b5c48ff7,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e35f,TADIPATRI,4741,63f957d789d86ca9e2c011ad,Bhogasamudram,594801,0,43,0,39,1,3,43,0,0,42,1,1,22,20,0,0,43,0,43,35,8,23,20,43,0,26,17,43,0
68e945628d6bb3c8b5c48ff8,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e35f,TADIPATRI,4741,63f957d789d86ca9e2c011b2,Alur,594805,0,30,0,22,0,8,25,3,2,29,1,0,26,4,1,0,29,5,25,25,5,23,7,29,1,19,11,30,0
68e945628d6bb3c8b5c48ff9,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e35f,TADIPATRI,4741,63f957d789d86ca9e2c011b7,Vanganur,594824,0,25,0,21,0,4,21,0,4,24,1,0,24,1,0,0,25,0,25,14,11,3,22,25,0,23,2,24,1
68e945628d6bb3c8b5c48ffa,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e35f,TADIPATRI,4741,63f957d889d86ca9e2c011c1,Bondaladinne,594825,0,19,0,14,1,4,17,1,1,19,0,0,19,0,0,0,19,0,19,17,2,15,4,19,0,13,6,19,0
68e945628d6bb3c8b5c48ffb,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e35f,TADIPATRI,4741,63f957d889d86ca9e2c011c6,Kaverisamudram,594807,0,38,1,28,5,6,35,0,4,38,1,0,38,1,0,0,39,0,39,22,17,19,20,39,0,29,10,38,1
68e945628d6bb3c8b5c48ffc,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e35f,TADIPATRI,4741,63f957d889d86ca9e2c011d0,Uruchinthala,594803,0,39,0,30,3,6,39,0,0,38,1,0,38,1,0,0,39,0,39,25,14,22,17,37,2,37,2,39,0
