_id,cycle,scheme,__v,updatedAt,lastProcessedAt,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68e945628d6bb3c8b5c4901e,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e363,VAJRAKARUR,4745,63f957e189d86ca9e2c012a3,Chabala,594872,0,34,8,28,0,14,29,0,13,42,0,0,28,14,0,0,42,0,42,41,1,35,7,42,0,36,6,42,0
68e945628d6bb3c8b5c4901f,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e363,VAJRAKARUR,4745,63f957e189d86ca9e2c012a8,Chinna Hothur,594873,0,35,6,28,0,13,30,0,11,41,0,0,31,10,0,0,41,0,41,38,3,31,10,41,0,32,9,41,0
68e945628d6bb3c8b5c49020,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e363,VAJRAKARUR,4745,63f957e289d86ca9e2c012ad,Pedda Chinnapyapili,594874,0,34,4,28,1,9,23,0,15,38,0,0,31,7,0,0,38,0,38,31,7,26,12,33,5,32,6,34,4
68e945628d6bb3c8b5c49021,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e363,VAJRAKARUR,4745,63f957e289d86ca9e2c012b2,Ragulapadu,594876,0,39,2,22,3,16,28,2,11,41,0,0,34,7,0,0,41,0,41,32,9,26,15,37,4,27,14,35,6
68e945628d6bb3c8b5c49022,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e363,VAJRAKARUR,4745,63f957e289d86ca9e2c012bc,Gade Hothur,594871,0,33,9,29,0,13,28,0,14,41,1,0,31,11,0,0,42,0,42,39,3,34,8,42,0,32,10,40,2
68e945628d6bb3c8b5c49023,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e363,VAJRAKARUR,4745,63f957e289d86ca9e2c012c1,Patha Kadamalakunta,594875,0,4,0,4,0,0,2,0,2,4,0,0,4,0,0,0,4,0,4,4,0,3,1,4,0,4,0,4,0
68e945628d6bb3c8b5c49024,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e363,VAJRAKARUR,4745,63f957e389d86ca9e2c012cb,Ganjikunta,594869,0,36,4,29,0,11,32,0,8,38,2,0,32,8,0,0,40,0,40,28,12,25,15,38,2,31,9,37,3
68e945628d6bb3c8b5c49025,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e363,VAJRAKARUR,4745,63f957e389d86ca9e2c012d0,Venkatampalle,594879,0,40,0,29,1,10,19,0,21,40,0,0,35,5,0,0,40,0,40,32,8,30,10,40,0,31,9,40,0
68e945628d6bb3c8b5c49026,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e363,VAJRAKARUR,4745,63f957e389d86ca9e2c012da,Konakondla,594865,0,34,7,27,0,14,26,1,14,37,4,0,30,11,0,0,41,0,41,34,7,30,11,38,3,28,13,37,4
68e945628d6bb3c8b5c49027,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e363,VAJRAKARUR,4745,63f957e489d86ca9e2c012df,Vajrakarur,594868,0,37,4,36,0,5,24,0,17,38,3,0,34,7,0,0,41,0,41,34,7,27,14,38,3,33,8,41,0
