_id,cycle,scheme,__v,updatedAt,lastProcessedAt,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68e945628d6bb3c8b5c48f9c,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e365,VIDAPANAKAL,4746,63f957bf89d86ca9e2c00f6e,Donekal,594706,0,42,3,32,0,13,32,0,13,39,6,0,41,4,0,0,45,0,45,39,6,33,12,43,2,41,4,43,2
68e945628d6bb3c8b5c48f9d,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e365,VIDAPANAKAL,4746,63f957bf89d86ca9e2c00f73,Cheekalaguriki,594718,0,44,2,34,0,12,35,6,5,44,2,0,45,1,0,0,46,0,46,41,5,38,8,44,2,40,6,43,3
68e945628d6bb3c8b5c48f9e,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e365,VIDAPANAKAL,4746,63f957bf89d86ca9e2c00f78,Hanchanahal,594709,0,44,2,30,2,14,36,2,8,46,0,0,43,3,0,0,46,0,46,37,9,32,14,43,3,39,7,42,4
68e945628d6bb3c8b5c48f9f,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e365,VIDAPANAKAL,4746,63f957c089d86ca9e2c00f7d,Poliki,594710,0,32,9,38,0,3,26,3,12,41,0,0,32,9,0,0,41,0,41,38,3,31,10,41,0,35,6,41,0
68e945628d6bb3c8b5c48fa0,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e365,VIDAPANAKAL,4746,63f957c089d86ca9e2c00f87,Vidapanakal,594713,0,82,11,78,0,15,71,9,13,93,0,1,81,11,0,0,93,0,93,84,9,82,11,92,1,77,16,88,5
68e945628d6bb3c8b5c48fa1,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e365,VIDAPANAKAL,4746,63f957c089d86ca9e2c00f8c,Palthur,594717,0,124,14,113,4,21,115,0,23,138,0,0,117,21,0,0,138,0,138,111,27,108,30,130,8,116,22,132,6
68e945628d6bb3c8b5c48fa2,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e365,VIDAPANAKAL,4746,63f957c089d86ca9e2c00f91,Undabanda,594719,0,37,8,36,0,9,37,0,8,45,0,0,38,7,0,0,45,0,45,34,11,38,7,42,3,41,4,45,0
68e945628d6bb3c8b5c48fa3,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e365,VIDAPANAKAL,4746,63f957c189d86ca9e2c00f96,Karakamukkala,594715,0,43,3,33,3,10,32,0,14,46,0,0,43,3,0,0,46,0,46,38,8,34,12,44,2,40,6,43,3
68e945628d6bb3c8b5c48fa4,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e365,VIDAPANAKAL,4746,63f957c189d86ca9e2c00f9b,Havaligi,594716,0,43,1,32,2,10,38,0,6,44,0,0,43,1,0,0,44,0,44,39,5,33,11,44,0,40,4,44,0
68e945628d6bb3c8b5c48fa5,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e365,VIDAPANAKAL,4746,63f957c189d86ca9e2c00fa0,Gadekal,594708,0,54,2,38,0,18,53,0,3,54,2,0,52,4,1,0,55,0,56,47,9,44,12,52,4,48,8,54,2
