_id,cycle,scheme,__v,updatedAt,lastProcessedAt,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68e945628d6bb3c8b5c48fde,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e367,YADIKI,4747,63f957d089d86ca9e2c0110b,Vemulapadu,594791,0,39,0,31,0,8,27,0,12,39,0,0,39,0,0,0,39,0,39,33,6,21,18,37,2,24,15,34,5
68e945628d6bb3c8b5c48fdf,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e367,YADIKI,4747,63f957d089d86ca9e2c01110,Yadiki,594792,0,43,8,33,6,12,41,3,7,49,2,3,32,16,0,0,51,0,51,39,12,35,16,47,4,38,13,46,5
68e945628d6bb3c8b5c48fe0,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e367,YADIKI,4747,63f957d189d86ca9e2c01115,Konuppalapadu,594794,0,25,1,17,3,6,17,2,7,25,1,0,22,4,0,0,26,0,26,17,9,19,7,19,7,21,5,25,1
68e945628d6bb3c8b5c48fe1,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e367,YADIKI,4747,63f957d189d86ca9e2c0111a,Kundanakota,594795,0,39,1,32,0,8,20,3,17,39,1,0,37,3,0,0,40,0,40,32,8,26,14,31,9,30,10,39,1
68e945628d6bb3c8b5c48fe2,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e367,YADIKI,4747,63f957d189d86ca9e2c0111f,Obulapuram,594793,0,11,4,10,4,1,11,1,3,14,1,3,10,2,0,0,15,0,15,11,4,9,6,12,3,8,7,13,2
68e945628d6bb3c8b5c48fe3,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e367,YADIKI,4747,63f957d189d86ca9e2c01124,Tutrallapalle,594787,0,37,3,38,0,2,31,0,9,38,2,2,29,9,0,0,40,0,40,35,5,20,20,35,5,22,18,39,1
68e945628d6bb3c8b5c48fe4,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e367,YADIKI,4747,63f957d289d86ca9e2c01129,Puppala,594789,0,38,2,31,4,5,36,0,4,39,1,1,36,3,0,0,40,0,40,37,3,25,15,29,11,21,19,38,2
68e945628d6bb3c8b5c48fe5,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e367,YADIKI,4747,63f957d289d86ca9e2c0112e,Rayalacheruvu,594786,0,40,0,33,0,7,34,0,6,39,1,0,39,1,0,0,40,0,40,35,5,22,18,33,7,23,17,39,1
68e945628d6bb3c8b5c48fe6,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e367,YADIKI,4747,63f957d289d86ca9e2c01138,Kamalapadu,594797,0,36,3,34,1,4,34,4,1,38,1,3,22,14,0,1,38,0,39,30,9,23,16,29,10,24,15,37,2
68e945628d6bb3c8b5c48fe7,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e367,YADIKI,4747,63f957d289d86ca9e2c0113d,Nittoor,594798,0,36,3,37,0,2,35,0,4,37,2,0,31,8,0,0,39,0,39,35,4,18,21,33,6,25,14,35,4
