_id,cycle,scheme,__v,updatedAt,lastProcessedAt,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68e945628d6bb3c8b5c490b3,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e369,YELLANUR,4748,63f9580889d86ca9e2c01609,Chilamakuru,595045,0,11,0,7,4,0,3,0,8,10,1,0,11,0,0,0,11,0,11,8,3,7,4,11,0,10,1,11,0
68e945628d6bb3c8b5c490b4,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e369,YELLANUR,4748,63f9580889d86ca9e2c0160e,Bukkapuram,595047,0,29,13,28,2,12,23,2,17,41,1,0,42,0,0,0,42,0,42,35,7,30,12,42,0,35,7,42,0
68e945628d6bb3c8b5c490b5,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e369,YELLANUR,4748,63f9580889d86ca9e2c01613,Singavaram,595052,0,41,0,33,0,8,13,1,27,40,1,0,39,2,0,0,41,0,41,38,3,30,11,40,1,32,9,41,0
68e945628d6bb3c8b5c490b6,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e369,YELLANUR,4748,63f9580889d86ca9e2c01618,Mallagundla,595049,0,47,3,49,1,0,32,3,15,48,2,0,49,1,0,0,50,0,50,42,8,35,15,50,0,38,12,49,1
68e945628d6bb3c8b5c490b7,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e369,YELLANUR,4748,63f9580889d86ca9e2c0161d,Goddumarri,595051,0,50,1,44,5,2,38,1,12,50,1,0,48,3,0,0,51,0,51,44,7,35,16,50,1,35,16,51,0
68e945628d6bb3c8b5c490b8,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e369,YELLANUR,4748,63f9580989d86ca9e2c01622,Kodumurthy,595044,0,18,2,20,0,0,11,1,8,20,0,3,17,0,0,0,20,0,20,18,2,11,9,20,0,16,4,19,1
68e945628d6bb3c8b5c490b9,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e369,YELLANUR,4748,63f9580989d86ca9e2c01627,Kacharlakunta,595041,0,3,0,2,0,1,0,0,3,3,0,0,2,1,0,0,3,0,3,3,0,3,0,3,0,3,0,3,0
68e945628d6bb3c8b5c490ba,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e369,YELLANUR,4748,63f9580989d86ca9e2c0162c,Pathapalle,595042,0,44,2,43,3,0,29,2,15,45,1,0,46,0,0,0,46,0,46,39,7,32,14,46,0,38,8,46,0
68e945628d6bb3c8b5c490bb,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e369,YELLANUR,4748,63f9580989d86ca9e2c01631,Vemulapalle,595035,0,33,2,25,3,7,26,2,7,35,0,0,35,0,0,0,35,0,35,28,7,26,9,35,0,27,8,35,0
68e945628d6bb3c8b5c490bc,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e369,YELLANUR,4748,63f9580989d86ca9e2c01636,Thirumalapuram,595039,0,29,1,25,2,3,5,1,24,29,1,0,30,0,0,0,30,0,30,24,6,20,10,30,0,26,4,29,1
