_id,cycle,scheme,__v,updatedAt,lastProcessedAt,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68e945628d6bb3c8b5c4b0b3,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac4680216eb6c93e2d1,ADDATEEGALA,4865,63f99ac4519359b7438a1c83,Vetamamidi,586847,0,1,1,2,0,0,0,0,2,2,0,0,0,2,0,0,2,0,2,2,0,2,0,1,1,2,0,2,0
68e945628d6bb3c8b5c4b0b4,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac4680216eb6c93e2d1,ADDATEEGALA,4865,63f99ac5519359b7438a1c97,Kimmuru,586876,0,2,7,4,3,2,1,8,0,8,1,2,0,7,0,0,9,0,9,9,0,9,0,9,0,0,9,9,0
68e945628d6bb3c8b5c4b0b5,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac4680216eb6c93e2d1,ADDATEEGALA,4865,63f99ac5519359b7438a1ca1,Kinaparti,586849,1,1,4,2,4,0,0,6,0,6,0,3,0,3,0,0,6,0,6,6,0,6,0,6,0,0,6,6,0
68e945628d6bb3c8b5c4b0b6,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac4680216eb6c93e2d1,ADDATEEGALA,4865,63f99ac5519359b7438a1ca6,Uppalapadu,586872,0,1,2,0,0,3,0,1,2,3,0,0,0,3,0,0,3,0,3,3,0,3,0,3,0,0,3,3,0
68e945628d6bb3c8b5c4b0b7,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac4680216eb6c93e2d1,ADDATEEGALA,4865,63f99ac6519359b7438a1cb0,Gontuvanipalem,586875,0,3,23,15,5,6,6,18,2,23,3,13,1,12,0,0,26,2,24,26,0,26,0,26,0,0,26,26,0
68e945628d6bb3c8b5c4b0b8,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac4680216eb6c93e2d1,ADDATEEGALA,4865,63f99ac6519359b7438a1cba,Gavarayyapeta,586850,0,0,3,1,0,2,2,1,0,3,0,1,0,2,0,0,3,0,3,3,0,3,0,3,0,0,3,3,0
68e945628d6bb3c8b5c4b0b9,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac4680216eb6c93e2d1,ADDATEEGALA,4865,63f99ac6519359b7438a1cc4,Kottampalem,586864,0,1,2,3,0,0,0,3,0,3,0,3,0,0,0,0,3,0,3,3,0,3,0,3,0,0,3,3,0
68e945628d6bb3c8b5c4b0ba,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac4680216eb6c93e2d1,ADDATEEGALA,4865,63f99ac6519359b7438a1cc9,Rajavaram,586863,0,2,4,4,0,2,0,5,1,6,0,6,0,0,0,1,5,0,6,6,0,6,0,6,0,0,6,6,0
68e945628d6bb3c8b5c4b0bb,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac4680216eb6c93e2d1,ADDATEEGALA,4865,63f99ac7519359b7438a1cd3,Veerabhadrapuram,586860,1,3,3,4,0,3,0,7,0,7,0,0,0,7,0,0,7,0,7,0,7,0,7,7,0,7,0,7,0
68e945628d6bb3c8b5c4b0bc,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac4680216eb6c93e2d1,ADDATEEGALA,4865,63f99ac7519359b7438a1cd8,Konalova,586859,0,7,21,14,6,8,2,24,2,28,0,19,0,9,0,0,28,0,28,28,0,28,0,28,0,0,28,28,0
